Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Austria,exports,aggregates_primary,nan,tonnes (metric),1990,
Belgium-Luxembourg,exports,aggregates_primary,nan,tonnes (metric),1990,
Brazil,exports,aggregates_primary,nan,tonnes (metric),1990,
Bulgaria,exports,aggregates_primary,nan,tonnes (metric),1990,
China,exports,aggregates_primary,nan,tonnes (metric),1990,
Czech Republic,exports,aggregates_primary,nan,tonnes (metric),1990,
Denmark,exports,aggregates_primary,nan,tonnes (metric),1990,
Estonia,exports,aggregates_primary,nan,tonnes (metric),1990,
Finland,exports,aggregates_primary,nan,tonnes (metric),1990,
France,exports,aggregates_primary,nan,tonnes (metric),1990,
Germany,exports,aggregates_primary,nan,tonnes (metric),1990,
Greece,exports,aggregates_primary,nan,tonnes (metric),1990,
Hungary,exports,aggregates_primary,nan,tonnes (metric),1990,
India,exports,aggregates_primary,nan,tonnes (metric),1990,
"Ireland, Republic of",exports,aggregates_primary,nan,tonnes (metric),1990,
Italy,exports,aggregates_primary,nan,tonnes (metric),1990,
Latvia,exports,aggregates_primary,nan,tonnes (metric),1990,
Lithuania,exports,aggregates_primary,nan,tonnes (metric),1990,
Netherlands,exports,aggregates_primary,nan,tonnes (metric),1990,
Norway,exports,aggregates_primary,nan,tonnes (metric),1990,
Poland,exports,aggregates_primary,nan,tonnes (metric),1990,
Portugal,exports,aggregates_primary,nan,tonnes (metric),1990,
Romania,exports,aggregates_primary,nan,tonnes (metric),1990,
Russia,exports,aggregates_primary,nan,tonnes (metric),1990,
Slovakia,exports,aggregates_primary,nan,tonnes (metric),1990,
Slovenia,exports,aggregates_primary,nan,tonnes (metric),1990,
Spain,exports,aggregates_primary,nan,tonnes (metric),1990,
Sweden,exports,aggregates_primary,nan,tonnes (metric),1990,
Switzerland,exports,aggregates_primary,nan,tonnes (metric),1990,
Turkey,exports,aggregates_primary,nan,tonnes (metric),1990,
United Kingdom,exports,aggregates_primary,nan,tonnes (metric),1990,
Albania,exports,aggregates_primary,nan,tonnes (metric),1990,
Belgium,exports,aggregates_primary,nan,tonnes (metric),1990,
Croatia,exports,aggregates_primary,nan,tonnes (metric),1990,
Cyprus,exports,aggregates_primary,nan,tonnes (metric),1990,
