Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Belgium-Luxembourg,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Bolivia,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
France,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
France,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,10443.0
German Federal Republic,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
German Federal Republic,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,433.0
Hong Kong,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Italy,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,25.0
Japan,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,8.0
Korea (Rep. of),exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Mexico,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,7097.0
Netherlands,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Netherlands,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,0.0
Peru,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Portugal,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,140.0
South Africa,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,472.0
United Kingdom,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
United Kingdom,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Yugoslavia,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,222.0
Chile,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
China,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
China,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Germany,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Italy,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Namibia,exports,arsenic,White arsenic                                     ,tonnes (metric),1970,
USA,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Australia,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Denmark,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Japan,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
New Zealand,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Belgium,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Canada,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
India,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Austria,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Finland,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Poland,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Spain,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Belgium-Luxembourg,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Bolivia,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,
France,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
France,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,7205.0
German Federal Republic,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
German Federal Republic,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,77.0
Hong Kong,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Italy,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,0.0
Japan,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,210.0
Korea (Rep. of),exports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Mexico,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,7071.0
Netherlands,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Netherlands,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,10.0
Peru,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Portugal,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,184.0
South Africa,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,1783.0
United Kingdom,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
United Kingdom,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Yugoslavia,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,81.0
Chile,exports,arsenic,White arsenic                                     ,tonnes (metric),1971,
China,exports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
