Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Australia,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,1600000.0
Australia,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,1600000.0
Australia,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,1600000.0
Australia,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,1600000.0
Australia,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,3400000.0
Australia,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Australia,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,82330.0
Australia,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,82330.0
Australia,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,82330.0
Australia,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,82330.0
Austria,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Austria,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,18843.0
Austria,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,18843.0
Austria,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,18843.0
Austria,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,18843.0
Bahrain,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Bahrain,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Belgium-Luxembourg,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,18.0
Belgium-Luxembourg,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,18.0
Belgium-Luxembourg,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,73.0
Belgium-Luxembourg,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Belgium-Luxembourg,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,9854.0
Belgium-Luxembourg,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,tonnes (metric),1970,292.0
Brazil,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,3414.0
Bulgaria,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Bulgaria,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Cameroon,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,39100.0
Canada,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,21570.0
Canada,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,21570.0
Canada,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,21570.0
Canada,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,21570.0
Canada,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Canada,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,761670.0
China,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
China,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,
China,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
China,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
China,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
China,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Czechoslovakia,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Czechoslovakia,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Denmark,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,
Denmark,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Denmark,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,72.0
Denmark,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,72.0
Denmark,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,tonnes (metric),1970,2247.0
Dominican Republic,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,1293089.0
Egypt,exports,bauxite_alumina_and_aluminium,Unwrought & scrap,tonnes (metric),1970,
Finland,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,24.0
Finland,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,24.0
France,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,200371.0
France,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,63439.0
France,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,159189.0
France,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
France,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,94595.0
France,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,tonnes (metric),1970,52417.0
German Democratic Rep,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
German Federal Republic,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,95903.0
German Federal Republic,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,75808.0
German Federal Republic,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,6483.0
German Federal Republic,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
German Federal Republic,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,12872.0
German Federal Republic,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,tonnes (metric),1970,35916.0
Ghana,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,214470.0
Ghana,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,99062.0
Ghana,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,99062.0
Greece,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,169757.0
Greece,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,1234800.0
Greece,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Greece,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,60012.0
Greece,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,60012.0
Greece,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,60012.0
Greece,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,60012.0
Guinea,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,600000.0
Guinea,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,600000.0
Guinea,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,600000.0
Guinea,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,600000.0
Guinea,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,300000.0
Guyana,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,328760.0
Guyana,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,
Guyana,exports,bauxite_alumina_and_aluminium,Bauxite,tonnes (metric),1970,
Guyana,exports,bauxite_alumina_and_aluminium,Bauxite,tonnes (metric),1970,
Guyana,exports,bauxite_alumina_and_aluminium,Bauxite,tonnes (metric),1970,
Guyana,exports,bauxite_alumina_and_aluminium,Bauxite,tonnes (metric),1970,
Haiti,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,646440.0
Hong Kong,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
Hong Kong,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
Hong Kong,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,
Hong Kong,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,
Hong Kong,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Hong Kong,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Hungary,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,415283.0
Hungary,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,415283.0
Hungary,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,415283.0
Hungary,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,415283.0
Hungary,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,
Hungary,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,659865.0
Hungary,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Hungary,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,52579.0
Hungary,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,52579.0
Iceland,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Iceland,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Iceland,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Iceland,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
India,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
India,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
India,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
India,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
India,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,55385.0
India,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,1412.0
India,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,1412.0
India,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,1412.0
India,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,1412.0
Indonesia,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,928430.0
Iran,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
"Ireland, Republic of",exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
"Ireland, Republic of",exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
"Ireland, Republic of",exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
"Ireland, Republic of",exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Italy,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,9032.0
Italy,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,1892.0
Italy,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,2888.0
Italy,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Italy,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,3054.0
Italy,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,tonnes (metric),1970,1852.0
Jamaica,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,1751980.0
Jamaica,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,1751980.0
Jamaica,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,7806501.0
Japan,exports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,101241.0
Japan,exports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,24677.0
Japan,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,110.0
Japan,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Japan,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,3047.0
Japan,exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,3047.0
Japan,exports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,tonnes (metric),1970,2511.0
Korea (Rep. of),exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Korea (Rep. of),exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Korea (Rep. of),exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Korea (Rep. of),exports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,
Malaysia,exports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,1083217.0
Malaysia,exports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
