Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Argentina,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Argentina,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Belgium-Luxembourg,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Belgium-Luxembourg,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
China,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Colombia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Denmark,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
France,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
France,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
German Federal Republic,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
German Federal Republic,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Greece,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Hungary,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
India,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
India,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Indonesia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Italy,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Kuwait,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Mexico,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Morocco,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Morocco,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Mozambique,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Netherlands,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Netherlands,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Senegal,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Singapore,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Singapore,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
South Africa,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Spain,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Spain,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Sweden,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Taiwan,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Turkey,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
USA,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
USA,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
United Kingdom,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
United Kingdom,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Venezuela,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Yugoslavia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Australia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Austria,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Bulgaria,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Canada,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
China,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Cyprus,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Czechoslovakia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Indonesia,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Korea (Rep. of),exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Philippines,exports,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
Spain,exports,bentonite_and_fuller's_earth,Sepiolite                                         ,tonnes (metric),1970,
Sweden,exports,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
Switzerland,exports,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
Algeria,exports,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
Armenia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Australia,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Azerbaijan,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Bosnia & Herzegovina,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Brazil,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Croatia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Czech Republic,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Egypt,exports,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
Finland,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Georgia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Germany,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Germany,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Guatemala,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Iran,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Iran,exports,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
Israel,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Japan,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
New Zealand,exports,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
North Macedonia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Romania,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Russia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Russia,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Saudi Arabia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Slovakia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Slovakia,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Thailand,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Ukraine,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Belgium,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Bolivia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Greece,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Latvia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Lithuania,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Montenegro,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Norway,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Norway,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Poland,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Poland,exports,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Portugal,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Serbia,exports,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
