Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Belgium-Luxembourg,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Bolivia,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Bolivia,exports,bismuth,Ores & concentrates,tonnes (metric),1970,
France,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
France,exports,bismuth,Metal                                             ,tonnes (metric),1970,
German Federal Republic,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
German Federal Republic,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Italy,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
Italy,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Japan,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Korea (Rep. of),exports,bismuth,Metal                                             ,tonnes (metric),1970,
Mexico,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Netherlands,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
Netherlands,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Peru,exports,bismuth,Metal                                             ,tonnes (metric),1970,
USA,exports,bismuth,Metal                                             ,tonnes (metric),1970,
United Kingdom,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
United Kingdom,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Yugoslavia,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
Yugoslavia,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Australia,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
Canada,exports,bismuth,Metal                                             ,tonnes (metric),1970,
China,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Germany,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
Germany,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Spain,exports,bismuth,Compounds                                         ,tonnes (metric),1970,
Finland,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Hong Kong,exports,bismuth,Metal                                             ,tonnes (metric),1970,
Kazakhstan,exports,bismuth,Metal                                             ,tonnes (metric),1970,
