Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,bromine,nan,kilograms,1970,
Belgium-Luxembourg,exports,bromine,Compounds,kilograms,1970,
Belgium-Luxembourg,exports,bromine,nan,kilograms,1970,
France,exports,bromine,Compounds,kilograms,1970,
German Federal Republic,exports,bromine,Compounds,kilograms,1970,
German Federal Republic,exports,bromine,nan,kilograms,1970,
Hong Kong,exports,bromine,Compounds,kilograms,1970,
Israel,exports,bromine,Compounds,kilograms,1970,
Israel,exports,bromine,nan,kilograms,1970,
Italy,exports,bromine,Compounds,kilograms,1970,
Italy,exports,bromine,nan,kilograms,1970,
Japan,exports,bromine,Compounds,kilograms,1970,
Japan,exports,bromine,nan,kilograms,1970,
Malaysia,exports,bromine,Compounds,kilograms,1970,
Netherlands,exports,bromine,Compounds,kilograms,1970,
Netherlands,exports,bromine,nan,kilograms,1970,
Switzerland,exports,bromine,Compounds,kilograms,1970,
USA,exports,bromine,Compounds,kilograms,1970,
USA,exports,bromine,nan,kilograms,1970,
United Kingdom,exports,bromine,Compounds,kilograms,1970,
United Kingdom,exports,bromine,nan,kilograms,1970,
German Democratic Rep,exports,bromine,nan,kilograms,1970,
Germany,exports,bromine,nan,kilograms,1970,
China,exports,bromine,nan,kilograms,1970,
India,exports,bromine,nan,kilograms,1970,
Poland,exports,bromine,nan,kilograms,1970,
Russia,exports,bromine,nan,kilograms,1970,
Serbia and Montenegro,exports,bromine,nan,kilograms,1970,
Ukraine,exports,bromine,nan,kilograms,1970,
Belgium,exports,bromine,nan,kilograms,1970,
Bulgaria,exports,bromine,nan,kilograms,1970,
Spain,exports,bromine,nan,kilograms,1970,
Finland,exports,bromine,nan,kilograms,1970,
Lithuania,exports,bromine,nan,kilograms,1970,
Slovakia,exports,bromine,nan,kilograms,1970,
Algeria,exports,bromine,nan,kilograms,1971,
Belgium-Luxembourg,exports,bromine,Compounds,kilograms,1971,
Belgium-Luxembourg,exports,bromine,nan,kilograms,1971,
France,exports,bromine,Compounds,kilograms,1971,
German Federal Republic,exports,bromine,Compounds,kilograms,1971,
German Federal Republic,exports,bromine,nan,kilograms,1971,
Hong Kong,exports,bromine,Compounds,kilograms,1971,
Israel,exports,bromine,Compounds,kilograms,1971,
