Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,exports,cadmium,nan,tonnes (metric),1970,649.0
Austria,exports,cadmium,nan,tonnes (metric),1970,
Belgium-Luxembourg,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Belgium-Luxembourg,exports,cadmium,nan,tonnes (metric),1970,1020.0
Bolivia,exports,cadmium,nan,tonnes (metric),1970,
Bulgaria,exports,cadmium,nan,tonnes (metric),1970,
Canada,exports,cadmium,nan,tonnes (metric),1970,703.0
Finland,exports,cadmium,nan,tonnes (metric),1970,63.0
France,exports,cadmium,Metal                                             ,tonnes (metric),1970,
France,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,26.0
France,exports,cadmium,nan,tonnes (metric),1970,105.0
German Federal Republic,exports,cadmium,Metal                                             ,tonnes (metric),1970,
German Federal Republic,exports,cadmium,Oxide                                             ,tonnes (metric),1970,9.0
German Federal Republic,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,
German Federal Republic,exports,cadmium,nan,tonnes (metric),1970,249.0
Italy,exports,cadmium,nan,tonnes (metric),1970,83.0
Japan,exports,cadmium,nan,tonnes (metric),1970,945.0
Korea (Rep. of),exports,cadmium,nan,tonnes (metric),1970,
"Korea, Dem. P.R. of",exports,cadmium,nan,tonnes (metric),1970,
Mexico,exports,cadmium,nan,tonnes (metric),1970,991.0
Netherlands,exports,cadmium,nan,tonnes (metric),1970,167.0
Norway,exports,cadmium,nan,tonnes (metric),1970,85.0
Peru,exports,cadmium,nan,tonnes (metric),1970,310.0
Poland,exports,cadmium,nan,tonnes (metric),1970,222.0
Soviet Union,exports,cadmium,nan,tonnes (metric),1970,885.0
Spain,exports,cadmium,nan,tonnes (metric),1970,
USA,exports,cadmium,nan,tonnes (metric),1970,169.0
United Kingdom,exports,cadmium,Metal                                             ,tonnes (metric),1970,
United Kingdom,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,
United Kingdom,exports,cadmium,nan,tonnes (metric),1970,
Yugoslavia,exports,cadmium,nan,tonnes (metric),1970,55.0
Zaire,exports,cadmium,nan,tonnes (metric),1970,
Zambia,exports,cadmium,nan,tonnes (metric),1970,31.0
Algeria,exports,cadmium,nan,tonnes (metric),1970,
China,exports,cadmium,nan,tonnes (metric),1970,
German Democratic Rep,exports,cadmium,nan,tonnes (metric),1970,
Germany,exports,cadmium,nan,tonnes (metric),1970,
Hungary,exports,cadmium,nan,tonnes (metric),1970,
Korea (Rep. of),exports,cadmium,Metal                                             ,tonnes (metric),1970,
Korea (Rep. of),exports,cadmium,Oxide                                             ,tonnes (metric),1970,
Namibia,exports,cadmium,nan,tonnes (metric),1970,
Sweden,exports,cadmium,nan,tonnes (metric),1970,
Australia,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Austria,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Bulgaria,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Canada,exports,cadmium,Metal                                             ,tonnes (metric),1970,
China,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Czech Republic,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Finland,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Germany,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Germany,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Hong Kong,exports,cadmium,Metal                                             ,tonnes (metric),1970,
India,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Italy,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Italy,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Japan,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Japan,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Kazakhstan,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Mexico,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Namibia,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Netherlands,exports,cadmium,Metal                                             ,tonnes (metric),1970,
North Macedonia,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Norway,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Peru,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Poland,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Poland,exports,cadmium,Oxide                                             ,tonnes (metric),1970,
Russia,exports,cadmium,Metal                                             ,tonnes (metric),1970,
South Africa,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Spain,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Sweden,exports,cadmium,Oxide                                             ,tonnes (metric),1970,
Thailand,exports,cadmium,Metal                                             ,tonnes (metric),1970,
USA,exports,cadmium,Metal                                             ,tonnes (metric),1970,
USA,exports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Uzbekistan,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Belgium,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Belgium,exports,cadmium,Oxide                                             ,tonnes (metric),1970,
Turkey,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Estonia,exports,cadmium,Metal                                             ,tonnes (metric),1970,
Australia,exports,cadmium,nan,tonnes (metric),1971,617.0
Austria,exports,cadmium,nan,tonnes (metric),1971,
Belgium-Luxembourg,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Belgium-Luxembourg,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Belgium-Luxembourg,exports,cadmium,nan,tonnes (metric),1971,1099.0
Bolivia,exports,cadmium,nan,tonnes (metric),1971,
Bulgaria,exports,cadmium,nan,tonnes (metric),1971,
Canada,exports,cadmium,nan,tonnes (metric),1971,653.0
Finland,exports,cadmium,nan,tonnes (metric),1971,99.0
France,exports,cadmium,Metal                                             ,tonnes (metric),1971,
France,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,28.0
France,exports,cadmium,nan,tonnes (metric),1971,132.0
German Federal Republic,exports,cadmium,Metal                                             ,tonnes (metric),1971,
German Federal Republic,exports,cadmium,Oxide                                             ,tonnes (metric),1971,22.0
German Federal Republic,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,
German Federal Republic,exports,cadmium,nan,tonnes (metric),1971,287.0
Italy,exports,cadmium,nan,tonnes (metric),1971,85.0
Japan,exports,cadmium,nan,tonnes (metric),1971,1190.0
Korea (Rep. of),exports,cadmium,nan,tonnes (metric),1971,
"Korea, Dem. P.R. of",exports,cadmium,nan,tonnes (metric),1971,
Mexico,exports,cadmium,nan,tonnes (metric),1971,934.0
Netherlands,exports,cadmium,nan,tonnes (metric),1971,121.0
Norway,exports,cadmium,nan,tonnes (metric),1971,78.0
Peru,exports,cadmium,nan,tonnes (metric),1971,409.0
Poland,exports,cadmium,nan,tonnes (metric),1971,225.0
Soviet Union,exports,cadmium,nan,tonnes (metric),1971,869.0
Spain,exports,cadmium,nan,tonnes (metric),1971,
USA,exports,cadmium,nan,tonnes (metric),1971,30.0
United Kingdom,exports,cadmium,Metal                                             ,tonnes (metric),1971,
United Kingdom,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,
United Kingdom,exports,cadmium,nan,tonnes (metric),1971,
Yugoslavia,exports,cadmium,nan,tonnes (metric),1971,0.0
Zaire,exports,cadmium,nan,tonnes (metric),1971,205.0
Zambia,exports,cadmium,nan,tonnes (metric),1971,0.0
Algeria,exports,cadmium,nan,tonnes (metric),1971,
China,exports,cadmium,nan,tonnes (metric),1971,
German Democratic Rep,exports,cadmium,nan,tonnes (metric),1971,
Germany,exports,cadmium,nan,tonnes (metric),1971,
Hungary,exports,cadmium,nan,tonnes (metric),1971,
Korea (Rep. of),exports,cadmium,Metal                                             ,tonnes (metric),1971,
Korea (Rep. of),exports,cadmium,Oxide                                             ,tonnes (metric),1971,
Namibia,exports,cadmium,nan,tonnes (metric),1971,
Sweden,exports,cadmium,nan,tonnes (metric),1971,
Australia,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Austria,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Bulgaria,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Canada,exports,cadmium,Metal                                             ,tonnes (metric),1971,
China,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Czech Republic,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Finland,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Germany,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Germany,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Hong Kong,exports,cadmium,Metal                                             ,tonnes (metric),1971,
India,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Italy,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Italy,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Japan,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Japan,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Kazakhstan,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Mexico,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Namibia,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Netherlands,exports,cadmium,Metal                                             ,tonnes (metric),1971,
North Macedonia,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Norway,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Peru,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Poland,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Poland,exports,cadmium,Oxide                                             ,tonnes (metric),1971,
Russia,exports,cadmium,Metal                                             ,tonnes (metric),1971,
South Africa,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Spain,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Sweden,exports,cadmium,Oxide                                             ,tonnes (metric),1971,
Thailand,exports,cadmium,Metal                                             ,tonnes (metric),1971,
USA,exports,cadmium,Metal                                             ,tonnes (metric),1971,
USA,exports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Uzbekistan,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Belgium,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Belgium,exports,cadmium,Oxide                                             ,tonnes (metric),1971,
Turkey,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Estonia,exports,cadmium,Metal                                             ,tonnes (metric),1971,
Australia,exports,cadmium,nan,tonnes (metric),1972,661.0
Austria,exports,cadmium,nan,tonnes (metric),1972,
Belgium-Luxembourg,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Belgium-Luxembourg,exports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Belgium-Luxembourg,exports,cadmium,nan,tonnes (metric),1972,1142.0
Bolivia,exports,cadmium,nan,tonnes (metric),1972,51.0
Bulgaria,exports,cadmium,nan,tonnes (metric),1972,
Canada,exports,cadmium,nan,tonnes (metric),1972,1039.0
Finland,exports,cadmium,nan,tonnes (metric),1972,185.0
France,exports,cadmium,Metal                                             ,tonnes (metric),1972,
France,exports,cadmium,Sulphide                                          ,tonnes (metric),1972,52.0
France,exports,cadmium,nan,tonnes (metric),1972,135.0
German Federal Republic,exports,cadmium,Metal                                             ,tonnes (metric),1972,
German Federal Republic,exports,cadmium,Oxide                                             ,tonnes (metric),1972,
German Federal Republic,exports,cadmium,Sulphide                                          ,tonnes (metric),1972,
German Federal Republic,exports,cadmium,nan,tonnes (metric),1972,180.0
Italy,exports,cadmium,nan,tonnes (metric),1972,95.0
Japan,exports,cadmium,nan,tonnes (metric),1972,1018.0
Korea (Rep. of),exports,cadmium,nan,tonnes (metric),1972,
"Korea, Dem. P.R. of",exports,cadmium,nan,tonnes (metric),1972,33.0
Mexico,exports,cadmium,nan,tonnes (metric),1972,604.0
Netherlands,exports,cadmium,nan,tonnes (metric),1972,158.0
Norway,exports,cadmium,nan,tonnes (metric),1972,78.0
Peru,exports,cadmium,nan,tonnes (metric),1972,620.0
Poland,exports,cadmium,nan,tonnes (metric),1972,0.0
Soviet Union,exports,cadmium,nan,tonnes (metric),1972,1338.0
Spain,exports,cadmium,nan,tonnes (metric),1972,27.0
USA,exports,cadmium,nan,tonnes (metric),1972,461.0
United Kingdom,exports,cadmium,Metal                                             ,tonnes (metric),1972,
United Kingdom,exports,cadmium,Sulphide                                          ,tonnes (metric),1972,
United Kingdom,exports,cadmium,nan,tonnes (metric),1972,195.0
Yugoslavia,exports,cadmium,nan,tonnes (metric),1972,171.0
Zaire,exports,cadmium,nan,tonnes (metric),1972,315.0
Zambia,exports,cadmium,nan,tonnes (metric),1972,
Algeria,exports,cadmium,nan,tonnes (metric),1972,
China,exports,cadmium,nan,tonnes (metric),1972,
German Democratic Rep,exports,cadmium,nan,tonnes (metric),1972,
Germany,exports,cadmium,nan,tonnes (metric),1972,
Hungary,exports,cadmium,nan,tonnes (metric),1972,
Korea (Rep. of),exports,cadmium,Metal                                             ,tonnes (metric),1972,
Korea (Rep. of),exports,cadmium,Oxide                                             ,tonnes (metric),1972,
Namibia,exports,cadmium,nan,tonnes (metric),1972,
Sweden,exports,cadmium,nan,tonnes (metric),1972,
Australia,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Austria,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Bulgaria,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Canada,exports,cadmium,Metal                                             ,tonnes (metric),1972,
China,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Czech Republic,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Finland,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Germany,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Germany,exports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Hong Kong,exports,cadmium,Metal                                             ,tonnes (metric),1972,
India,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Italy,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Italy,exports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Japan,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Japan,exports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Kazakhstan,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Mexico,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Namibia,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Netherlands,exports,cadmium,Metal                                             ,tonnes (metric),1972,
North Macedonia,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Norway,exports,cadmium,Metal                                             ,tonnes (metric),1972,
Peru,exports,cadmium,Metal                                             ,tonnes (metric),1972,
