Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,exports,coal,nan,tonnes (metric),1970,1875.0
Australia,exports,coal,nan,tonnes (metric),1970,17623170.0
Austria,exports,coal,Brown coal                                        ,tonnes (metric),1970,7802.0
Belgium-Luxembourg,exports,coal,Anthracite                                        ,tonnes (metric),1970,
Belgium-Luxembourg,exports,coal,Briquettes                                        ,tonnes (metric),1970,
Belgium-Luxembourg,exports,coal,Other coal                                        ,tonnes (metric),1970,
Belgium-Luxembourg,exports,coal,nan,tonnes (metric),1970,590020.0
Canada,exports,coal,nan,tonnes (metric),1970,3983971.0
China,exports,coal,nan,tonnes (metric),1970,
Colombia,exports,coal,Anthracite                                        ,tonnes (metric),1970,5500.0
Colombia,exports,coal,Bituminous,tonnes (metric),1970,
Colombia,exports,coal,Other coal                                        ,tonnes (metric),1970,
Czechoslovakia,exports,coal,Brown coal                                        ,tonnes (metric),1970,1250000.0
Czechoslovakia,exports,coal,Other coal                                        ,tonnes (metric),1970,2790000.0
Denmark,exports,coal,nan,tonnes (metric),1970,
Eswatini (Swaziland),exports,coal,nan,tonnes (metric),1970,
France,exports,coal,Anthracite                                        ,tonnes (metric),1970,471990.0
France,exports,coal,Bituminous,tonnes (metric),1970,741588.0
France,exports,coal,Briquettes                                        ,tonnes (metric),1970,
France,exports,coal,Lignite                                           ,tonnes (metric),1970,25191.0
France,exports,coal,Other coal                                        ,tonnes (metric),1970,741588.0
German Democratic Rep,exports,coal,Briquettes                                        ,tonnes (metric),1970,
German Federal Republic,exports,coal,Briquettes                                        ,tonnes (metric),1970,
German Federal Republic,exports,coal,Brown coal                                        ,tonnes (metric),1970,15770.0
German Federal Republic,exports,coal,Other coal                                        ,tonnes (metric),1970,15597108.0
Hungary,exports,coal,Brown coal                                        ,tonnes (metric),1970,
Hungary,exports,coal,nan,tonnes (metric),1970,91515.0
India,exports,coal,Anthracite                                        ,tonnes (metric),1970,24241.0
India,exports,coal,Other coal                                        ,tonnes (metric),1970,388173.0
India,exports,coal,nan,tonnes (metric),1970,
Indonesia,exports,coal,nan,tonnes (metric),1970,
"Ireland, Republic of",exports,coal,nan,tonnes (metric),1970,69040.0
Italy,exports,coal,nan,tonnes (metric),1970,8856.0
Japan,exports,coal,nan,tonnes (metric),1970,15683.0
Korea (Rep. of),exports,coal,Anthracite                                        ,tonnes (metric),1970,337922.0
"Korea, Dem. P.R. of",exports,coal,nan,tonnes (metric),1970,
Morocco,exports,coal,Anthracite                                        ,tonnes (metric),1970,55437.0
Mozambique,exports,coal,nan,tonnes (metric),1970,108099.0
Netherlands,exports,coal,Anthracite                                        ,tonnes (metric),1970,
Netherlands,exports,coal,Briquettes                                        ,tonnes (metric),1970,
Netherlands,exports,coal,Other coal                                        ,tonnes (metric),1970,
Netherlands,exports,coal,nan,tonnes (metric),1970,1646511.0
New Zealand,exports,coal,nan,tonnes (metric),1970,
Nigeria,exports,coal,nan,tonnes (metric),1970,
Norway,exports,coal,nan,tonnes (metric),1970,101444.0
Poland,exports,coal,Brown coal                                        ,tonnes (metric),1970,3972000.0
Poland,exports,coal,Other coal                                        ,tonnes (metric),1970,28816000.0
South Africa,exports,coal,Anthracite                                        ,tonnes (metric),1970,976020.0
South Africa,exports,coal,Bituminous,tonnes (metric),1970,530830.0
South Africa,exports,coal,Other coal                                        ,tonnes (metric),1970,530830.0
Soviet Union,exports,coal,Anthracite                                        ,tonnes (metric),1970,4300000.0
Soviet Union,exports,coal,Other coal                                        ,tonnes (metric),1970,20000000.0
Soviet Union,exports,coal,nan,tonnes (metric),1970,
Spain,exports,coal,Anthracite                                        ,tonnes (metric),1970,203736.0
Sweden,exports,coal,nan,tonnes (metric),1970,139471.0
Switzerland,exports,coal,nan,tonnes (metric),1970,34301.0
Turkey,exports,coal,Lignite                                           ,tonnes (metric),1970,
Turkey,exports,coal,Other coal                                        ,tonnes (metric),1970,
Turkey,exports,coal,nan,tonnes (metric),1970,260833.0
USA,exports,coal,Anthracite                                        ,tonnes (metric),1970,716218.0
USA,exports,coal,Bituminous,tonnes (metric),1970,64359000.0
USA,exports,coal,Lignite                                           ,tonnes (metric),1970,
USA,exports,coal,Other coal                                        ,tonnes (metric),1970,64359000.0
United Kingdom,exports,coal,Anthracite                                        ,tonnes (metric),1970,1422525.0
United Kingdom,exports,coal,Bituminous,tonnes (metric),1970,1940005.0
United Kingdom,exports,coal,Briquettes                                        ,tonnes (metric),1970,
United Kingdom,exports,coal,Other coal                                        ,tonnes (metric),1970,1940005.0
Yugoslavia,exports,coal,Brown coal                                        ,tonnes (metric),1970,35950.0
Yugoslavia,exports,coal,Lignite                                           ,tonnes (metric),1970,129743.0
Zimbabwe,exports,coal,nan,tonnes (metric),1970,
Albania,exports,coal,Lignite                                           ,tonnes (metric),1970,
Belgium-Luxembourg,exports,coal,Lignite                                           ,tonnes (metric),1970,
Bulgaria,exports,coal,Other coal                                        ,tonnes (metric),1970,
