Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Belgium-Luxembourg,exports,cobalt,Metal & refined,tonnes (metric),1970,
Belgium-Luxembourg,exports,cobalt,Oxides                                            ,tonnes (metric),1970,
Belgium-Luxembourg,exports,cobalt,nan,tonnes (metric),1970,1322.0
Canada,exports,cobalt,Metal & refined,tonnes (metric),1970,
Canada,exports,cobalt,Oxides                                            ,tonnes (metric),1970,837.0
Canada,exports,cobalt,nan,tonnes (metric),1970,381.0
Finland,exports,cobalt,Metal & refined,tonnes (metric),1970,
Finland,exports,cobalt,Oxides                                            ,tonnes (metric),1970,
Finland,exports,cobalt,nan,tonnes (metric),1970,703.0
France,exports,cobalt,Metal & refined,tonnes (metric),1970,
France,exports,cobalt,Oxides                                            ,tonnes (metric),1970,108.0
France,exports,cobalt,Scrap,tonnes (metric),1970,275.0
German Federal Republic,exports,cobalt,Metal & refined,tonnes (metric),1970,
German Federal Republic,exports,cobalt,Oxides                                            ,tonnes (metric),1970,14.0
German Federal Republic,exports,cobalt,nan,tonnes (metric),1970,197.0
Italy,exports,cobalt,nan,tonnes (metric),1970,
Japan,exports,cobalt,Oxides                                            ,tonnes (metric),1970,
Morocco,exports,cobalt,Ore                                               ,tonnes (metric),1970,8750.0
Netherlands,exports,cobalt,Metal & refined,tonnes (metric),1970,
Netherlands,exports,cobalt,Oxides                                            ,tonnes (metric),1970,
Netherlands,exports,cobalt,nan,tonnes (metric),1970,372.0
Norway,exports,cobalt,nan,tonnes (metric),1970,720.0
Sweden,exports,cobalt,Metal & refined,tonnes (metric),1970,
Sweden,exports,cobalt,Oxides                                            ,tonnes (metric),1970,
Sweden,exports,cobalt,nan,tonnes (metric),1970,
Switzerland,exports,cobalt,Oxides                                            ,tonnes (metric),1970,
USA,exports,cobalt,Metal & refined,tonnes (metric),1970,
USA,exports,cobalt,Oxides                                            ,tonnes (metric),1970,69.0
USA,exports,cobalt,Unwrought,tonnes (metric),1970,969.0
USA,exports,cobalt,nan,tonnes (metric),1970,
United Kingdom,exports,cobalt,Metal & refined,tonnes (metric),1970,
United Kingdom,exports,cobalt,Oxides                                            ,tonnes (metric),1970,346.0
United Kingdom,exports,cobalt,nan,tonnes (metric),1970,555.0
Zaire,exports,cobalt,nan,tonnes (metric),1970,14100.0
Zambia,exports,cobalt,nan,tonnes (metric),1970,1814.0
Austria,exports,cobalt,Oxides,tonnes (metric),1970,
Austria,exports,cobalt,nan,tonnes (metric),1970,
Belgium-Luxembourg,exports,cobalt,Oxides,tonnes (metric),1970,
Brazil,exports,cobalt,Metal & refined,tonnes (metric),1970,
Brazil,exports,cobalt,nan,tonnes (metric),1970,
Canada,exports,cobalt,Oxides,tonnes (metric),1970,
China,exports,cobalt,Metal & refined,tonnes (metric),1970,
China,exports,cobalt,Oxides,tonnes (metric),1970,
Cuba,exports,cobalt,"Oxide, sinter & sulphide",tonnes (metric),1970,
