Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Austria,exports,feldspar,nan,tonnes (metric),1970,712.0
Belgium-Luxembourg,exports,feldspar,nan,tonnes (metric),1970,15422.0
Brazil,exports,feldspar,nan,tonnes (metric),1970,
China,exports,feldspar,nan,tonnes (metric),1970,
Finland,exports,feldspar,nan,tonnes (metric),1970,59914.0
France,exports,feldspar,nan,tonnes (metric),1970,34360.0
German Federal Republic,exports,feldspar,nan,tonnes (metric),1970,14287.0
Guatemala,exports,feldspar,nan,tonnes (metric),1970,
Hong Kong,exports,feldspar,nan,tonnes (metric),1970,
India,exports,feldspar,nan,tonnes (metric),1970,12409.0
Italy,exports,feldspar,nan,tonnes (metric),1970,25890.0
Japan,exports,feldspar,nan,tonnes (metric),1970,3613.0
Korea (Rep. of),exports,feldspar,nan,tonnes (metric),1970,5825.0
Netherlands,exports,feldspar,nan,tonnes (metric),1970,184.0
Norway,exports,feldspar,nan,tonnes (metric),1970,77709.0
Portugal,exports,feldspar,nan,tonnes (metric),1970,9779.0
Singapore,exports,feldspar,nan,tonnes (metric),1970,
South Africa,exports,feldspar,nan,tonnes (metric),1970,13127.0
Spain,exports,feldspar,nan,tonnes (metric),1970,45.0
Sweden,exports,feldspar,nan,tonnes (metric),1970,16641.0
Switzerland,exports,feldspar,nan,tonnes (metric),1970,
Thailand,exports,feldspar,nan,tonnes (metric),1970,
Tunisia,exports,feldspar,nan,tonnes (metric),1970,8665.0
USA,exports,feldspar,nan,tonnes (metric),1970,5053.0
United Kingdom,exports,feldspar,nan,tonnes (metric),1970,3381.0
Yugoslavia,exports,feldspar,nan,tonnes (metric),1970,16840.0
Australia,exports,feldspar,nan,tonnes (metric),1970,
Czechoslovakia,exports,feldspar,nan,tonnes (metric),1970,
Germany,exports,feldspar,nan,tonnes (metric),1970,
Mexico,exports,feldspar,nan,tonnes (metric),1970,
Turkey,exports,feldspar,nan,tonnes (metric),1970,
Argentina,exports,feldspar,nan,tonnes (metric),1970,
Czech Republic,exports,feldspar,nan,tonnes (metric),1970,
Greece,exports,feldspar,nan,tonnes (metric),1970,
Iran,exports,feldspar,nan,tonnes (metric),1970,
North Macedonia,exports,feldspar,nan,tonnes (metric),1970,
Philippines,exports,feldspar,nan,tonnes (metric),1970,
Poland,exports,feldspar,nan,tonnes (metric),1970,
Romania,exports,feldspar,nan,tonnes (metric),1970,
Russia,exports,feldspar,nan,tonnes (metric),1970,
Taiwan,exports,feldspar,nan,tonnes (metric),1970,
Belgium,exports,feldspar,nan,tonnes (metric),1970,
Bulgaria,exports,feldspar,nan,tonnes (metric),1970,
Egypt,exports,feldspar,nan,tonnes (metric),1970,
Mongolia,exports,feldspar,nan,tonnes (metric),1970,
Slovakia,exports,feldspar,nan,tonnes (metric),1970,
Slovenia,exports,feldspar,nan,tonnes (metric),1970,
Austria,exports,feldspar,nan,tonnes (metric),1971,1363.0
Belgium-Luxembourg,exports,feldspar,nan,tonnes (metric),1971,4597.0
Brazil,exports,feldspar,nan,tonnes (metric),1971,
China,exports,feldspar,nan,tonnes (metric),1971,
Finland,exports,feldspar,nan,tonnes (metric),1971,40869.0
France,exports,feldspar,nan,tonnes (metric),1971,35837.0
German Federal Republic,exports,feldspar,nan,tonnes (metric),1971,8714.0
Guatemala,exports,feldspar,nan,tonnes (metric),1971,
Hong Kong,exports,feldspar,nan,tonnes (metric),1971,
India,exports,feldspar,nan,tonnes (metric),1971,9176.0
Italy,exports,feldspar,nan,tonnes (metric),1971,26814.0
Japan,exports,feldspar,nan,tonnes (metric),1971,3701.0
Korea (Rep. of),exports,feldspar,nan,tonnes (metric),1971,4596.0
Netherlands,exports,feldspar,nan,tonnes (metric),1971,73.0
Norway,exports,feldspar,nan,tonnes (metric),1971,79406.0
Portugal,exports,feldspar,nan,tonnes (metric),1971,10407.0
Singapore,exports,feldspar,nan,tonnes (metric),1971,
South Africa,exports,feldspar,nan,tonnes (metric),1971,12382.0
Spain,exports,feldspar,nan,tonnes (metric),1971,487.0
Sweden,exports,feldspar,nan,tonnes (metric),1971,16673.0
Switzerland,exports,feldspar,nan,tonnes (metric),1971,
Thailand,exports,feldspar,nan,tonnes (metric),1971,
Tunisia,exports,feldspar,nan,tonnes (metric),1971,17372.0
USA,exports,feldspar,nan,tonnes (metric),1971,3614.0
United Kingdom,exports,feldspar,nan,tonnes (metric),1971,3974.0
Yugoslavia,exports,feldspar,nan,tonnes (metric),1971,17384.0
Australia,exports,feldspar,nan,tonnes (metric),1971,
Czechoslovakia,exports,feldspar,nan,tonnes (metric),1971,
Germany,exports,feldspar,nan,tonnes (metric),1971,
Mexico,exports,feldspar,nan,tonnes (metric),1971,
Turkey,exports,feldspar,nan,tonnes (metric),1971,
Argentina,exports,feldspar,nan,tonnes (metric),1971,
Czech Republic,exports,feldspar,nan,tonnes (metric),1971,
Greece,exports,feldspar,nan,tonnes (metric),1971,
Iran,exports,feldspar,nan,tonnes (metric),1971,
North Macedonia,exports,feldspar,nan,tonnes (metric),1971,
Philippines,exports,feldspar,nan,tonnes (metric),1971,
Poland,exports,feldspar,nan,tonnes (metric),1971,
Romania,exports,feldspar,nan,tonnes (metric),1971,
Russia,exports,feldspar,nan,tonnes (metric),1971,
Taiwan,exports,feldspar,nan,tonnes (metric),1971,
Belgium,exports,feldspar,nan,tonnes (metric),1971,
Bulgaria,exports,feldspar,nan,tonnes (metric),1971,
Egypt,exports,feldspar,nan,tonnes (metric),1971,
Mongolia,exports,feldspar,nan,tonnes (metric),1971,
Slovakia,exports,feldspar,nan,tonnes (metric),1971,
Slovenia,exports,feldspar,nan,tonnes (metric),1971,
Austria,exports,feldspar,nan,tonnes (metric),1972,1120.0
Belgium-Luxembourg,exports,feldspar,nan,tonnes (metric),1972,639.0
Brazil,exports,feldspar,nan,tonnes (metric),1972,
