Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,fluorspar,nan,tonnes (metric),1970,22550.0
Argentina,exports,fluorspar,nan,tonnes (metric),1970,679.0
Belgium-Luxembourg,exports,fluorspar,nan,tonnes (metric),1970,
Brazil,exports,fluorspar,nan,tonnes (metric),1970,20650.0
China,exports,fluorspar,nan,tonnes (metric),1970,
France,exports,fluorspar,nan,tonnes (metric),1970,146456.0
German Democratic Rep,exports,fluorspar,nan,tonnes (metric),1970,
German Federal Republic,exports,fluorspar,nan,tonnes (metric),1970,7986.0
Italy,exports,fluorspar,nan,tonnes (metric),1970,126956.0
Japan,exports,fluorspar,nan,tonnes (metric),1970,
Kenya,exports,fluorspar,nan,tonnes (metric),1970,
Korea (Rep. of),exports,fluorspar,nan,tonnes (metric),1970,33628.0
"Korea, Dem. P.R. of",exports,fluorspar,nan,tonnes (metric),1970,
Mexico,exports,fluorspar,nan,tonnes (metric),1970,919465.0
Morocco,exports,fluorspar,nan,tonnes (metric),1970,
Netherlands,exports,fluorspar,nan,tonnes (metric),1970,
Singapore,exports,fluorspar,nan,tonnes (metric),1970,
South Africa,exports,fluorspar,nan,tonnes (metric),1970,110473.0
Spain,exports,fluorspar,nan,tonnes (metric),1970,170431.0
Sweden,exports,fluorspar,nan,tonnes (metric),1970,504.0
Thailand,exports,fluorspar,nan,tonnes (metric),1970,349257.0
Tunisia,exports,fluorspar,nan,tonnes (metric),1970,
USA,exports,fluorspar,nan,tonnes (metric),1970,13565.0
United Kingdom,exports,fluorspar,nan,tonnes (metric),1970,51000.0
Canada,exports,fluorspar,nan,tonnes (metric),1970,
Germany,exports,fluorspar,nan,tonnes (metric),1970,
Namibia,exports,fluorspar,nan,tonnes (metric),1970,
Austria,exports,fluorspar,nan,tonnes (metric),1970,
Belarus,exports,fluorspar,nan,tonnes (metric),1970,
Czech Republic,exports,fluorspar,nan,tonnes (metric),1970,
Hong Kong,exports,fluorspar,nan,tonnes (metric),1970,
India,exports,fluorspar,nan,tonnes (metric),1970,
Iran,exports,fluorspar,nan,tonnes (metric),1970,
Jordan,exports,fluorspar,nan,tonnes (metric),1970,
Kyrgyzstan,exports,fluorspar,nan,tonnes (metric),1970,
Mongolia,exports,fluorspar,nan,tonnes (metric),1970,
Russia,exports,fluorspar,nan,tonnes (metric),1970,
Uzbekistan,exports,fluorspar,nan,tonnes (metric),1970,
Belgium,exports,fluorspar,nan,tonnes (metric),1970,
Bulgaria,exports,fluorspar,nan,tonnes (metric),1970,
Turkey,exports,fluorspar,nan,tonnes (metric),1970,
Greece,exports,fluorspar,nan,tonnes (metric),1970,
Poland,exports,fluorspar,nan,tonnes (metric),1970,
Algeria,exports,fluorspar,nan,tonnes (metric),1971,29960.0
Argentina,exports,fluorspar,nan,tonnes (metric),1971,28215.0
Belgium-Luxembourg,exports,fluorspar,nan,tonnes (metric),1971,
Brazil,exports,fluorspar,nan,tonnes (metric),1971,22094.0
China,exports,fluorspar,nan,tonnes (metric),1971,
France,exports,fluorspar,nan,tonnes (metric),1971,122216.0
German Democratic Rep,exports,fluorspar,nan,tonnes (metric),1971,
German Federal Republic,exports,fluorspar,nan,tonnes (metric),1971,10220.0
Italy,exports,fluorspar,nan,tonnes (metric),1971,161073.0
Japan,exports,fluorspar,nan,tonnes (metric),1971,
Kenya,exports,fluorspar,nan,tonnes (metric),1971,
Korea (Rep. of),exports,fluorspar,nan,tonnes (metric),1971,45878.0
"Korea, Dem. P.R. of",exports,fluorspar,nan,tonnes (metric),1971,
Mexico,exports,fluorspar,nan,tonnes (metric),1971,1094128.0
Morocco,exports,fluorspar,nan,tonnes (metric),1971,
Netherlands,exports,fluorspar,nan,tonnes (metric),1971,
Singapore,exports,fluorspar,nan,tonnes (metric),1971,
South Africa,exports,fluorspar,nan,tonnes (metric),1971,157735.0
Spain,exports,fluorspar,nan,tonnes (metric),1971,209354.0
Sweden,exports,fluorspar,nan,tonnes (metric),1971,878.0
Thailand,exports,fluorspar,nan,tonnes (metric),1971,335774.0
Tunisia,exports,fluorspar,nan,tonnes (metric),1971,
USA,exports,fluorspar,nan,tonnes (metric),1971,11331.0
United Kingdom,exports,fluorspar,nan,tonnes (metric),1971,68800.0
Canada,exports,fluorspar,nan,tonnes (metric),1971,
Germany,exports,fluorspar,nan,tonnes (metric),1971,
Namibia,exports,fluorspar,nan,tonnes (metric),1971,
Austria,exports,fluorspar,nan,tonnes (metric),1971,
Belarus,exports,fluorspar,nan,tonnes (metric),1971,
Czech Republic,exports,fluorspar,nan,tonnes (metric),1971,
Hong Kong,exports,fluorspar,nan,tonnes (metric),1971,
India,exports,fluorspar,nan,tonnes (metric),1971,
Iran,exports,fluorspar,nan,tonnes (metric),1971,
Jordan,exports,fluorspar,nan,tonnes (metric),1971,
Kyrgyzstan,exports,fluorspar,nan,tonnes (metric),1971,
Mongolia,exports,fluorspar,nan,tonnes (metric),1971,
Russia,exports,fluorspar,nan,tonnes (metric),1971,
Uzbekistan,exports,fluorspar,nan,tonnes (metric),1971,
Belgium,exports,fluorspar,nan,tonnes (metric),1971,
Bulgaria,exports,fluorspar,nan,tonnes (metric),1971,
Turkey,exports,fluorspar,nan,tonnes (metric),1971,
Greece,exports,fluorspar,nan,tonnes (metric),1971,
Poland,exports,fluorspar,nan,tonnes (metric),1971,
Algeria,exports,fluorspar,nan,tonnes (metric),1972,
Argentina,exports,fluorspar,nan,tonnes (metric),1972,4274.0
Belgium-Luxembourg,exports,fluorspar,nan,tonnes (metric),1972,
Brazil,exports,fluorspar,nan,tonnes (metric),1972,26835.0
China,exports,fluorspar,nan,tonnes (metric),1972,159700.0
France,exports,fluorspar,nan,tonnes (metric),1972,75163.0
German Democratic Rep,exports,fluorspar,nan,tonnes (metric),1972,
German Federal Republic,exports,fluorspar,nan,tonnes (metric),1972,9991.0
Italy,exports,fluorspar,nan,tonnes (metric),1972,67063.0
