Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,exports,gemstones,nan,,2010,
Albania,exports,gemstones,nan,,2010,
Austria,exports,gemstones,nan,,2010,
Austria,exports,gemstones,nan,,2010,
Belgium,exports,gemstones,nan,,2010,
Belgium,exports,gemstones,nan,,2010,
Bulgaria,exports,gemstones,nan,,2010,
Bulgaria,exports,gemstones,nan,,2010,
Croatia,exports,gemstones,nan,,2010,
Croatia,exports,gemstones,nan,,2010,
Cyprus,exports,gemstones,nan,,2010,
Cyprus,exports,gemstones,nan,,2010,
Czech Republic,exports,gemstones,nan,,2010,
Czech Republic,exports,gemstones,nan,,2010,
Denmark,exports,gemstones,nan,,2010,
Denmark,exports,gemstones,nan,,2010,
Estonia,exports,gemstones,nan,,2010,
Estonia,exports,gemstones,nan,,2010,
Finland,exports,gemstones,nan,,2010,
Finland,exports,gemstones,nan,,2010,
France,exports,gemstones,nan,,2010,
France,exports,gemstones,nan,,2010,
Germany,exports,gemstones,nan,,2010,
Germany,exports,gemstones,nan,,2010,
Greece,exports,gemstones,nan,,2010,
Greece,exports,gemstones,nan,,2010,
Hungary,exports,gemstones,nan,,2010,
Hungary,exports,gemstones,nan,,2010,
Iceland,exports,gemstones,nan,,2010,
Iceland,exports,gemstones,nan,,2010,
"Ireland, Republic of",exports,gemstones,nan,,2010,
"Ireland, Republic of",exports,gemstones,nan,,2010,
Italy,exports,gemstones,nan,,2010,
Italy,exports,gemstones,nan,,2010,
Latvia,exports,gemstones,nan,,2010,
Latvia,exports,gemstones,nan,,2010,
Lithuania,exports,gemstones,nan,,2010,
Lithuania,exports,gemstones,nan,,2010,
Luxembourg,exports,gemstones,nan,,2010,
Luxembourg,exports,gemstones,nan,,2010,
Malta,exports,gemstones,nan,,2010,
Malta,exports,gemstones,nan,,2010,
Montenegro,exports,gemstones,nan,,2010,
Montenegro,exports,gemstones,nan,,2010,
North Macedonia,exports,gemstones,nan,,2010,
North Macedonia,exports,gemstones,nan,,2010,
Norway,exports,gemstones,nan,,2010,
Norway,exports,gemstones,nan,,2010,
Poland,exports,gemstones,nan,,2010,
Poland,exports,gemstones,nan,,2010,
Portugal,exports,gemstones,nan,,2010,
Portugal,exports,gemstones,nan,,2010,
Romania,exports,gemstones,nan,,2010,
Romania,exports,gemstones,nan,,2010,
Serbia,exports,gemstones,nan,,2010,
Serbia,exports,gemstones,nan,,2010,
Slovakia,exports,gemstones,nan,,2010,
Slovakia,exports,gemstones,nan,,2010,
Slovenia,exports,gemstones,nan,,2010,
