Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Angola,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,5343.0
Argentina,exports,gypsum_and_plaster,nan,tonnes (metric),1970,12240.0
Australia,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,1598.0
Australia,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,204119.0
Australia,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
Austria,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,2577.0
Austria,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,140327.0
Belgium-Luxembourg,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,9081.0
Belgium-Luxembourg,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,386.0
Bolivia,exports,gypsum_and_plaster,nan,tonnes (metric),1970,500.0
Brazil,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Canada,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,4402845.0
China,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Colombia,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Cyprus,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,0.0
Cyprus,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,4421.0
Denmark,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,25.0
Dominican Republic,exports,gypsum_and_plaster,nan,tonnes (metric),1970,84075.0
Egypt,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
France,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,110286.0
France,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,1098503.0
German Democratic Rep,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,61399.0
German Federal Republic,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
German Federal Republic,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,
German Federal Republic,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,258992.0
Greece,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Guatemala,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Hong Kong,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Iran,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,1851.0
Iran,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,
Iraq,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
"Ireland, Republic of",exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
"Ireland, Republic of",exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,108268.0
"Ireland, Republic of",exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Italy,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,18170.0
Italy,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,16019.0
Jamaica,exports,gypsum_and_plaster,nan,tonnes (metric),1970,242000.0
Japan,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,23333.0
Japan,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,5091.0
Kenya,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Korea (Rep. of),exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
Korea (Rep. of),exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,
Mauritania,exports,gypsum_and_plaster,nan,tonnes (metric),1970,0.0
Mexico,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,10.0
Mexico,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,1056206.0
Mexico,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Morocco,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,754.0
Morocco,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,103904.0
Netherlands,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,898.0
Netherlands,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,
Netherlands,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
Netherlands,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Nicaragua,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,6864.0
Nicaragua,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Norway,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,10756.0
Poland,exports,gypsum_and_plaster,nan,tonnes (metric),1970,587154.0
Romania,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
Romania,exports,gypsum_and_plaster,nan,tonnes (metric),1970,148400.0
Saudi Arabia,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,3750.0
Singapore,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,311.0
South Africa,exports,gypsum_and_plaster,nan,tonnes (metric),1970,34004.0
Soviet Union,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Spain,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,4133.0
Sweden,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
Switzerland,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
Switzerland,exports,gypsum_and_plaster,Ground & calcined                                 ,tonnes (metric),1970,2370.0
Syria,exports,gypsum_and_plaster,nan,tonnes (metric),1970,41105.0
Taiwan,exports,gypsum_and_plaster,nan,tonnes (metric),1970,
Tanzania,exports,gypsum_and_plaster,nan,tonnes (metric),1970,2350.0
Thailand,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
Thailand,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,
Thailand,exports,gypsum_and_plaster,nan,tonnes (metric),1970,37904.0
Turkey,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
USA,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,27797.0
USA,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,8850.0
United Kingdom,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,8593.0
United Kingdom,exports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,4503.0
Venezuela,exports,gypsum_and_plaster,nan,tonnes (metric),1970,13350.0
Canada,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
Cyprus,exports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
Germany,exports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
