Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Belgium-Luxembourg,exports,iodine,nan,kilograms,1970,
Chile,exports,iodine,nan,kilograms,1970,
Denmark,exports,iodine,nan,kilograms,1970,
France,exports,iodine,nan,kilograms,1970,
German Federal Republic,exports,iodine,nan,kilograms,1970,
Indonesia,exports,iodine,nan,kilograms,1970,
Italy,exports,iodine,nan,kilograms,1970,
Japan,exports,iodine,nan,kilograms,1970,
Netherlands,exports,iodine,nan,kilograms,1970,
Poland,exports,iodine,nan,kilograms,1970,
Portugal,exports,iodine,nan,kilograms,1970,
Spain,exports,iodine,nan,kilograms,1970,
United Kingdom,exports,iodine,nan,kilograms,1970,
Germany,exports,iodine,nan,kilograms,1970,
Hong Kong,exports,iodine,nan,kilograms,1970,
Switzerland,exports,iodine,nan,kilograms,1970,
Taiwan,exports,iodine,nan,kilograms,1970,
USA,exports,iodine,nan,kilograms,1970,
Australia,exports,iodine,nan,kilograms,1970,
Azerbaijan,exports,iodine,nan,kilograms,1970,
Brazil,exports,iodine,nan,kilograms,1970,
Canada,exports,iodine,nan,kilograms,1970,
China,exports,iodine,nan,kilograms,1970,
Czech Republic,exports,iodine,nan,kilograms,1970,
Greece,exports,iodine,nan,kilograms,1970,
India,exports,iodine,nan,kilograms,1970,
"Ireland, Republic of",exports,iodine,nan,kilograms,1970,
Lithuania,exports,iodine,nan,kilograms,1970,
Mexico,exports,iodine,nan,kilograms,1970,
Norway,exports,iodine,nan,kilograms,1970,
Russia,exports,iodine,nan,kilograms,1970,
Saudi Arabia,exports,iodine,nan,kilograms,1970,
Singapore,exports,iodine,nan,kilograms,1970,
Sweden,exports,iodine,nan,kilograms,1970,
Turkey,exports,iodine,nan,kilograms,1970,
Austria,exports,iodine,nan,kilograms,1970,
Belgium,exports,iodine,nan,kilograms,1970,
Bulgaria,exports,iodine,nan,kilograms,1970,
Latvia,exports,iodine,nan,kilograms,1970,
Cyprus,exports,iodine,nan,kilograms,1970,
Estonia,exports,iodine,nan,kilograms,1970,
Hungary,exports,iodine,nan,kilograms,1970,
Luxembourg,exports,iodine,nan,kilograms,1970,
Belgium-Luxembourg,exports,iodine,nan,kilograms,1971,
Chile,exports,iodine,nan,kilograms,1971,
Denmark,exports,iodine,nan,kilograms,1971,
France,exports,iodine,nan,kilograms,1971,
German Federal Republic,exports,iodine,nan,kilograms,1971,
Indonesia,exports,iodine,nan,kilograms,1971,
Italy,exports,iodine,nan,kilograms,1971,
Japan,exports,iodine,nan,kilograms,1971,
Netherlands,exports,iodine,nan,kilograms,1971,
Poland,exports,iodine,nan,kilograms,1971,
Portugal,exports,iodine,nan,kilograms,1971,
Spain,exports,iodine,nan,kilograms,1971,
United Kingdom,exports,iodine,nan,kilograms,1971,
Germany,exports,iodine,nan,kilograms,1971,
Hong Kong,exports,iodine,nan,kilograms,1971,
Switzerland,exports,iodine,nan,kilograms,1971,
Taiwan,exports,iodine,nan,kilograms,1971,
USA,exports,iodine,nan,kilograms,1971,
Australia,exports,iodine,nan,kilograms,1971,
Azerbaijan,exports,iodine,nan,kilograms,1971,
Brazil,exports,iodine,nan,kilograms,1971,
Canada,exports,iodine,nan,kilograms,1971,
China,exports,iodine,nan,kilograms,1971,
Czech Republic,exports,iodine,nan,kilograms,1971,
Greece,exports,iodine,nan,kilograms,1971,
India,exports,iodine,nan,kilograms,1971,
"Ireland, Republic of",exports,iodine,nan,kilograms,1971,
Lithuania,exports,iodine,nan,kilograms,1971,
Mexico,exports,iodine,nan,kilograms,1971,
Norway,exports,iodine,nan,kilograms,1971,
Russia,exports,iodine,nan,kilograms,1971,
Saudi Arabia,exports,iodine,nan,kilograms,1971,
Singapore,exports,iodine,nan,kilograms,1971,
Sweden,exports,iodine,nan,kilograms,1971,
Turkey,exports,iodine,nan,kilograms,1971,
Austria,exports,iodine,nan,kilograms,1971,
Belgium,exports,iodine,nan,kilograms,1971,
Bulgaria,exports,iodine,nan,kilograms,1971,
Latvia,exports,iodine,nan,kilograms,1971,
Cyprus,exports,iodine,nan,kilograms,1971,
Estonia,exports,iodine,nan,kilograms,1971,
Hungary,exports,iodine,nan,kilograms,1971,
Luxembourg,exports,iodine,nan,kilograms,1971,
Belgium-Luxembourg,exports,iodine,nan,kilograms,1972,
Chile,exports,iodine,nan,kilograms,1972,
Denmark,exports,iodine,nan,kilograms,1972,
France,exports,iodine,nan,kilograms,1972,
German Federal Republic,exports,iodine,nan,kilograms,1972,
Indonesia,exports,iodine,nan,kilograms,1972,
Italy,exports,iodine,nan,kilograms,1972,
Japan,exports,iodine,nan,kilograms,1972,
Netherlands,exports,iodine,nan,kilograms,1972,
Poland,exports,iodine,nan,kilograms,1972,
Portugal,exports,iodine,nan,kilograms,1972,
Spain,exports,iodine,nan,kilograms,1972,
United Kingdom,exports,iodine,nan,kilograms,1972,
Germany,exports,iodine,nan,kilograms,1972,
Hong Kong,exports,iodine,nan,kilograms,1972,
Switzerland,exports,iodine,nan,kilograms,1972,
Taiwan,exports,iodine,nan,kilograms,1972,
USA,exports,iodine,nan,kilograms,1972,
Australia,exports,iodine,nan,kilograms,1972,
Azerbaijan,exports,iodine,nan,kilograms,1972,
Brazil,exports,iodine,nan,kilograms,1972,
Canada,exports,iodine,nan,kilograms,1972,
China,exports,iodine,nan,kilograms,1972,
Czech Republic,exports,iodine,nan,kilograms,1972,
Greece,exports,iodine,nan,kilograms,1972,
India,exports,iodine,nan,kilograms,1972,
"Ireland, Republic of",exports,iodine,nan,kilograms,1972,
Lithuania,exports,iodine,nan,kilograms,1972,
Mexico,exports,iodine,nan,kilograms,1972,
Norway,exports,iodine,nan,kilograms,1972,
Russia,exports,iodine,nan,kilograms,1972,
Saudi Arabia,exports,iodine,nan,kilograms,1972,
Singapore,exports,iodine,nan,kilograms,1972,
Sweden,exports,iodine,nan,kilograms,1972,
Turkey,exports,iodine,nan,kilograms,1972,
Austria,exports,iodine,nan,kilograms,1972,
Belgium,exports,iodine,nan,kilograms,1972,
Bulgaria,exports,iodine,nan,kilograms,1972,
Latvia,exports,iodine,nan,kilograms,1972,
Cyprus,exports,iodine,nan,kilograms,1972,
Estonia,exports,iodine,nan,kilograms,1972,
Hungary,exports,iodine,nan,kilograms,1972,
Luxembourg,exports,iodine,nan,kilograms,1972,
Belgium-Luxembourg,exports,iodine,nan,kilograms,1973,
Chile,exports,iodine,nan,kilograms,1973,
Denmark,exports,iodine,nan,kilograms,1973,
France,exports,iodine,nan,kilograms,1973,
German Federal Republic,exports,iodine,nan,kilograms,1973,
Indonesia,exports,iodine,nan,kilograms,1973,
Italy,exports,iodine,nan,kilograms,1973,
Japan,exports,iodine,nan,kilograms,1973,
Netherlands,exports,iodine,nan,kilograms,1973,
Poland,exports,iodine,nan,kilograms,1973,
Portugal,exports,iodine,nan,kilograms,1973,
Spain,exports,iodine,nan,kilograms,1973,
United Kingdom,exports,iodine,nan,kilograms,1973,
Germany,exports,iodine,nan,kilograms,1973,
Hong Kong,exports,iodine,nan,kilograms,1973,
Switzerland,exports,iodine,nan,kilograms,1973,
Taiwan,exports,iodine,nan,kilograms,1973,
USA,exports,iodine,nan,kilograms,1973,
Australia,exports,iodine,nan,kilograms,1973,
Azerbaijan,exports,iodine,nan,kilograms,1973,
Brazil,exports,iodine,nan,kilograms,1973,
Canada,exports,iodine,nan,kilograms,1973,
China,exports,iodine,nan,kilograms,1973,
Czech Republic,exports,iodine,nan,kilograms,1973,
Greece,exports,iodine,nan,kilograms,1973,
India,exports,iodine,nan,kilograms,1973,
"Ireland, Republic of",exports,iodine,nan,kilograms,1973,
Lithuania,exports,iodine,nan,kilograms,1973,
Mexico,exports,iodine,nan,kilograms,1973,
Norway,exports,iodine,nan,kilograms,1973,
Russia,exports,iodine,nan,kilograms,1973,
Saudi Arabia,exports,iodine,nan,kilograms,1973,
Singapore,exports,iodine,nan,kilograms,1973,
Sweden,exports,iodine,nan,kilograms,1973,
Turkey,exports,iodine,nan,kilograms,1973,
Austria,exports,iodine,nan,kilograms,1973,
Belgium,exports,iodine,nan,kilograms,1973,
Bulgaria,exports,iodine,nan,kilograms,1973,
Latvia,exports,iodine,nan,kilograms,1973,
Cyprus,exports,iodine,nan,kilograms,1973,
Estonia,exports,iodine,nan,kilograms,1973,
Hungary,exports,iodine,nan,kilograms,1973,
Luxembourg,exports,iodine,nan,kilograms,1973,
Belgium-Luxembourg,exports,iodine,nan,kilograms,1974,
Chile,exports,iodine,nan,kilograms,1974,
Denmark,exports,iodine,nan,kilograms,1974,
France,exports,iodine,nan,kilograms,1974,
German Federal Republic,exports,iodine,nan,kilograms,1974,
Indonesia,exports,iodine,nan,kilograms,1974,
Italy,exports,iodine,nan,kilograms,1974,
Japan,exports,iodine,nan,kilograms,1974,
Netherlands,exports,iodine,nan,kilograms,1974,
Poland,exports,iodine,nan,kilograms,1974,
Portugal,exports,iodine,nan,kilograms,1974,
Spain,exports,iodine,nan,kilograms,1974,
United Kingdom,exports,iodine,nan,kilograms,1974,
Germany,exports,iodine,nan,kilograms,1974,
Hong Kong,exports,iodine,nan,kilograms,1974,
Switzerland,exports,iodine,nan,kilograms,1974,
Taiwan,exports,iodine,nan,kilograms,1974,
USA,exports,iodine,nan,kilograms,1974,
Australia,exports,iodine,nan,kilograms,1974,
Azerbaijan,exports,iodine,nan,kilograms,1974,
Brazil,exports,iodine,nan,kilograms,1974,
Canada,exports,iodine,nan,kilograms,1974,
China,exports,iodine,nan,kilograms,1974,
Czech Republic,exports,iodine,nan,kilograms,1974,
Greece,exports,iodine,nan,kilograms,1974,
India,exports,iodine,nan,kilograms,1974,
"Ireland, Republic of",exports,iodine,nan,kilograms,1974,
Lithuania,exports,iodine,nan,kilograms,1974,
Mexico,exports,iodine,nan,kilograms,1974,
Norway,exports,iodine,nan,kilograms,1974,
Russia,exports,iodine,nan,kilograms,1974,
Saudi Arabia,exports,iodine,nan,kilograms,1974,
Singapore,exports,iodine,nan,kilograms,1974,
Sweden,exports,iodine,nan,kilograms,1974,
Turkey,exports,iodine,nan,kilograms,1974,
Austria,exports,iodine,nan,kilograms,1974,
Belgium,exports,iodine,nan,kilograms,1974,
Bulgaria,exports,iodine,nan,kilograms,1974,
Latvia,exports,iodine,nan,kilograms,1974,
Cyprus,exports,iodine,nan,kilograms,1974,
Estonia,exports,iodine,nan,kilograms,1974,
Hungary,exports,iodine,nan,kilograms,1974,
Luxembourg,exports,iodine,nan,kilograms,1974,
Belgium-Luxembourg,exports,iodine,nan,kilograms,1975,9300.0
Chile,exports,iodine,nan,kilograms,1975,
Denmark,exports,iodine,nan,kilograms,1975,1800.0
France,exports,iodine,nan,kilograms,1975,61000.0
German Federal Republic,exports,iodine,nan,kilograms,1975,27700.0
Indonesia,exports,iodine,nan,kilograms,1975,9000.0
Italy,exports,iodine,nan,kilograms,1975,75300.0
Japan,exports,iodine,nan,kilograms,1975,5115761.0
Netherlands,exports,iodine,nan,kilograms,1975,4000.0
Poland,exports,iodine,nan,kilograms,1975,
