Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,exports,iron_steel_and_ferro-alloys,Ferro-chrome,tonnes (metric),1970,
Algeria,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,
Algeria,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Argentina,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,336.0
Australia,exports,iron_steel_and_ferro-alloys,Ferro-alloys,tonnes (metric),1970,182.0
Australia,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,450623.0
Australia,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,290411.0
Australia,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,518160.0
Australia,exports,iron_steel_and_ferro-alloys,Tin-plate scrap,tonnes (metric),1970,11097.0
Austria,exports,iron_steel_and_ferro-alloys,Ferro-alloys,tonnes (metric),1970,5356.0
Austria,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,2136.0
Austria,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,25060.0
Austria,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,6309.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,"Ferro-aluminium, Fe-Si-Al & Fe-Si-Mn-Al",tonnes (metric),1970,
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-chrome,tonnes (metric),1970,
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-manganese,tonnes (metric),1970,69405.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,"Ferro-silico-manganese, Fe-Mo & Fe-V",tonnes (metric),1970,
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-silicon,tonnes (metric),1970,
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-titanium & Fe-Si-Ti,tonnes (metric),1970,21.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-tungsten,tonnes (metric),1970,44.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Ferro-tungsten & Fe-Si-W,tonnes (metric),1970,
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,797783.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,4786.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,4786.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,18565.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,741312.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Spiegeleisen,tonnes (metric),1970,4324.0
Belgium-Luxembourg,exports,iron_steel_and_ferro-alloys,Sponge & powder,tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,Fe-silico-spiegeleisen & Si-Mn,tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-Si-manganese & silico-speigeleisen,tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-chrome,tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-manganese,tonnes (metric),1970,4570.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-nickel,tonnes (metric),1970,7400.0
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-niobium,tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese-aluminium,tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,Ferro-silicon,tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,
Brazil,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,1417.0
Brazil,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,1417.0
Brazil,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,165842.0
Brazil,exports,iron_steel_and_ferro-alloys,Pig iron & spiegeleisen,tonnes (metric),1970,
Brunei,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Bulgaria,exports,iron_steel_and_ferro-alloys,Ferro-alloys,tonnes (metric),1970,
Bulgaria,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,
Bulgaria,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,
Bulgaria,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Cameroon,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Canada,exports,iron_steel_and_ferro-alloys,Ferro-manganese,tonnes (metric),1970,510.0
Canada,exports,iron_steel_and_ferro-alloys,Ferro-silicon,tonnes (metric),1970,45345.0
Canada,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,150492.0
Canada,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,3715.0
Canada,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,3715.0
Canada,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,583136.0
Canada,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,632620.0
Canada,exports,iron_steel_and_ferro-alloys,Sponge,tonnes (metric),1970,
Canada,exports,iron_steel_and_ferro-alloys,Tin-plate scrap,tonnes (metric),1970,21957.0
Chile,exports,iron_steel_and_ferro-alloys,Ferro-manganese,tonnes (metric),1970,629.0
Chile,exports,iron_steel_and_ferro-alloys,Ferro-molybdenum,tonnes (metric),1970,1023.0
Chile,exports,iron_steel_and_ferro-alloys,Ferro-silicon,tonnes (metric),1970,150.0
Chile,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,6480.0
China,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,
China,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,
China,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Colombia,exports,iron_steel_and_ferro-alloys,Ferro-nickel,tonnes (metric),1970,
Cyprus,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Czechoslovakia,exports,iron_steel_and_ferro-alloys,Ferro-chrome,tonnes (metric),1970,
Czechoslovakia,exports,iron_steel_and_ferro-alloys,Ferro-manganese,tonnes (metric),1970,
Czechoslovakia,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,
Czechoslovakia,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,
Czechoslovakia,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Denmark,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,
Denmark,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,22518.0
Dominican Republic,exports,iron_steel_and_ferro-alloys,Ferro-nickel,tonnes (metric),1970,
Egypt,exports,iron_steel_and_ferro-alloys,Ferro-alloys,tonnes (metric),1970,
Egypt,exports,iron_steel_and_ferro-alloys,Pig iron & spiegeleisen,tonnes (metric),1970,
Fiji,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
Finland,exports,iron_steel_and_ferro-alloys,Ferro-chrome & ferro-silico-chrome,tonnes (metric),1970,29465.0
Finland,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,204667.0
Finland,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,
Finland,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,315017.0
Finland,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,4402.0
France,exports,iron_steel_and_ferro-alloys,"Ferro-aluminium, Fe-Si-Al & Fe-Si-Mn-Al",tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Ferro-chrome,tonnes (metric),1970,11389.0
France,exports,iron_steel_and_ferro-alloys,Ferro-manganese,tonnes (metric),1970,300386.0
France,exports,iron_steel_and_ferro-alloys,Ferro-molybdenum,tonnes (metric),1970,934.0
France,exports,iron_steel_and_ferro-alloys,Ferro-nickel,tonnes (metric),1970,15142.0
France,exports,iron_steel_and_ferro-alloys,Ferro-silico-chrome,tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Ferro-silico-magnesium,tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Ferro-silico-zirconium,tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Ferro-silicon,tonnes (metric),1970,47403.0
France,exports,iron_steel_and_ferro-alloys,Ferro-titanium & Fe-Si-Ti,tonnes (metric),1970,3287.0
France,exports,iron_steel_and_ferro-alloys,Ferro-tungsten,tonnes (metric),1970,263.0
France,exports,iron_steel_and_ferro-alloys,Ferro-tungsten & Fe-Si-W,tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Ferro-vanadium,tonnes (metric),1970,147.0
France,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,759795.0
France,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,43643.0
France,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,43643.0
France,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,
France,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,148826.0
France,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,2636874.0
France,exports,iron_steel_and_ferro-alloys,Spiegeleisen,tonnes (metric),1970,2906.0
German Democratic Rep,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,
German Democratic Rep,exports,iron_steel_and_ferro-alloys,Pig iron,tonnes (metric),1970,
German Democratic Rep,exports,iron_steel_and_ferro-alloys,Scrap,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-chrome,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-chrome & ferro-silico-chrome,tonnes (metric),1970,33145.0
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-manganese,tonnes (metric),1970,39133.0
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-molybdenum,tonnes (metric),1970,671.0
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-nickel,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-niobium,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-silico-chrome,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-silicon,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-titanium & Fe-Si-Ti,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-tungsten & Fe-Si-W,tonnes (metric),1970,
German Federal Republic,exports,iron_steel_and_ferro-alloys,Ferro-vanadium,tonnes (metric),1970,641.0
German Federal Republic,exports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",tonnes (metric),1970,717782.0
German Federal Republic,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,23561.0
German Federal Republic,exports,iron_steel_and_ferro-alloys,Other ferro-alloys,tonnes (metric),1970,23561.0
