Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,kaolin,nan,tonnes (metric),1970,
Argentina,exports,kaolin,nan,tonnes (metric),1970,77.0
Austria,exports,kaolin,nan,tonnes (metric),1970,25211.0
Belgium-Luxembourg,exports,kaolin,nan,tonnes (metric),1970,10641.0
Brazil,exports,kaolin,nan,tonnes (metric),1970,1503.0
Bulgaria,exports,kaolin,nan,tonnes (metric),1970,
China,exports,kaolin,nan,tonnes (metric),1970,
Czechoslovakia,exports,kaolin,nan,tonnes (metric),1970,192000.0
Denmark,exports,kaolin,nan,tonnes (metric),1970,
Eswatini (Swaziland),exports,kaolin,nan,tonnes (metric),1970,
France,exports,kaolin,nan,tonnes (metric),1970,70106.0
German Democratic Rep,exports,kaolin,nan,tonnes (metric),1970,85222.0
German Federal Republic,exports,kaolin,nan,tonnes (metric),1970,98381.0
Greece,exports,kaolin,nan,tonnes (metric),1970,
Hong Kong,exports,kaolin,nan,tonnes (metric),1970,4475.0
Hungary,exports,kaolin,nan,tonnes (metric),1970,
India,exports,kaolin,nan,tonnes (metric),1970,380.0
Indonesia,exports,kaolin,nan,tonnes (metric),1970,
Italy,exports,kaolin,nan,tonnes (metric),1970,1680.0
Japan,exports,kaolin,nan,tonnes (metric),1970,8035.0
Korea (Rep. of),exports,kaolin,nan,tonnes (metric),1970,89028.0
Malaysia,exports,kaolin,nan,tonnes (metric),1970,819.0
Mexico,exports,kaolin,nan,tonnes (metric),1970,
Mozambique,exports,kaolin,nan,tonnes (metric),1970,981.0
Netherlands,exports,kaolin,nan,tonnes (metric),1970,45680.0
Portugal,exports,kaolin,nan,tonnes (metric),1970,1325.0
Singapore,exports,kaolin,nan,tonnes (metric),1970,
South Africa,exports,kaolin,nan,tonnes (metric),1970,569.0
Soviet Union,exports,kaolin,nan,tonnes (metric),1970,15688.0
Spain,exports,kaolin,nan,tonnes (metric),1970,40218.0
Suriname,exports,kaolin,nan,tonnes (metric),1970,
Sweden,exports,kaolin,nan,tonnes (metric),1970,124.0
Turkey,exports,kaolin,nan,tonnes (metric),1970,752.0
USA,exports,kaolin,nan,tonnes (metric),1970,740515.0
United Kingdom,exports,kaolin,nan,tonnes (metric),1970,2172171.0
Yugoslavia,exports,kaolin,nan,tonnes (metric),1970,
Australia,exports,kaolin,nan,tonnes (metric),1970,
Germany,exports,kaolin,nan,tonnes (metric),1970,
Israel,exports,kaolin,nan,tonnes (metric),1970,
Jordan,exports,kaolin,nan,tonnes (metric),1970,
New Zealand,exports,kaolin,nan,tonnes (metric),1970,
Switzerland,exports,kaolin,nan,tonnes (metric),1970,
Taiwan,exports,kaolin,nan,tonnes (metric),1970,
Thailand,exports,kaolin,nan,tonnes (metric),1970,
Albania,exports,kaolin,nan,tonnes (metric),1970,
Colombia,exports,kaolin,nan,tonnes (metric),1970,
Croatia,exports,kaolin,nan,tonnes (metric),1970,
Czech Republic,exports,kaolin,nan,tonnes (metric),1970,
Egypt,exports,kaolin,nan,tonnes (metric),1970,
Estonia,exports,kaolin,nan,tonnes (metric),1970,
Finland,exports,kaolin,nan,tonnes (metric),1970,
Iran,exports,kaolin,nan,tonnes (metric),1970,
Kazakhstan,exports,kaolin,nan,tonnes (metric),1970,
"Korea, Dem. P.R. of",exports,kaolin,nan,tonnes (metric),1970,
Poland,exports,kaolin,nan,tonnes (metric),1970,
Russia,exports,kaolin,nan,tonnes (metric),1970,
Slovakia,exports,kaolin,nan,tonnes (metric),1970,
Slovenia,exports,kaolin,nan,tonnes (metric),1970,
Ukraine,exports,kaolin,nan,tonnes (metric),1970,
Belgium,exports,kaolin,nan,tonnes (metric),1970,
Canada,exports,kaolin,nan,tonnes (metric),1970,
Lithuania,exports,kaolin,nan,tonnes (metric),1970,
Luxembourg,exports,kaolin,nan,tonnes (metric),1970,
Norway,exports,kaolin,nan,tonnes (metric),1970,
Senegal,exports,kaolin,nan,tonnes (metric),1970,
Serbia,exports,kaolin,nan,tonnes (metric),1970,
Romania,exports,kaolin,nan,tonnes (metric),1970,
Algeria,exports,kaolin,nan,tonnes (metric),1971,
Argentina,exports,kaolin,nan,tonnes (metric),1971,77.0
Austria,exports,kaolin,nan,tonnes (metric),1971,22090.0
Belgium-Luxembourg,exports,kaolin,nan,tonnes (metric),1971,8478.0
Brazil,exports,kaolin,nan,tonnes (metric),1971,2180.0
Bulgaria,exports,kaolin,nan,tonnes (metric),1971,
China,exports,kaolin,nan,tonnes (metric),1971,
Czechoslovakia,exports,kaolin,nan,tonnes (metric),1971,211000.0
Denmark,exports,kaolin,nan,tonnes (metric),1971,
Eswatini (Swaziland),exports,kaolin,nan,tonnes (metric),1971,
