Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,exports,lithium,Lithium minerals,tonnes (metric),1970,
Belgium-Luxembourg,exports,lithium,Lithium minerals,tonnes (metric),1970,
Belgium-Luxembourg,exports,lithium,Oxides,tonnes (metric),1970,
Brazil,exports,lithium,Lithium minerals,tonnes (metric),1970,
France,exports,lithium,Lithium minerals,tonnes (metric),1970,
France,exports,lithium,Oxides,tonnes (metric),1970,
German Federal Republic,exports,lithium,Carbonate,tonnes (metric),1970,
German Federal Republic,exports,lithium,Lithium minerals,tonnes (metric),1970,
German Federal Republic,exports,lithium,Metal,tonnes (metric),1970,
German Federal Republic,exports,lithium,Oxides,tonnes (metric),1970,
Mozambique,exports,lithium,Lithium minerals,tonnes (metric),1970,
Netherlands,exports,lithium,Carbonate,tonnes (metric),1970,
Netherlands,exports,lithium,Oxides,tonnes (metric),1970,
South Africa,exports,lithium,Lithium minerals,tonnes (metric),1970,
USA,exports,lithium,Carbonate,tonnes (metric),1970,
USA,exports,lithium,"Lithium minerals, compounds & metal",tonnes (metric),1970,
USA,exports,lithium,Oxides,tonnes (metric),1970,
United Kingdom,exports,lithium,Carbonate,tonnes (metric),1970,
United Kingdom,exports,lithium,Metal,tonnes (metric),1970,
United Kingdom,exports,lithium,Oxides,tonnes (metric),1970,
Zimbabwe,exports,lithium,Lithium minerals,tonnes (metric),1970,
Australia,exports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Belgium-Luxembourg,exports,lithium,Oxides                                            ,tonnes (metric),1970,
Brazil,exports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Chile,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
China,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
China,exports,lithium,Oxides                                            ,tonnes (metric),1970,
France,exports,lithium,Oxides                                            ,tonnes (metric),1970,
German Federal Republic,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
German Federal Republic,exports,lithium,Metal                                             ,tonnes (metric),1970,
German Federal Republic,exports,lithium,Oxides                                            ,tonnes (metric),1970,
Germany,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
Germany,exports,lithium,Oxides                                            ,tonnes (metric),1970,
Namibia,exports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Netherlands,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
Netherlands,exports,lithium,Oxides                                            ,tonnes (metric),1970,
South Africa,exports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Soviet Union,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
Soviet Union,exports,lithium,Oxides                                            ,tonnes (metric),1970,
Spain,exports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
USA,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
USA,exports,lithium,Oxides                                            ,tonnes (metric),1970,
United Kingdom,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
United Kingdom,exports,lithium,Metal                                             ,tonnes (metric),1970,
United Kingdom,exports,lithium,Oxides                                            ,tonnes (metric),1970,
Yugoslavia,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
Zimbabwe,exports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Argentina,exports,lithium,Carbonate                                         ,tonnes (metric),1970,
