Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,mercury,nan,kilograms,1970,
Austria,exports,mercury,nan,kilograms,1970,9400.0
Belgium-Luxembourg,exports,mercury,nan,kilograms,1970,20300.0
China,exports,mercury,nan,kilograms,1970,
Denmark,exports,mercury,nan,kilograms,1970,
Dominican Republic,exports,mercury,nan,kilograms,1970,
Finland,exports,mercury,nan,kilograms,1970,
France,exports,mercury,nan,kilograms,1970,18000.0
German Federal Republic,exports,mercury,nan,kilograms,1970,35700.0
Hong Kong,exports,mercury,nan,kilograms,1970,
Italy,exports,mercury,nan,kilograms,1970,533978.0
Japan,exports,mercury,nan,kilograms,1970,12625.0
Mexico,exports,mercury,nan,kilograms,1970,1207982.0
Netherlands,exports,mercury,nan,kilograms,1970,8000.0
Norway,exports,mercury,nan,kilograms,1970,8000.0
Peru,exports,mercury,nan,kilograms,1970,73303.0
Philippines,exports,mercury,nan,kilograms,1970,155125.0
Singapore,exports,mercury,nan,kilograms,1970,
Spain,exports,mercury,nan,kilograms,1970,1492000.0
Sweden,exports,mercury,nan,kilograms,1970,8000.0
Switzerland,exports,mercury,nan,kilograms,1970,2562.0
Tunisia,exports,mercury,nan,kilograms,1970,
Turkey,exports,mercury,nan,kilograms,1970,270481.0
USA,exports,mercury,nan,kilograms,1970,160412.0
United Kingdom,exports,mercury,nan,kilograms,1970,109763.0
Yugoslavia,exports,mercury,nan,kilograms,1970,480213.0
Canada,exports,mercury,nan,kilograms,1970,
Chile,exports,mercury,nan,kilograms,1970,
Germany,exports,mercury,nan,kilograms,1970,
"Ireland, Republic of",exports,mercury,nan,kilograms,1970,
Taiwan,exports,mercury,nan,kilograms,1970,
Australia,exports,mercury,nan,kilograms,1970,
Brazil,exports,mercury,nan,kilograms,1970,
Czech Republic,exports,mercury,nan,kilograms,1970,
Estonia,exports,mercury,nan,kilograms,1970,
India,exports,mercury,nan,kilograms,1970,
Indonesia,exports,mercury,nan,kilograms,1970,
Korea (Rep. of),exports,mercury,nan,kilograms,1970,
Kyrgyzstan,exports,mercury,nan,kilograms,1970,
Morocco,exports,mercury,nan,kilograms,1970,
Poland,exports,mercury,nan,kilograms,1970,
Russia,exports,mercury,nan,kilograms,1970,
Slovakia,exports,mercury,nan,kilograms,1970,
Slovenia,exports,mercury,nan,kilograms,1970,
South Africa,exports,mercury,nan,kilograms,1970,
Ukraine,exports,mercury,nan,kilograms,1970,
Argentina,exports,mercury,nan,kilograms,1970,
Belgium,exports,mercury,nan,kilograms,1970,
Portugal,exports,mercury,nan,kilograms,1970,
Hungary,exports,mercury,nan,kilograms,1970,
Romania,exports,mercury,nan,kilograms,1970,
Algeria,exports,mercury,nan,kilograms,1971,
Austria,exports,mercury,nan,kilograms,1971,9300.0
Belgium-Luxembourg,exports,mercury,nan,kilograms,1971,19800.0
China,exports,mercury,nan,kilograms,1971,
Denmark,exports,mercury,nan,kilograms,1971,
Dominican Republic,exports,mercury,nan,kilograms,1971,
Finland,exports,mercury,nan,kilograms,1971,
France,exports,mercury,nan,kilograms,1971,5000.0
German Federal Republic,exports,mercury,nan,kilograms,1971,45700.0
Hong Kong,exports,mercury,nan,kilograms,1971,
Italy,exports,mercury,nan,kilograms,1971,524100.0
Japan,exports,mercury,nan,kilograms,1971,33386.0
Mexico,exports,mercury,nan,kilograms,1971,1275607.0
Netherlands,exports,mercury,nan,kilograms,1971,13000.0
Norway,exports,mercury,nan,kilograms,1971,7000.0
Peru,exports,mercury,nan,kilograms,1971,80307.0
Philippines,exports,mercury,nan,kilograms,1971,154986.0
Singapore,exports,mercury,nan,kilograms,1971,
Spain,exports,mercury,nan,kilograms,1971,1134000.0
Sweden,exports,mercury,nan,kilograms,1971,16000.0
Switzerland,exports,mercury,nan,kilograms,1971,3380.0
Tunisia,exports,mercury,nan,kilograms,1971,
Turkey,exports,mercury,nan,kilograms,1971,386435.0
USA,exports,mercury,nan,kilograms,1971,249307.0
United Kingdom,exports,mercury,nan,kilograms,1971,54166.0
Yugoslavia,exports,mercury,nan,kilograms,1971,492501.0
Canada,exports,mercury,nan,kilograms,1971,
Chile,exports,mercury,nan,kilograms,1971,
Germany,exports,mercury,nan,kilograms,1971,
"Ireland, Republic of",exports,mercury,nan,kilograms,1971,
Taiwan,exports,mercury,nan,kilograms,1971,
Australia,exports,mercury,nan,kilograms,1971,
Brazil,exports,mercury,nan,kilograms,1971,
Czech Republic,exports,mercury,nan,kilograms,1971,
Estonia,exports,mercury,nan,kilograms,1971,
India,exports,mercury,nan,kilograms,1971,
Indonesia,exports,mercury,nan,kilograms,1971,
Korea (Rep. of),exports,mercury,nan,kilograms,1971,
Kyrgyzstan,exports,mercury,nan,kilograms,1971,
Morocco,exports,mercury,nan,kilograms,1971,
Poland,exports,mercury,nan,kilograms,1971,
Russia,exports,mercury,nan,kilograms,1971,
Slovakia,exports,mercury,nan,kilograms,1971,
Slovenia,exports,mercury,nan,kilograms,1971,
South Africa,exports,mercury,nan,kilograms,1971,
Ukraine,exports,mercury,nan,kilograms,1971,
Argentina,exports,mercury,nan,kilograms,1971,
Belgium,exports,mercury,nan,kilograms,1971,
Portugal,exports,mercury,nan,kilograms,1971,
Hungary,exports,mercury,nan,kilograms,1971,
Romania,exports,mercury,nan,kilograms,1971,
Algeria,exports,mercury,nan,kilograms,1972,462000.0
Austria,exports,mercury,nan,kilograms,1972,12500.0
Belgium-Luxembourg,exports,mercury,nan,kilograms,1972,19900.0
China,exports,mercury,nan,kilograms,1972,50000.0
Denmark,exports,mercury,nan,kilograms,1972,
Dominican Republic,exports,mercury,nan,kilograms,1972,
Finland,exports,mercury,nan,kilograms,1972,
France,exports,mercury,nan,kilograms,1972,10000.0
German Federal Republic,exports,mercury,nan,kilograms,1972,48700.0
Hong Kong,exports,mercury,nan,kilograms,1972,
Italy,exports,mercury,nan,kilograms,1972,377286.0
Japan,exports,mercury,nan,kilograms,1972,12759.0
Mexico,exports,mercury,nan,kilograms,1972,824346.0
Netherlands,exports,mercury,nan,kilograms,1972,39000.0
Norway,exports,mercury,nan,kilograms,1972,66000.0
Peru,exports,mercury,nan,kilograms,1972,153820.0
Philippines,exports,mercury,nan,kilograms,1972,100444.0
Singapore,exports,mercury,nan,kilograms,1972,3586.0
Spain,exports,mercury,nan,kilograms,1972,1068000.0
Sweden,exports,mercury,nan,kilograms,1972,14000.0
Switzerland,exports,mercury,nan,kilograms,1972,4117.0
Tunisia,exports,mercury,nan,kilograms,1972,1725.0
Turkey,exports,mercury,nan,kilograms,1972,292255.0
USA,exports,mercury,nan,kilograms,1972,33202.0
United Kingdom,exports,mercury,nan,kilograms,1972,71384.0
Yugoslavia,exports,mercury,nan,kilograms,1972,471506.0
Canada,exports,mercury,nan,kilograms,1972,
Chile,exports,mercury,nan,kilograms,1972,
Germany,exports,mercury,nan,kilograms,1972,
"Ireland, Republic of",exports,mercury,nan,kilograms,1972,
Taiwan,exports,mercury,nan,kilograms,1972,
Australia,exports,mercury,nan,kilograms,1972,
Brazil,exports,mercury,nan,kilograms,1972,
Czech Republic,exports,mercury,nan,kilograms,1972,
Estonia,exports,mercury,nan,kilograms,1972,
India,exports,mercury,nan,kilograms,1972,
Indonesia,exports,mercury,nan,kilograms,1972,
Korea (Rep. of),exports,mercury,nan,kilograms,1972,
Kyrgyzstan,exports,mercury,nan,kilograms,1972,
Morocco,exports,mercury,nan,kilograms,1972,
Poland,exports,mercury,nan,kilograms,1972,
Russia,exports,mercury,nan,kilograms,1972,
