Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Angola,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,63.0
Argentina,exports,mica,Mica                                              ,tonnes (metric),1970,
Argentina,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,903.0
Austria,exports,mica,Mica                                              ,tonnes (metric),1970,
Austria,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,5.0
Belgium-Luxembourg,exports,mica,Ground                                            ,tonnes (metric),1970,
Belgium-Luxembourg,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,101.0
Brazil,exports,mica,Mica                                              ,tonnes (metric),1970,
Brazil,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,1854.0
China,exports,mica,Mica                                              ,tonnes (metric),1970,
Denmark,exports,mica,Ground                                            ,tonnes (metric),1970,
France,exports,mica,Ground                                            ,tonnes (metric),1970,1383.0
France,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,108.0
German Federal Republic,exports,mica,Ground                                            ,tonnes (metric),1970,
German Federal Republic,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,838.0
India,exports,mica,Block                                             ,tonnes (metric),1970,1721.0
India,exports,mica,Condenser films                                   ,tonnes (metric),1970,112.0
India,exports,mica,Ground                                            ,tonnes (metric),1970,4203.0
India,exports,mica,Splittings,tonnes (metric),1970,5359.0
India,exports,mica,Waste                                             ,tonnes (metric),1970,16400.0
Italy,exports,mica,Ground                                            ,tonnes (metric),1970,70.0
Italy,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,
Italy,exports,mica,Waste                                             ,tonnes (metric),1970,369.0
Japan,exports,mica,Mica                                              ,tonnes (metric),1970,
Japan,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,47.0
Korea (Rep. of),exports,mica,Mica                                              ,tonnes (metric),1970,
Korea (Rep. of),exports,mica,Unmanufactured                                    ,tonnes (metric),1970,
Madagascar,exports,mica,Mica                                              ,tonnes (metric),1970,
Madagascar,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,1201.0
Morocco,exports,mica,Mica                                              ,tonnes (metric),1970,
Morocco,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,
Mozambique,exports,mica,Mica                                              ,tonnes (metric),1970,
Mozambique,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,759.0
Netherlands,exports,mica,Ground                                            ,tonnes (metric),1970,
Netherlands,exports,mica,Unmanufactured                                    ,tonnes (metric),1970,75.0
Norway,exports,mica,Mica                                              ,tonnes (metric),1970,
