Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Austria,exports,molybdenum,Metal                                             ,tonnes (metric),1970,491.0
Belgium-Luxembourg,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,542.0
Belgium-Luxembourg,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
Canada,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,13759.0
Chile,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,5623.0
Chile,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,2078.0
France,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
France,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
France,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,176.0
German Federal Republic,exports,molybdenum,Metal                                             ,tonnes (metric),1970,262.0
German Federal Republic,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,265.0
Italy,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
Italy,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
Italy,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
Japan,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
Korea (Rep. of),exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,238.0
Netherlands,exports,molybdenum,Metal                                             ,tonnes (metric),1970,137.0
Netherlands,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
Netherlands,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
Norway,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,506.0
Peru,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,713.0
Philippines,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,29.0
Sweden,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
Sweden,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
USA,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
USA,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,25282.0
USA,exports,molybdenum,Scrap,tonnes (metric),1970,304.0
United Kingdom,exports,molybdenum,Metal                                             ,tonnes (metric),1970,52.0
United Kingdom,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
United Kingdom,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
China,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
China,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
China,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
Finland,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
German Federal Republic,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
Germany,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
Germany,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
Germany,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
Mexico,exports,molybdenum,Ores & concentrates                               ,tonnes (metric),1970,
USA,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
Armenia,exports,molybdenum,Metal                                             ,tonnes (metric),1970,
Austria,exports,molybdenum,Oxides                                            ,tonnes (metric),1970,
