Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Russia,exports,natural_gas,nan,tonnes (metric),1990,
Austria,exports,natural_gas,nan,tonnes (metric),1990,
Belgium,exports,natural_gas,nan,tonnes (metric),1990,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1990,
Croatia,exports,natural_gas,nan,tonnes (metric),1990,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1990,
Denmark,exports,natural_gas,nan,tonnes (metric),1990,
Finland,exports,natural_gas,nan,tonnes (metric),1990,
France,exports,natural_gas,nan,tonnes (metric),1990,
Germany,exports,natural_gas,nan,tonnes (metric),1990,
Hungary,exports,natural_gas,nan,tonnes (metric),1990,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1990,
Italy,exports,natural_gas,nan,tonnes (metric),1990,
Norway,exports,natural_gas,nan,tonnes (metric),1990,
Poland,exports,natural_gas,nan,tonnes (metric),1990,
Portugal,exports,natural_gas,nan,tonnes (metric),1990,
Slovakia,exports,natural_gas,nan,tonnes (metric),1990,
Slovenia,exports,natural_gas,nan,tonnes (metric),1990,
Spain,exports,natural_gas,nan,tonnes (metric),1990,
Sweden,exports,natural_gas,nan,tonnes (metric),1990,
Switzerland,exports,natural_gas,nan,tonnes (metric),1990,
Turkey,exports,natural_gas,nan,tonnes (metric),1990,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1990,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1990,
Greece,exports,natural_gas,nan,tonnes (metric),1990,
Russia,exports,natural_gas,nan,tonnes (metric),1991,
Austria,exports,natural_gas,nan,tonnes (metric),1991,
Belgium,exports,natural_gas,nan,tonnes (metric),1991,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1991,
Croatia,exports,natural_gas,nan,tonnes (metric),1991,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1991,
Denmark,exports,natural_gas,nan,tonnes (metric),1991,
Finland,exports,natural_gas,nan,tonnes (metric),1991,
France,exports,natural_gas,nan,tonnes (metric),1991,
Germany,exports,natural_gas,nan,tonnes (metric),1991,
Hungary,exports,natural_gas,nan,tonnes (metric),1991,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1991,
Italy,exports,natural_gas,nan,tonnes (metric),1991,
Norway,exports,natural_gas,nan,tonnes (metric),1991,
Poland,exports,natural_gas,nan,tonnes (metric),1991,
Portugal,exports,natural_gas,nan,tonnes (metric),1991,
Slovakia,exports,natural_gas,nan,tonnes (metric),1991,
Slovenia,exports,natural_gas,nan,tonnes (metric),1991,
Spain,exports,natural_gas,nan,tonnes (metric),1991,
Sweden,exports,natural_gas,nan,tonnes (metric),1991,
Switzerland,exports,natural_gas,nan,tonnes (metric),1991,
Turkey,exports,natural_gas,nan,tonnes (metric),1991,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1991,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1991,
Greece,exports,natural_gas,nan,tonnes (metric),1991,
Russia,exports,natural_gas,nan,tonnes (metric),1992,
Austria,exports,natural_gas,nan,tonnes (metric),1992,
Belgium,exports,natural_gas,nan,tonnes (metric),1992,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1992,
Croatia,exports,natural_gas,nan,tonnes (metric),1992,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1992,
Denmark,exports,natural_gas,nan,tonnes (metric),1992,
Finland,exports,natural_gas,nan,tonnes (metric),1992,
France,exports,natural_gas,nan,tonnes (metric),1992,
Germany,exports,natural_gas,nan,tonnes (metric),1992,
Hungary,exports,natural_gas,nan,tonnes (metric),1992,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1992,
Italy,exports,natural_gas,nan,tonnes (metric),1992,
Norway,exports,natural_gas,nan,tonnes (metric),1992,
Poland,exports,natural_gas,nan,tonnes (metric),1992,
Portugal,exports,natural_gas,nan,tonnes (metric),1992,
Slovakia,exports,natural_gas,nan,tonnes (metric),1992,
Slovenia,exports,natural_gas,nan,tonnes (metric),1992,
Spain,exports,natural_gas,nan,tonnes (metric),1992,
Sweden,exports,natural_gas,nan,tonnes (metric),1992,
Switzerland,exports,natural_gas,nan,tonnes (metric),1992,
Turkey,exports,natural_gas,nan,tonnes (metric),1992,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1992,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1992,
Greece,exports,natural_gas,nan,tonnes (metric),1992,
Russia,exports,natural_gas,nan,tonnes (metric),1993,
Austria,exports,natural_gas,nan,tonnes (metric),1993,
Belgium,exports,natural_gas,nan,tonnes (metric),1993,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1993,
Croatia,exports,natural_gas,nan,tonnes (metric),1993,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1993,
Denmark,exports,natural_gas,nan,tonnes (metric),1993,
Finland,exports,natural_gas,nan,tonnes (metric),1993,
France,exports,natural_gas,nan,tonnes (metric),1993,
Germany,exports,natural_gas,nan,tonnes (metric),1993,
Hungary,exports,natural_gas,nan,tonnes (metric),1993,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1993,
Italy,exports,natural_gas,nan,tonnes (metric),1993,
Norway,exports,natural_gas,nan,tonnes (metric),1993,
Poland,exports,natural_gas,nan,tonnes (metric),1993,
Portugal,exports,natural_gas,nan,tonnes (metric),1993,
Slovakia,exports,natural_gas,nan,tonnes (metric),1993,
Slovenia,exports,natural_gas,nan,tonnes (metric),1993,
Spain,exports,natural_gas,nan,tonnes (metric),1993,
Sweden,exports,natural_gas,nan,tonnes (metric),1993,
Switzerland,exports,natural_gas,nan,tonnes (metric),1993,
Turkey,exports,natural_gas,nan,tonnes (metric),1993,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1993,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1993,
Greece,exports,natural_gas,nan,tonnes (metric),1993,
Russia,exports,natural_gas,nan,tonnes (metric),1994,
Austria,exports,natural_gas,nan,tonnes (metric),1994,
Belgium,exports,natural_gas,nan,tonnes (metric),1994,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1994,
Croatia,exports,natural_gas,nan,tonnes (metric),1994,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1994,
Denmark,exports,natural_gas,nan,tonnes (metric),1994,
Finland,exports,natural_gas,nan,tonnes (metric),1994,
France,exports,natural_gas,nan,tonnes (metric),1994,
Germany,exports,natural_gas,nan,tonnes (metric),1994,
Hungary,exports,natural_gas,nan,tonnes (metric),1994,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1994,
Italy,exports,natural_gas,nan,tonnes (metric),1994,
Norway,exports,natural_gas,nan,tonnes (metric),1994,
Poland,exports,natural_gas,nan,tonnes (metric),1994,
Portugal,exports,natural_gas,nan,tonnes (metric),1994,
Slovakia,exports,natural_gas,nan,tonnes (metric),1994,
Slovenia,exports,natural_gas,nan,tonnes (metric),1994,
Spain,exports,natural_gas,nan,tonnes (metric),1994,
Sweden,exports,natural_gas,nan,tonnes (metric),1994,
Switzerland,exports,natural_gas,nan,tonnes (metric),1994,
Turkey,exports,natural_gas,nan,tonnes (metric),1994,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1994,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1994,
Greece,exports,natural_gas,nan,tonnes (metric),1994,
Russia,exports,natural_gas,nan,tonnes (metric),1995,
Austria,exports,natural_gas,nan,tonnes (metric),1995,
Belgium,exports,natural_gas,nan,tonnes (metric),1995,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1995,
Croatia,exports,natural_gas,nan,tonnes (metric),1995,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1995,
Denmark,exports,natural_gas,nan,tonnes (metric),1995,
Finland,exports,natural_gas,nan,tonnes (metric),1995,
France,exports,natural_gas,nan,tonnes (metric),1995,
Germany,exports,natural_gas,nan,tonnes (metric),1995,
Hungary,exports,natural_gas,nan,tonnes (metric),1995,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1995,
Italy,exports,natural_gas,nan,tonnes (metric),1995,
Norway,exports,natural_gas,nan,tonnes (metric),1995,
Poland,exports,natural_gas,nan,tonnes (metric),1995,
Portugal,exports,natural_gas,nan,tonnes (metric),1995,
Slovakia,exports,natural_gas,nan,tonnes (metric),1995,
Slovenia,exports,natural_gas,nan,tonnes (metric),1995,
Spain,exports,natural_gas,nan,tonnes (metric),1995,
Sweden,exports,natural_gas,nan,tonnes (metric),1995,
Switzerland,exports,natural_gas,nan,tonnes (metric),1995,
Turkey,exports,natural_gas,nan,tonnes (metric),1995,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1995,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1995,
Greece,exports,natural_gas,nan,tonnes (metric),1995,
Russia,exports,natural_gas,nan,tonnes (metric),1996,
Austria,exports,natural_gas,nan,tonnes (metric),1996,
Belgium,exports,natural_gas,nan,tonnes (metric),1996,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1996,
Croatia,exports,natural_gas,nan,tonnes (metric),1996,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1996,
Denmark,exports,natural_gas,nan,tonnes (metric),1996,
Finland,exports,natural_gas,nan,tonnes (metric),1996,
France,exports,natural_gas,nan,tonnes (metric),1996,
Germany,exports,natural_gas,nan,tonnes (metric),1996,
Hungary,exports,natural_gas,nan,tonnes (metric),1996,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1996,
Italy,exports,natural_gas,nan,tonnes (metric),1996,
Norway,exports,natural_gas,nan,tonnes (metric),1996,
Poland,exports,natural_gas,nan,tonnes (metric),1996,
Portugal,exports,natural_gas,nan,tonnes (metric),1996,
Slovakia,exports,natural_gas,nan,tonnes (metric),1996,
Slovenia,exports,natural_gas,nan,tonnes (metric),1996,
Spain,exports,natural_gas,nan,tonnes (metric),1996,
Sweden,exports,natural_gas,nan,tonnes (metric),1996,
Switzerland,exports,natural_gas,nan,tonnes (metric),1996,
Turkey,exports,natural_gas,nan,tonnes (metric),1996,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1996,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1996,
Greece,exports,natural_gas,nan,tonnes (metric),1996,
Russia,exports,natural_gas,nan,tonnes (metric),1997,
Austria,exports,natural_gas,nan,tonnes (metric),1997,
Belgium,exports,natural_gas,nan,tonnes (metric),1997,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1997,
Croatia,exports,natural_gas,nan,tonnes (metric),1997,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1997,
Denmark,exports,natural_gas,nan,tonnes (metric),1997,
Finland,exports,natural_gas,nan,tonnes (metric),1997,
France,exports,natural_gas,nan,tonnes (metric),1997,
Germany,exports,natural_gas,nan,tonnes (metric),1997,
Hungary,exports,natural_gas,nan,tonnes (metric),1997,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1997,
Italy,exports,natural_gas,nan,tonnes (metric),1997,
Norway,exports,natural_gas,nan,tonnes (metric),1997,
Poland,exports,natural_gas,nan,tonnes (metric),1997,
Portugal,exports,natural_gas,nan,tonnes (metric),1997,
Slovakia,exports,natural_gas,nan,tonnes (metric),1997,
Slovenia,exports,natural_gas,nan,tonnes (metric),1997,
Spain,exports,natural_gas,nan,tonnes (metric),1997,
Sweden,exports,natural_gas,nan,tonnes (metric),1997,
Switzerland,exports,natural_gas,nan,tonnes (metric),1997,
Turkey,exports,natural_gas,nan,tonnes (metric),1997,
United Kingdom,exports,natural_gas,nan,tonnes (metric),1997,
Bulgaria,exports,natural_gas,nan,tonnes (metric),1997,
Greece,exports,natural_gas,nan,tonnes (metric),1997,
Russia,exports,natural_gas,nan,tonnes (metric),1998,
Austria,exports,natural_gas,nan,tonnes (metric),1998,
Belgium,exports,natural_gas,nan,tonnes (metric),1998,
Belgium-Luxembourg,exports,natural_gas,nan,tonnes (metric),1998,
Croatia,exports,natural_gas,nan,tonnes (metric),1998,
Czech Republic,exports,natural_gas,nan,tonnes (metric),1998,
Denmark,exports,natural_gas,nan,tonnes (metric),1998,
Finland,exports,natural_gas,nan,tonnes (metric),1998,
France,exports,natural_gas,nan,tonnes (metric),1998,
Germany,exports,natural_gas,nan,tonnes (metric),1998,
Hungary,exports,natural_gas,nan,tonnes (metric),1998,
"Ireland, Republic of",exports,natural_gas,nan,tonnes (metric),1998,
