Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,exports,nickel,Unwrought,tonnes (metric),1970,398.0
Australia,exports,nickel,nan,tonnes (metric),1970,
Austria,exports,nickel,Scrap,tonnes (metric),1970,335.0
Belgium-Luxembourg,exports,nickel,Scrap,tonnes (metric),1970,801.0
Belgium-Luxembourg,exports,nickel,Unwrought,tonnes (metric),1970,192.0
Belgium-Luxembourg,exports,nickel,Unwrought alloys,tonnes (metric),1970,191.0
Burma,exports,nickel,Unwrought,tonnes (metric),1970,166.0
Canada,exports,nickel,"Ores, concentrates, mattes etc",tonnes (metric),1970,88805.0
Canada,exports,nickel,Oxides,tonnes (metric),1970,39822.0
Canada,exports,nickel,Scrap,tonnes (metric),1970,3916.0
Canada,exports,nickel,Unwrought,tonnes (metric),1970,138984.0
Cuba,exports,nickel,Oxides,tonnes (metric),1970,16364.0
Cuba,exports,nickel,Sulphide,tonnes (metric),1970,19263.0
Denmark,exports,nickel,Scrap,tonnes (metric),1970,201.0
Dominican Republic,exports,nickel,nan,tonnes (metric),1970,0.0
Finland,exports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Finland,exports,nickel,Unwrought,tonnes (metric),1970,3694.0
France,exports,nickel,"Mattes, sinters etc",tonnes (metric),1970,211.0
France,exports,nickel,Oxides,tonnes (metric),1970,
France,exports,nickel,Scrap,tonnes (metric),1970,1688.0
France,exports,nickel,Unwrought,tonnes (metric),1970,5147.0
France,exports,nickel,Unwrought alloys,tonnes (metric),1970,214.0
German Federal Republic,exports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
German Federal Republic,exports,nickel,Oxides,tonnes (metric),1970,
German Federal Republic,exports,nickel,Scrap,tonnes (metric),1970,
German Federal Republic,exports,nickel,Unwrought,tonnes (metric),1970,2920.0
German Federal Republic,exports,nickel,Unwrought alloys,tonnes (metric),1970,
Hong Kong,exports,nickel,Scrap,tonnes (metric),1970,
Hong Kong,exports,nickel,Unwrought,tonnes (metric),1970,
