Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,phosphate_rock,nan,tonnes (metric),1970,418025.0
Australia,exports,phosphate_rock,nan,tonnes (metric),1970,
Banaba,exports,phosphate_rock,nan,tonnes (metric),1970,508836.0
Belgium-Luxembourg,exports,phosphate_rock,nan,tonnes (metric),1970,7883.0
Christmas Island,exports,phosphate_rock,nan,tonnes (metric),1970,1063564.0
Egypt,exports,phosphate_rock,nan,tonnes (metric),1970,319299.0
France,exports,phosphate_rock,nan,tonnes (metric),1970,2628.0
German Federal Republic,exports,phosphate_rock,nan,tonnes (metric),1970,4658.0
Israel,exports,phosphate_rock,nan,tonnes (metric),1970,529583.0
Jordan,exports,phosphate_rock,nan,tonnes (metric),1970,656227.0
Mexico,exports,phosphate_rock,nan,tonnes (metric),1970,13182.0
Morocco,exports,phosphate_rock,nan,tonnes (metric),1970,11535625.0
Nauru,exports,phosphate_rock,nan,tonnes (metric),1970,2124910.0
Netherlands,exports,phosphate_rock,nan,tonnes (metric),1970,6379.0
Netherlands Antilles,exports,phosphate_rock,nan,tonnes (metric),1970,91521.0
Senegal,exports,phosphate_rock,Aluminium phosphate,tonnes (metric),1970,
Senegal,exports,phosphate_rock,nan,tonnes (metric),1970,859069.0
Seychelles,exports,phosphate_rock,Guano                                             ,tonnes (metric),1970,6534.0
Singapore,exports,phosphate_rock,nan,tonnes (metric),1970,9051.0
South Africa,exports,phosphate_rock,Guano                                             ,tonnes (metric),1970,1589.0
South Africa,exports,phosphate_rock,nan,tonnes (metric),1970,229.0
Soviet Union,exports,phosphate_rock,Apatite,tonnes (metric),1970,5649400.0
Soviet Union,exports,phosphate_rock,nan,tonnes (metric),1970,
Spanish Sahara,exports,phosphate_rock,nan,tonnes (metric),1970,
Sweden,exports,phosphate_rock,nan,tonnes (metric),1970,0.0
Syria,exports,phosphate_rock,nan,tonnes (metric),1970,
Togo,exports,phosphate_rock,nan,tonnes (metric),1970,1504296.0
Tunisia,exports,phosphate_rock,nan,tonnes (metric),1970,2336022.0
USA,exports,phosphate_rock,nan,tonnes (metric),1970,10648983.0
Western Sahara,exports,phosphate_rock,nan,tonnes (metric),1970,
China,exports,phosphate_rock,nan,tonnes (metric),1970,
Denmark,exports,phosphate_rock,nan,tonnes (metric),1970,
Finland,exports,phosphate_rock,nan,tonnes (metric),1970,
Germany,exports,phosphate_rock,nan,tonnes (metric),1970,
Malaysia,exports,phosphate_rock,nan,tonnes (metric),1970,
United Kingdom,exports,phosphate_rock,nan,tonnes (metric),1970,
Austria,exports,phosphate_rock,nan,tonnes (metric),1970,
Estonia,exports,phosphate_rock,nan,tonnes (metric),1970,
India,exports,phosphate_rock,nan,tonnes (metric),1970,
Indonesia,exports,phosphate_rock,nan,tonnes (metric),1970,
Italy,exports,phosphate_rock,nan,tonnes (metric),1970,
Kazakhstan,exports,phosphate_rock,nan,tonnes (metric),1970,
New Zealand,exports,phosphate_rock,nan,tonnes (metric),1970,
North Macedonia,exports,phosphate_rock,nan,tonnes (metric),1970,
Peru,exports,phosphate_rock,nan,tonnes (metric),1970,
Poland,exports,phosphate_rock,nan,tonnes (metric),1970,
Russia,exports,phosphate_rock,nan,tonnes (metric),1970,
Spain,exports,phosphate_rock,nan,tonnes (metric),1970,
Switzerland,exports,phosphate_rock,nan,tonnes (metric),1970,
Ukraine,exports,phosphate_rock,nan,tonnes (metric),1970,
Belgium,exports,phosphate_rock,nan,tonnes (metric),1970,
Brazil,exports,phosphate_rock,nan,tonnes (metric),1970,
Bulgaria,exports,phosphate_rock,nan,tonnes (metric),1970,
Croatia,exports,phosphate_rock,nan,tonnes (metric),1970,
Cyprus,exports,phosphate_rock,nan,tonnes (metric),1970,
Czech Republic,exports,phosphate_rock,nan,tonnes (metric),1970,
Lithuania,exports,phosphate_rock,nan,tonnes (metric),1970,
Norway,exports,phosphate_rock,nan,tonnes (metric),1970,
Slovakia,exports,phosphate_rock,nan,tonnes (metric),1970,
Slovenia,exports,phosphate_rock,nan,tonnes (metric),1970,
Turkey,exports,phosphate_rock,nan,tonnes (metric),1970,
Greece,exports,phosphate_rock,nan,tonnes (metric),1970,
Hungary,exports,phosphate_rock,nan,tonnes (metric),1970,
Romania,exports,phosphate_rock,nan,tonnes (metric),1970,
Algeria,exports,phosphate_rock,nan,tonnes (metric),1971,467425.0
Australia,exports,phosphate_rock,nan,tonnes (metric),1971,
Banaba,exports,phosphate_rock,nan,tonnes (metric),1971,619638.0
Belgium-Luxembourg,exports,phosphate_rock,nan,tonnes (metric),1971,11525.0
Christmas Island,exports,phosphate_rock,nan,tonnes (metric),1971,990721.0
Egypt,exports,phosphate_rock,nan,tonnes (metric),1971,281970.0
France,exports,phosphate_rock,nan,tonnes (metric),1971,2552.0
German Federal Republic,exports,phosphate_rock,nan,tonnes (metric),1971,6724.0
Israel,exports,phosphate_rock,nan,tonnes (metric),1971,357710.0
Jordan,exports,phosphate_rock,nan,tonnes (metric),1971,647278.0
Mexico,exports,phosphate_rock,nan,tonnes (metric),1971,10087.0
Morocco,exports,phosphate_rock,nan,tonnes (metric),1971,11867653.0
Nauru,exports,phosphate_rock,nan,tonnes (metric),1971,1870650.0
Netherlands,exports,phosphate_rock,nan,tonnes (metric),1971,370.0
Netherlands Antilles,exports,phosphate_rock,nan,tonnes (metric),1971,
Senegal,exports,phosphate_rock,Aluminium phosphate,tonnes (metric),1971,
Senegal,exports,phosphate_rock,nan,tonnes (metric),1971,1120514.0
Seychelles,exports,phosphate_rock,Guano                                             ,tonnes (metric),1971,6337.0
Singapore,exports,phosphate_rock,nan,tonnes (metric),1971,17461.0
South Africa,exports,phosphate_rock,Guano                                             ,tonnes (metric),1971,3575.0
South Africa,exports,phosphate_rock,nan,tonnes (metric),1971,2208.0
Soviet Union,exports,phosphate_rock,Apatite,tonnes (metric),1971,6050200.0
Soviet Union,exports,phosphate_rock,nan,tonnes (metric),1971,
Spanish Sahara,exports,phosphate_rock,nan,tonnes (metric),1971,
Sweden,exports,phosphate_rock,nan,tonnes (metric),1971,3914.0
Syria,exports,phosphate_rock,nan,tonnes (metric),1971,
Togo,exports,phosphate_rock,nan,tonnes (metric),1971,1813863.0
Tunisia,exports,phosphate_rock,nan,tonnes (metric),1971,2647970.0
USA,exports,phosphate_rock,nan,tonnes (metric),1971,11508929.0
Western Sahara,exports,phosphate_rock,nan,tonnes (metric),1971,
China,exports,phosphate_rock,nan,tonnes (metric),1971,
Denmark,exports,phosphate_rock,nan,tonnes (metric),1971,
Finland,exports,phosphate_rock,nan,tonnes (metric),1971,
Germany,exports,phosphate_rock,nan,tonnes (metric),1971,
Malaysia,exports,phosphate_rock,nan,tonnes (metric),1971,
United Kingdom,exports,phosphate_rock,nan,tonnes (metric),1971,
Austria,exports,phosphate_rock,nan,tonnes (metric),1971,
Estonia,exports,phosphate_rock,nan,tonnes (metric),1971,
India,exports,phosphate_rock,nan,tonnes (metric),1971,
Indonesia,exports,phosphate_rock,nan,tonnes (metric),1971,
Italy,exports,phosphate_rock,nan,tonnes (metric),1971,
Kazakhstan,exports,phosphate_rock,nan,tonnes (metric),1971,
New Zealand,exports,phosphate_rock,nan,tonnes (metric),1971,
North Macedonia,exports,phosphate_rock,nan,tonnes (metric),1971,
Peru,exports,phosphate_rock,nan,tonnes (metric),1971,
Poland,exports,phosphate_rock,nan,tonnes (metric),1971,
Russia,exports,phosphate_rock,nan,tonnes (metric),1971,
Spain,exports,phosphate_rock,nan,tonnes (metric),1971,
Switzerland,exports,phosphate_rock,nan,tonnes (metric),1971,
Ukraine,exports,phosphate_rock,nan,tonnes (metric),1971,
Belgium,exports,phosphate_rock,nan,tonnes (metric),1971,
Brazil,exports,phosphate_rock,nan,tonnes (metric),1971,
Bulgaria,exports,phosphate_rock,nan,tonnes (metric),1971,
Croatia,exports,phosphate_rock,nan,tonnes (metric),1971,
Cyprus,exports,phosphate_rock,nan,tonnes (metric),1971,
Czech Republic,exports,phosphate_rock,nan,tonnes (metric),1971,
Lithuania,exports,phosphate_rock,nan,tonnes (metric),1971,
Norway,exports,phosphate_rock,nan,tonnes (metric),1971,
Slovakia,exports,phosphate_rock,nan,tonnes (metric),1971,
Slovenia,exports,phosphate_rock,nan,tonnes (metric),1971,
Turkey,exports,phosphate_rock,nan,tonnes (metric),1971,
Greece,exports,phosphate_rock,nan,tonnes (metric),1971,
Hungary,exports,phosphate_rock,nan,tonnes (metric),1971,
Romania,exports,phosphate_rock,nan,tonnes (metric),1971,
Algeria,exports,phosphate_rock,nan,tonnes (metric),1972,341500.0
Australia,exports,phosphate_rock,nan,tonnes (metric),1972,
Banaba,exports,phosphate_rock,nan,tonnes (metric),1972,511632.0
Belgium-Luxembourg,exports,phosphate_rock,nan,tonnes (metric),1972,45421.0
Christmas Island,exports,phosphate_rock,nan,tonnes (metric),1972,1074476.0
Egypt,exports,phosphate_rock,nan,tonnes (metric),1972,212372.0
France,exports,phosphate_rock,nan,tonnes (metric),1972,3494.0
German Federal Republic,exports,phosphate_rock,nan,tonnes (metric),1972,7070.0
Israel,exports,phosphate_rock,nan,tonnes (metric),1972,503162.0
Jordan,exports,phosphate_rock,nan,tonnes (metric),1972,952371.0
Mexico,exports,phosphate_rock,nan,tonnes (metric),1972,6482.0
Morocco,exports,phosphate_rock,nan,tonnes (metric),1972,13580780.0
Nauru,exports,phosphate_rock,nan,tonnes (metric),1972,1340272.0
Netherlands,exports,phosphate_rock,nan,tonnes (metric),1972,6258.0
Netherlands Antilles,exports,phosphate_rock,nan,tonnes (metric),1972,90053.0
Senegal,exports,phosphate_rock,Aluminium phosphate,tonnes (metric),1972,91945.0
Senegal,exports,phosphate_rock,nan,tonnes (metric),1972,
Seychelles,exports,phosphate_rock,Guano                                             ,tonnes (metric),1972,9217.0
Singapore,exports,phosphate_rock,nan,tonnes (metric),1972,24733.0
South Africa,exports,phosphate_rock,Guano                                             ,tonnes (metric),1972,2256.0
South Africa,exports,phosphate_rock,nan,tonnes (metric),1972,3684.0
Soviet Union,exports,phosphate_rock,Apatite,tonnes (metric),1972,6327000.0
Soviet Union,exports,phosphate_rock,nan,tonnes (metric),1972,
Spanish Sahara,exports,phosphate_rock,nan,tonnes (metric),1972,73000.0
Sweden,exports,phosphate_rock,nan,tonnes (metric),1972,199.0
Syria,exports,phosphate_rock,nan,tonnes (metric),1972,62364.0
Togo,exports,phosphate_rock,nan,tonnes (metric),1972,1655981.0
Tunisia,exports,phosphate_rock,nan,tonnes (metric),1972,2468114.0
USA,exports,phosphate_rock,nan,tonnes (metric),1972,12693107.0
Western Sahara,exports,phosphate_rock,nan,tonnes (metric),1972,
China,exports,phosphate_rock,nan,tonnes (metric),1972,
Denmark,exports,phosphate_rock,nan,tonnes (metric),1972,
Finland,exports,phosphate_rock,nan,tonnes (metric),1972,
Germany,exports,phosphate_rock,nan,tonnes (metric),1972,
Malaysia,exports,phosphate_rock,nan,tonnes (metric),1972,
United Kingdom,exports,phosphate_rock,nan,tonnes (metric),1972,
Austria,exports,phosphate_rock,nan,tonnes (metric),1972,
Estonia,exports,phosphate_rock,nan,tonnes (metric),1972,
India,exports,phosphate_rock,nan,tonnes (metric),1972,
Indonesia,exports,phosphate_rock,nan,tonnes (metric),1972,
Italy,exports,phosphate_rock,nan,tonnes (metric),1972,
Kazakhstan,exports,phosphate_rock,nan,tonnes (metric),1972,
New Zealand,exports,phosphate_rock,nan,tonnes (metric),1972,
North Macedonia,exports,phosphate_rock,nan,tonnes (metric),1972,
Peru,exports,phosphate_rock,nan,tonnes (metric),1972,
Poland,exports,phosphate_rock,nan,tonnes (metric),1972,
Russia,exports,phosphate_rock,nan,tonnes (metric),1972,
Spain,exports,phosphate_rock,nan,tonnes (metric),1972,
Switzerland,exports,phosphate_rock,nan,tonnes (metric),1972,
Ukraine,exports,phosphate_rock,nan,tonnes (metric),1972,
Belgium,exports,phosphate_rock,nan,tonnes (metric),1972,
Brazil,exports,phosphate_rock,nan,tonnes (metric),1972,
Bulgaria,exports,phosphate_rock,nan,tonnes (metric),1972,
Croatia,exports,phosphate_rock,nan,tonnes (metric),1972,
Cyprus,exports,phosphate_rock,nan,tonnes (metric),1972,
Czech Republic,exports,phosphate_rock,nan,tonnes (metric),1972,
Lithuania,exports,phosphate_rock,nan,tonnes (metric),1972,
Norway,exports,phosphate_rock,nan,tonnes (metric),1972,
Slovakia,exports,phosphate_rock,nan,tonnes (metric),1972,
Slovenia,exports,phosphate_rock,nan,tonnes (metric),1972,
Turkey,exports,phosphate_rock,nan,tonnes (metric),1972,
Greece,exports,phosphate_rock,nan,tonnes (metric),1972,
Hungary,exports,phosphate_rock,nan,tonnes (metric),1972,
Romania,exports,phosphate_rock,nan,tonnes (metric),1972,
Algeria,exports,phosphate_rock,nan,tonnes (metric),1973,218455.0
Australia,exports,phosphate_rock,nan,tonnes (metric),1973,
Banaba,exports,phosphate_rock,nan,tonnes (metric),1973,742350.0
Belgium-Luxembourg,exports,phosphate_rock,nan,tonnes (metric),1973,38134.0
Christmas Island,exports,phosphate_rock,nan,tonnes (metric),1973,1493408.0
Egypt,exports,phosphate_rock,nan,tonnes (metric),1973,153201.0
France,exports,phosphate_rock,nan,tonnes (metric),1973,1494.0
German Federal Republic,exports,phosphate_rock,nan,tonnes (metric),1973,7728.0
Israel,exports,phosphate_rock,nan,tonnes (metric),1973,302000.0
Jordan,exports,phosphate_rock,nan,tonnes (metric),1973,1088575.0
Mexico,exports,phosphate_rock,nan,tonnes (metric),1973,1973.0
Morocco,exports,phosphate_rock,nan,tonnes (metric),1973,16101884.0
Nauru,exports,phosphate_rock,nan,tonnes (metric),1973,1581579.0
Netherlands,exports,phosphate_rock,nan,tonnes (metric),1973,39681.0
Netherlands Antilles,exports,phosphate_rock,nan,tonnes (metric),1973,70087.0
Senegal,exports,phosphate_rock,Aluminium phosphate,tonnes (metric),1973,112951.0
Senegal,exports,phosphate_rock,nan,tonnes (metric),1973,
Seychelles,exports,phosphate_rock,Guano                                             ,tonnes (metric),1973,7112.0
Singapore,exports,phosphate_rock,nan,tonnes (metric),1973,24530.0
South Africa,exports,phosphate_rock,Guano                                             ,tonnes (metric),1973,5191.0
South Africa,exports,phosphate_rock,nan,tonnes (metric),1973,15232.0
Soviet Union,exports,phosphate_rock,Apatite,tonnes (metric),1973,6624800.0
Soviet Union,exports,phosphate_rock,nan,tonnes (metric),1973,
Spanish Sahara,exports,phosphate_rock,nan,tonnes (metric),1973,655000.0
Sweden,exports,phosphate_rock,nan,tonnes (metric),1973,4822.0
Syria,exports,phosphate_rock,nan,tonnes (metric),1973,188530.0
Togo,exports,phosphate_rock,nan,tonnes (metric),1973,2196826.0
Tunisia,exports,phosphate_rock,nan,tonnes (metric),1973,2376814.0
USA,exports,phosphate_rock,nan,tonnes (metric),1973,12642041.0
Western Sahara,exports,phosphate_rock,nan,tonnes (metric),1973,
China,exports,phosphate_rock,nan,tonnes (metric),1973,
Denmark,exports,phosphate_rock,nan,tonnes (metric),1973,
Finland,exports,phosphate_rock,nan,tonnes (metric),1973,
Germany,exports,phosphate_rock,nan,tonnes (metric),1973,
Malaysia,exports,phosphate_rock,nan,tonnes (metric),1973,
United Kingdom,exports,phosphate_rock,nan,tonnes (metric),1973,
Austria,exports,phosphate_rock,nan,tonnes (metric),1973,
Estonia,exports,phosphate_rock,nan,tonnes (metric),1973,
India,exports,phosphate_rock,nan,tonnes (metric),1973,
