Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Belgium-Luxembourg,exports,potash,Carbonate,tonnes (metric),1970,2136.0
Belgium-Luxembourg,exports,potash,Chloride                                          ,tonnes (metric),1970,199444.0
Belgium-Luxembourg,exports,potash,Fertiliser salts                                  ,tonnes (metric),1970,353.0
Belgium-Luxembourg,exports,potash,Nitrate                                           ,tonnes (metric),1970,3.0
Belgium-Luxembourg,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Belgium-Luxembourg,exports,potash,Sulphate                                          ,tonnes (metric),1970,167541.0
Canada,exports,potash,Chloride                                          ,tonnes (metric),1970,4965820.0
Congo,exports,potash,Potassic fertilisers                              ,tonnes (metric),1970,137534.0
Czechoslovakia,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
France,exports,potash,Caustic potash,tonnes (metric),1970,10102.0
France,exports,potash,Chloride                                          ,tonnes (metric),1970,782454.0
France,exports,potash,Fertiliser salts                                  ,tonnes (metric),1970,61325.0
France,exports,potash,Nitrate                                           ,tonnes (metric),1970,3900.0
France,exports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
France,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
France,exports,potash,Sulphate                                          ,tonnes (metric),1970,622.0
German Democratic Rep,exports,potash,Carbonate,tonnes (metric),1970,8364.0
German Democratic Rep,exports,potash,Caustic potash,tonnes (metric),1970,12401.0
German Democratic Rep,exports,potash,Fertiliser salts                                  ,tonnes (metric),1970,1739000.0
German Democratic Rep,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
German Federal Republic,exports,potash,Carbonate,tonnes (metric),1970,16842.0
German Federal Republic,exports,potash,Caustic potash,tonnes (metric),1970,10791.0
German Federal Republic,exports,potash,Chloride                                          ,tonnes (metric),1970,1339032.0
German Federal Republic,exports,potash,Fertiliser salts                                  ,tonnes (metric),1970,48176.0
German Federal Republic,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
German Federal Republic,exports,potash,Sulphate                                          ,tonnes (metric),1970,444258.0
Hong Kong,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
India,exports,potash,Carbonate,tonnes (metric),1970,
India,exports,potash,Caustic potash,tonnes (metric),1970,279.0
India,exports,potash,Nitrate                                           ,tonnes (metric),1970,11.0
India,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Israel,exports,potash,Carbonate,tonnes (metric),1970,1830.0
Israel,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Italy,exports,potash,Caustic potash,tonnes (metric),1970,2179.0
Italy,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Italy,exports,potash,Sulphate                                          ,tonnes (metric),1970,45774.0
Ivory Coast,exports,potash,Potassic fertilisers                              ,tonnes (metric),1970,43.0
Japan,exports,potash,Caustic potash,tonnes (metric),1970,2121.0
Japan,exports,potash,Chlorate,tonnes (metric),1970,950.0
Japan,exports,potash,Chloride                                          ,tonnes (metric),1970,5540.0
Japan,exports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,877.0
Japan,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Japan,exports,potash,Sulphate                                          ,tonnes (metric),1970,19127.0
Netherlands,exports,potash,Carbonate,tonnes (metric),1970,2876.0
Netherlands,exports,potash,Caustic potash,tonnes (metric),1970,87.0
Netherlands,exports,potash,Chloride                                          ,tonnes (metric),1970,147.0
Netherlands,exports,potash,Nitrate                                           ,tonnes (metric),1970,275.0
Netherlands,exports,potash,Potassic chemicals                                ,tonnes (metric),1970,
