Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,rare_earths,Cerium metal,tonnes (metric),1970,
Australia,exports,rare_earths,Ores & concentrates                               ,tonnes (metric),1970,
Austria,exports,rare_earths,Metals                                            ,tonnes (metric),1970,
Belgium-Luxembourg,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Brazil,exports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
Brazil,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Brazil,exports,rare_earths,Metals                                            ,tonnes (metric),1970,
China,exports,rare_earths,Rare earth compounds                              ,tonnes (metric),1970,
France,exports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
France,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
France,exports,rare_earths,Metals                                            ,tonnes (metric),1970,
France,exports,rare_earths,Other rare earth compounds                        ,tonnes (metric),1970,
German Federal Republic,exports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
German Federal Republic,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
German Federal Republic,exports,rare_earths,Metals                                            ,tonnes (metric),1970,
German Federal Republic,exports,rare_earths,Other rare earth compounds                        ,tonnes (metric),1970,
Italy,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Italy,exports,rare_earths,Metals                                            ,tonnes (metric),1970,
Japan,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Malaysia,exports,rare_earths,Ores & concentrates                               ,tonnes (metric),1970,
South Africa,exports,rare_earths,Rare earth compounds                              ,tonnes (metric),1970,
Spain,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Thailand,exports,rare_earths,Ores & concentrates                               ,tonnes (metric),1970,
USA,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
USA,exports,rare_earths,Ores & concentrates                               ,tonnes (metric),1970,
USA,exports,rare_earths,Rare earth compounds                              ,tonnes (metric),1970,
United Kingdom,exports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
