Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,salt,nan,tonnes (metric),1970,23500.0
Angola,exports,salt,nan,tonnes (metric),1970,33309.0
Argentina,exports,salt,nan,tonnes (metric),1970,84143.0
Australia,exports,salt,Other salt,tonnes (metric),1970,1387770.0
Australia,exports,salt,Refined salt,tonnes (metric),1970,937.0
Australia,exports,salt,nan,tonnes (metric),1970,
Austria,exports,salt,nan,tonnes (metric),1970,
Bahamas,exports,salt,nan,tonnes (metric),1970,767981.0
Belgium-Luxembourg,exports,salt,nan,tonnes (metric),1970,7083.0
Brazil,exports,salt,nan,tonnes (metric),1970,7.0
Burma,exports,salt,nan,tonnes (metric),1970,
Canada,exports,salt,nan,tonnes (metric),1970,
Cape Verde,exports,salt,nan,tonnes (metric),1970,
Chile,exports,salt,nan,tonnes (metric),1970,293549.0
China,exports,salt,nan,tonnes (metric),1970,
Colombia,exports,salt,nan,tonnes (metric),1970,
Denmark,exports,salt,nan,tonnes (metric),1970,5799.0
Egypt,exports,salt,nan,tonnes (metric),1970,48269.0
El Salvador,exports,salt,nan,tonnes (metric),1970,1155.0
Ethiopia,exports,salt,nan,tonnes (metric),1970,141256.0
France,exports,salt,nan,tonnes (metric),1970,283828.0
German Democratic Rep,exports,salt,Rock salt,tonnes (metric),1970,838000.0
German Democratic Rep,exports,salt,nan,tonnes (metric),1970,
German Federal Republic,exports,salt,nan,tonnes (metric),1970,1595395.0
Ghana,exports,salt,nan,tonnes (metric),1970,
Honduras,exports,salt,nan,tonnes (metric),1970,3983.0
India,exports,salt,nan,tonnes (metric),1970,104344.0
Iran,exports,salt,nan,tonnes (metric),1970,4164.0
Israel,exports,salt,nan,tonnes (metric),1970,191.0
Italy,exports,salt,nan,tonnes (metric),1970,222099.0
Ivory Coast,exports,salt,nan,tonnes (metric),1970,227.0
Jamaica,exports,salt,nan,tonnes (metric),1970,
Japan,exports,salt,nan,tonnes (metric),1970,344.0
Jordan,exports,salt,nan,tonnes (metric),1970,
Kenya,exports,salt,nan,tonnes (metric),1970,679.0
Korea (Rep. of),exports,salt,nan,tonnes (metric),1970,
Kuwait,exports,salt,nan,tonnes (metric),1970,3.0
Liberia,exports,salt,nan,tonnes (metric),1970,1500.0
Madagascar,exports,salt,nan,tonnes (metric),1970,5597.0
Malaysia,exports,salt,nan,tonnes (metric),1970,451.0
Mali,exports,salt,nan,tonnes (metric),1970,1072.0
Mexico,exports,salt,nan,tonnes (metric),1970,3406836.0
Morocco,exports,salt,nan,tonnes (metric),1970,2107.0
Mozambique,exports,salt,nan,tonnes (metric),1970,4951.0
Netherlands,exports,salt,nan,tonnes (metric),1970,2065182.0
Netherlands Antilles,exports,salt,nan,tonnes (metric),1970,
Nicaragua,exports,salt,nan,tonnes (metric),1970,4723.0
Norway,exports,salt,nan,tonnes (metric),1970,1717.0
Pakistan,exports,salt,nan,tonnes (metric),1970,102887.0
Poland,exports,salt,nan,tonnes (metric),1970,209260.0
Portugal,exports,salt,nan,tonnes (metric),1970,4981.0
Romania,exports,salt,nan,tonnes (metric),1970,603700.0
Saudi Arabia,exports,salt,nan,tonnes (metric),1970,
Senegal,exports,salt,nan,tonnes (metric),1970,106723.0
Singapore,exports,salt,nan,tonnes (metric),1970,6595.0
South Africa,exports,salt,nan,tonnes (metric),1970,29390.0
Soviet Union,exports,salt,nan,tonnes (metric),1970,293600.0
Spain,exports,salt,nan,tonnes (metric),1970,176718.0
Sudan,exports,salt,nan,tonnes (metric),1970,643.0
Sweden,exports,salt,nan,tonnes (metric),1970,341.0
Switzerland,exports,salt,nan,tonnes (metric),1970,1456.0
Taiwan,exports,salt,nan,tonnes (metric),1970,
Tanzania,exports,salt,nan,tonnes (metric),1970,8545.0
Thailand,exports,salt,Other salt,tonnes (metric),1970,
Thailand,exports,salt,Sea salt,tonnes (metric),1970,92859.0
Thailand,exports,salt,nan,tonnes (metric),1970,
The Canary Islands,exports,salt,nan,tonnes (metric),1970,2272.0
Tunisia,exports,salt,nan,tonnes (metric),1970,234260.0
Turks and Caicos Islands,exports,salt,nan,tonnes (metric),1970,2693.0
USA,exports,salt,nan,tonnes (metric),1970,383636.0
Uganda,exports,salt,nan,tonnes (metric),1970,2129.0
United Kingdom,exports,salt,nan,tonnes (metric),1970,582618.0
Venezuela,exports,salt,nan,tonnes (metric),1970,126317.0
Yemen (PDR),exports,salt,nan,tonnes (metric),1970,41734.0
Albania,exports,salt,nan,tonnes (metric),1970,
Greece,exports,salt,nan,tonnes (metric),1970,
Hong Kong,exports,salt,nan,tonnes (metric),1970,
Indonesia,exports,salt,nan,tonnes (metric),1970,
"Ireland, Republic of",exports,salt,nan,tonnes (metric),1970,
Namibia,exports,salt,nan,tonnes (metric),1970,
New Zealand,exports,salt,nan,tonnes (metric),1970,
Sri Lanka,exports,salt,nan,tonnes (metric),1970,
Turkey,exports,salt,nan,tonnes (metric),1970,
Armenia,exports,salt,nan,tonnes (metric),1970,
Belarus,exports,salt,nan,tonnes (metric),1970,
Bosnia & Herzegovina,exports,salt,nan,tonnes (metric),1970,
Botswana,exports,salt,nan,tonnes (metric),1970,
