Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,exports,tantalum_and_niobium,Columbite-tantalite                               ,tonnes (metric),1970,108.0
Austria,exports,tantalum_and_niobium,Tantalum                                          ,tonnes (metric),1970,6.0
Brazil,exports,tantalum_and_niobium,Columbite                                         ,tonnes (metric),1970,41.0
Brazil,exports,tantalum_and_niobium,Columbite-tantalite                               ,tonnes (metric),1970,209.0
Brazil,exports,tantalum_and_niobium,Pyrochlore,tonnes (metric),1970,8500.0
Canada,exports,tantalum_and_niobium,Columbite-tantalite                               ,tonnes (metric),1970,
Canada,exports,tantalum_and_niobium,Niobium & tantalum ores                           ,tonnes (metric),1970,
Canada,exports,tantalum_and_niobium,Pyrochlore,tonnes (metric),1970,
Canada,exports,tantalum_and_niobium,Tantalum                                          ,tonnes (metric),1970,
Canada,exports,tantalum_and_niobium,nan,tonnes (metric),1970,3500.0
France,exports,tantalum_and_niobium,Niobium & tantalum ores                           ,tonnes (metric),1970,
France,exports,tantalum_and_niobium,Tantalum                                          ,tonnes (metric),1970,4.0
German Federal Republic,exports,tantalum_and_niobium,Niobium                                           ,tonnes (metric),1970,2.0
German Federal Republic,exports,tantalum_and_niobium,Niobium & tantalum ores                           ,tonnes (metric),1970,
German Federal Republic,exports,tantalum_and_niobium,Tantalum                                          ,tonnes (metric),1970,62.0
Italy,exports,tantalum_and_niobium,Niobium                                           ,tonnes (metric),1970,
Italy,exports,tantalum_and_niobium,Niobium & tantalum ores                           ,tonnes (metric),1970,0.0
Italy,exports,tantalum_and_niobium,Tantalum                                          ,tonnes (metric),1970,0.0
Japan,exports,tantalum_and_niobium,Tantalum                                          ,tonnes (metric),1970,2.0
Malaysia,exports,tantalum_and_niobium,Columbite                                         ,tonnes (metric),1970,24.0
Malaysia,exports,tantalum_and_niobium,Columbite & tantalite                             ,tonnes (metric),1970,
Malaysia,exports,tantalum_and_niobium,Columbite-tantalite                               ,tonnes (metric),1970,
Malaysia,exports,tantalum_and_niobium,Tin slags                                         ,tonnes (metric),1970,984.0
Mozambique,exports,tantalum_and_niobium,Columbite                                         ,tonnes (metric),1970,97.0
Mozambique,exports,tantalum_and_niobium,Columbite & tantalite                             ,tonnes (metric),1970,
Mozambique,exports,tantalum_and_niobium,Tantalum ores & concentrates                      ,tonnes (metric),1970,91.0
Netherlands,exports,tantalum_and_niobium,Tantalum                                          ,tonnes (metric),1970,10.0
Nigeria,exports,tantalum_and_niobium,Columbite                                         ,tonnes (metric),1970,1792.0
Nigeria,exports,tantalum_and_niobium,Columbite-tantalite                               ,tonnes (metric),1970,4.0
Portugal,exports,tantalum_and_niobium,Columbite                                         ,tonnes (metric),1970,12.0
Rwanda,exports,tantalum_and_niobium,Columbite-tantalite                               ,tonnes (metric),1970,28.0
Singapore,exports,tantalum_and_niobium,Tantalum ores & concentrates                      ,tonnes (metric),1970,
Singapore,exports,tantalum_and_niobium,Tin slags                                         ,tonnes (metric),1970,
