Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,198.0
Australia,exports,tungsten,Scheelite ores & concentrates,tonnes (metric),1970,1010.0
Australia,exports,tungsten,Wolframite ores & concentrates,tonnes (metric),1970,665.0
Austria,exports,tungsten,Metal                                             ,tonnes (metric),1970,927.0
Austria,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,172.0
Belgium-Luxembourg,exports,tungsten,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,63.0
Bolivia,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,2410.0
Brazil,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,1644.0
Burma,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,275.0
Burma,exports,tungsten,Other tungsten ores,tonnes (metric),1970,51.0
Canada,exports,tungsten,nan,tonnes (metric),1970,1380.0
China,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,
France,exports,tungsten,Carbide                                           ,tonnes (metric),1970,
France,exports,tungsten,Metal                                             ,tonnes (metric),1970,245.0
France,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,125.0
German Federal Republic,exports,tungsten,Metal                                             ,tonnes (metric),1970,502.0
German Federal Republic,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,
Guatemala,exports,tungsten,nan,tonnes (metric),1970,40.0
Hong Kong,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,
Italy,exports,tungsten,Metal                                             ,tonnes (metric),1970,
Japan,exports,tungsten,Metal                                             ,tonnes (metric),1970,51.0
Korea (Rep. of),exports,tungsten,Carbide                                           ,tonnes (metric),1970,
Korea (Rep. of),exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,8290.0
"Korea, Dem. P.R. of",exports,tungsten,nan,tonnes (metric),1970,500.0
Malaysia,exports,tungsten,Wolframite ores & concentrates,tonnes (metric),1970,172.0
Mexico,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,459.0
Netherlands,exports,tungsten,Metal                                             ,tonnes (metric),1970,
Netherlands,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,120.0
Peru,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,971.0
Portugal,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,1728.0
Rwanda,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,
Singapore,exports,tungsten,Metal                                             ,tonnes (metric),1970,
Singapore,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,128.0
South Africa,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,185.0
Spain,exports,tungsten,Metal                                             ,tonnes (metric),1970,
Spain,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,669.0
Spain,exports,tungsten,Other tungsten ores,tonnes (metric),1970,
Spain,exports,tungsten,Scheelite ores & concentrates,tonnes (metric),1970,
Sweden,exports,tungsten,Carbide                                           ,tonnes (metric),1970,
Sweden,exports,tungsten,Metal                                             ,tonnes (metric),1970,75.0
Sweden,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,279.0
Switzerland,exports,tungsten,Metal                                             ,tonnes (metric),1970,
Tanzania,exports,tungsten,Wolframite ores & concentrates,tonnes (metric),1970,19.0
Thailand,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,1151.0
Turkey,exports,tungsten,Metal                                             ,tonnes (metric),1970,
USA,exports,tungsten,Ammonium paratungstate                            ,tonnes (metric),1970,
USA,exports,tungsten,Carbide                                           ,tonnes (metric),1970,
USA,exports,tungsten,Metal                                             ,tonnes (metric),1970,762.0
USA,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,17116.0
USA,exports,tungsten,Powder,tonnes (metric),1970,184.0
Uganda,exports,tungsten,Wolframite ores & concentrates,tonnes (metric),1970,224.0
United Kingdom,exports,tungsten,Carbide                                           ,tonnes (metric),1970,234.0
United Kingdom,exports,tungsten,Metal                                             ,tonnes (metric),1970,153.0
United Kingdom,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,569.0
Zaire,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,376.0
Zimbabwe,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,
Australia,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,
Canada,exports,tungsten,Ores & concentrates                               ,tonnes (metric),1970,
