Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,28174.0
Algeria,exports,zinc,Scrap                                             ,tonnes (metric),1970,
Algeria,exports,zinc,Unwrought                                         ,tonnes (metric),1970,
Argentina,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Argentina,exports,zinc,Unwrought                                         ,tonnes (metric),1970,2832.0
Australia,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,234912.0
Australia,exports,zinc,Unwrought                                         ,tonnes (metric),1970,154716.0
Austria,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,1196.0
Austria,exports,zinc,Scrap                                             ,tonnes (metric),1970,621.0
Austria,exports,zinc,Unwrought                                         ,tonnes (metric),1970,255.0
Belgium-Luxembourg,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,194549.0
Belgium-Luxembourg,exports,zinc,Scrap                                             ,tonnes (metric),1970,8786.0
Belgium-Luxembourg,exports,zinc,Unwrought                                         ,tonnes (metric),1970,137291.0
Belgium-Luxembourg,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
Bolivia,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,46537.0
Brazil,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Bulgaria,exports,zinc,Unwrought                                         ,tonnes (metric),1970,
Burma,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,5530.0
Canada,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,809247.0
Canada,exports,zinc,Scrap                                             ,tonnes (metric),1970,6714.0
Canada,exports,zinc,Unwrought                                         ,tonnes (metric),1970,318834.0
China,exports,zinc,Unwrought                                         ,tonnes (metric),1970,
Congo,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Czechoslovakia,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Denmark,exports,zinc,Scrap                                             ,tonnes (metric),1970,2905.0
Denmark,exports,zinc,Unwrought                                         ,tonnes (metric),1970,106.0
Denmark,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,266.0
Finland,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,2111.0
Finland,exports,zinc,Scrap                                             ,tonnes (metric),1970,
Finland,exports,zinc,Unwrought                                         ,tonnes (metric),1970,44235.0
Finland,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
France,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,4820.0
France,exports,zinc,Scrap                                             ,tonnes (metric),1970,
France,exports,zinc,Unwrought                                         ,tonnes (metric),1970,16427.0
France,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,1293.0
German Federal Republic,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,49852.0
German Federal Republic,exports,zinc,Scrap                                             ,tonnes (metric),1970,5904.0
German Federal Republic,exports,zinc,Unwrought                                         ,tonnes (metric),1970,54125.0
German Federal Republic,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
Greece,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,21612.0
Greenland,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Guatemala,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,2192.0
Honduras,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,38731.0
Hong Kong,exports,zinc,Unwrought                                         ,tonnes (metric),1970,
Iran,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,96629.0
"Ireland, Republic of",exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,194330.0
Italy,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,11861.0
Italy,exports,zinc,Scrap                                             ,tonnes (metric),1970,
Italy,exports,zinc,Unwrought                                         ,tonnes (metric),1970,1895.0
Italy,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
Japan,exports,zinc,Scrap                                             ,tonnes (metric),1970,
Japan,exports,zinc,Unwrought                                         ,tonnes (metric),1970,52585.0
Japan,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
Korea (Rep. of),exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,39466.0
Korea (Rep. of),exports,zinc,Unwrought                                         ,tonnes (metric),1970,
"Korea, Dem. P.R. of",exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
"Korea, Dem. P.R. of",exports,zinc,Unwrought                                         ,tonnes (metric),1970,
Mexico,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,326548.0
Mexico,exports,zinc,Unwrought                                         ,tonnes (metric),1970,38142.0
Morocco,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,37501.0
Netherlands,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,16169.0
Netherlands,exports,zinc,Scrap                                             ,tonnes (metric),1970,6243.0
Netherlands,exports,zinc,Unwrought                                         ,tonnes (metric),1970,26077.0
Netherlands,exports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
Nicaragua,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Nigeria,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,61.0
Norway,exports,zinc,Ores & concentrates                               ,tonnes (metric),1970,11430.0
