Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Austria,imports,aggregates_primary,nan,tonnes (metric),1990,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1990,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1990,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1990,
China,imports,aggregates_primary,nan,tonnes (metric),1990,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1990,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1990,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1990,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1990,
Finland,imports,aggregates_primary,nan,tonnes (metric),1990,
France,imports,aggregates_primary,nan,tonnes (metric),1990,
Germany,imports,aggregates_primary,nan,tonnes (metric),1990,
Greece,imports,aggregates_primary,nan,tonnes (metric),1990,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1990,
India,imports,aggregates_primary,nan,tonnes (metric),1990,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1990,
Italy,imports,aggregates_primary,nan,tonnes (metric),1990,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1990,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1990,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1990,
Norway,imports,aggregates_primary,nan,tonnes (metric),1990,
Poland,imports,aggregates_primary,nan,tonnes (metric),1990,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1990,
Romania,imports,aggregates_primary,nan,tonnes (metric),1990,
Russia,imports,aggregates_primary,nan,tonnes (metric),1990,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1990,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1990,
Spain,imports,aggregates_primary,nan,tonnes (metric),1990,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1990,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1990,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1990,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1990,
Albania,imports,aggregates_primary,nan,tonnes (metric),1990,
Belgium,imports,aggregates_primary,nan,tonnes (metric),1990,
Croatia,imports,aggregates_primary,nan,tonnes (metric),1990,
Iceland,imports,aggregates_primary,nan,tonnes (metric),1990,
Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1990,
Malta,imports,aggregates_primary,nan,tonnes (metric),1990,
Montenegro,imports,aggregates_primary,nan,tonnes (metric),1990,
North Macedonia,imports,aggregates_primary,nan,tonnes (metric),1990,
Serbia,imports,aggregates_primary,nan,tonnes (metric),1990,
Austria,imports,aggregates_primary,nan,tonnes (metric),1991,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1991,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1991,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1991,
China,imports,aggregates_primary,nan,tonnes (metric),1991,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1991,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1991,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1991,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1991,
Finland,imports,aggregates_primary,nan,tonnes (metric),1991,
France,imports,aggregates_primary,nan,tonnes (metric),1991,
Germany,imports,aggregates_primary,nan,tonnes (metric),1991,
Greece,imports,aggregates_primary,nan,tonnes (metric),1991,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1991,
India,imports,aggregates_primary,nan,tonnes (metric),1991,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1991,
Italy,imports,aggregates_primary,nan,tonnes (metric),1991,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1991,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1991,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1991,
Norway,imports,aggregates_primary,nan,tonnes (metric),1991,
Poland,imports,aggregates_primary,nan,tonnes (metric),1991,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1991,
Romania,imports,aggregates_primary,nan,tonnes (metric),1991,
Russia,imports,aggregates_primary,nan,tonnes (metric),1991,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1991,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1991,
Spain,imports,aggregates_primary,nan,tonnes (metric),1991,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1991,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1991,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1991,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1991,
Albania,imports,aggregates_primary,nan,tonnes (metric),1991,
Belgium,imports,aggregates_primary,nan,tonnes (metric),1991,
Croatia,imports,aggregates_primary,nan,tonnes (metric),1991,
Iceland,imports,aggregates_primary,nan,tonnes (metric),1991,
Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1991,
Malta,imports,aggregates_primary,nan,tonnes (metric),1991,
Montenegro,imports,aggregates_primary,nan,tonnes (metric),1991,
North Macedonia,imports,aggregates_primary,nan,tonnes (metric),1991,
Serbia,imports,aggregates_primary,nan,tonnes (metric),1991,
Austria,imports,aggregates_primary,nan,tonnes (metric),1992,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1992,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1992,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1992,
China,imports,aggregates_primary,nan,tonnes (metric),1992,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1992,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1992,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1992,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1992,
Finland,imports,aggregates_primary,nan,tonnes (metric),1992,
France,imports,aggregates_primary,nan,tonnes (metric),1992,
Germany,imports,aggregates_primary,nan,tonnes (metric),1992,
Greece,imports,aggregates_primary,nan,tonnes (metric),1992,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1992,
India,imports,aggregates_primary,nan,tonnes (metric),1992,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1992,
Italy,imports,aggregates_primary,nan,tonnes (metric),1992,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1992,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1992,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1992,
Norway,imports,aggregates_primary,nan,tonnes (metric),1992,
Poland,imports,aggregates_primary,nan,tonnes (metric),1992,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1992,
Romania,imports,aggregates_primary,nan,tonnes (metric),1992,
Russia,imports,aggregates_primary,nan,tonnes (metric),1992,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1992,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1992,
Spain,imports,aggregates_primary,nan,tonnes (metric),1992,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1992,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1992,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1992,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1992,
Albania,imports,aggregates_primary,nan,tonnes (metric),1992,
Belgium,imports,aggregates_primary,nan,tonnes (metric),1992,
Croatia,imports,aggregates_primary,nan,tonnes (metric),1992,
Iceland,imports,aggregates_primary,nan,tonnes (metric),1992,
Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1992,
Malta,imports,aggregates_primary,nan,tonnes (metric),1992,
Montenegro,imports,aggregates_primary,nan,tonnes (metric),1992,
North Macedonia,imports,aggregates_primary,nan,tonnes (metric),1992,
Serbia,imports,aggregates_primary,nan,tonnes (metric),1992,
Austria,imports,aggregates_primary,nan,tonnes (metric),1993,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1993,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1993,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1993,
China,imports,aggregates_primary,nan,tonnes (metric),1993,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1993,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1993,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1993,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1993,
Finland,imports,aggregates_primary,nan,tonnes (metric),1993,
France,imports,aggregates_primary,nan,tonnes (metric),1993,
Germany,imports,aggregates_primary,nan,tonnes (metric),1993,
Greece,imports,aggregates_primary,nan,tonnes (metric),1993,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1993,
India,imports,aggregates_primary,nan,tonnes (metric),1993,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1993,
Italy,imports,aggregates_primary,nan,tonnes (metric),1993,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1993,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1993,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1993,
Norway,imports,aggregates_primary,nan,tonnes (metric),1993,
Poland,imports,aggregates_primary,nan,tonnes (metric),1993,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1993,
Romania,imports,aggregates_primary,nan,tonnes (metric),1993,
Russia,imports,aggregates_primary,nan,tonnes (metric),1993,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1993,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1993,
Spain,imports,aggregates_primary,nan,tonnes (metric),1993,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1993,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1993,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1993,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1993,
Albania,imports,aggregates_primary,nan,tonnes (metric),1993,
Belgium,imports,aggregates_primary,nan,tonnes (metric),1993,
Croatia,imports,aggregates_primary,nan,tonnes (metric),1993,
Iceland,imports,aggregates_primary,nan,tonnes (metric),1993,
Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1993,
Malta,imports,aggregates_primary,nan,tonnes (metric),1993,
Montenegro,imports,aggregates_primary,nan,tonnes (metric),1993,
North Macedonia,imports,aggregates_primary,nan,tonnes (metric),1993,
Serbia,imports,aggregates_primary,nan,tonnes (metric),1993,
Austria,imports,aggregates_primary,nan,tonnes (metric),1994,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1994,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1994,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1994,
China,imports,aggregates_primary,nan,tonnes (metric),1994,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1994,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1994,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1994,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1994,
Finland,imports,aggregates_primary,nan,tonnes (metric),1994,
France,imports,aggregates_primary,nan,tonnes (metric),1994,
Germany,imports,aggregates_primary,nan,tonnes (metric),1994,
Greece,imports,aggregates_primary,nan,tonnes (metric),1994,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1994,
India,imports,aggregates_primary,nan,tonnes (metric),1994,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1994,
Italy,imports,aggregates_primary,nan,tonnes (metric),1994,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1994,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1994,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1994,
Norway,imports,aggregates_primary,nan,tonnes (metric),1994,
Poland,imports,aggregates_primary,nan,tonnes (metric),1994,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1994,
Romania,imports,aggregates_primary,nan,tonnes (metric),1994,
Russia,imports,aggregates_primary,nan,tonnes (metric),1994,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1994,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1994,
Spain,imports,aggregates_primary,nan,tonnes (metric),1994,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1994,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1994,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1994,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1994,
Albania,imports,aggregates_primary,nan,tonnes (metric),1994,
Belgium,imports,aggregates_primary,nan,tonnes (metric),1994,
Croatia,imports,aggregates_primary,nan,tonnes (metric),1994,
Iceland,imports,aggregates_primary,nan,tonnes (metric),1994,
Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1994,
Malta,imports,aggregates_primary,nan,tonnes (metric),1994,
Montenegro,imports,aggregates_primary,nan,tonnes (metric),1994,
North Macedonia,imports,aggregates_primary,nan,tonnes (metric),1994,
Serbia,imports,aggregates_primary,nan,tonnes (metric),1994,
Austria,imports,aggregates_primary,nan,tonnes (metric),1995,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1995,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1995,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1995,
China,imports,aggregates_primary,nan,tonnes (metric),1995,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1995,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1995,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1995,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1995,
Finland,imports,aggregates_primary,nan,tonnes (metric),1995,
France,imports,aggregates_primary,nan,tonnes (metric),1995,
Germany,imports,aggregates_primary,nan,tonnes (metric),1995,
Greece,imports,aggregates_primary,nan,tonnes (metric),1995,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1995,
India,imports,aggregates_primary,nan,tonnes (metric),1995,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1995,
Italy,imports,aggregates_primary,nan,tonnes (metric),1995,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1995,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1995,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1995,
Norway,imports,aggregates_primary,nan,tonnes (metric),1995,
Poland,imports,aggregates_primary,nan,tonnes (metric),1995,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1995,
Romania,imports,aggregates_primary,nan,tonnes (metric),1995,
Russia,imports,aggregates_primary,nan,tonnes (metric),1995,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1995,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1995,
Spain,imports,aggregates_primary,nan,tonnes (metric),1995,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1995,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1995,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1995,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1995,
Albania,imports,aggregates_primary,nan,tonnes (metric),1995,
Belgium,imports,aggregates_primary,nan,tonnes (metric),1995,
Croatia,imports,aggregates_primary,nan,tonnes (metric),1995,
Iceland,imports,aggregates_primary,nan,tonnes (metric),1995,
Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1995,
Malta,imports,aggregates_primary,nan,tonnes (metric),1995,
Montenegro,imports,aggregates_primary,nan,tonnes (metric),1995,
North Macedonia,imports,aggregates_primary,nan,tonnes (metric),1995,
Serbia,imports,aggregates_primary,nan,tonnes (metric),1995,
Austria,imports,aggregates_primary,nan,tonnes (metric),1996,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1996,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1996,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1996,
China,imports,aggregates_primary,nan,tonnes (metric),1996,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1996,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1996,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1996,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1996,
Finland,imports,aggregates_primary,nan,tonnes (metric),1996,
France,imports,aggregates_primary,nan,tonnes (metric),1996,
Germany,imports,aggregates_primary,nan,tonnes (metric),1996,
Greece,imports,aggregates_primary,nan,tonnes (metric),1996,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1996,
India,imports,aggregates_primary,nan,tonnes (metric),1996,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1996,
Italy,imports,aggregates_primary,nan,tonnes (metric),1996,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1996,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1996,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1996,
Norway,imports,aggregates_primary,nan,tonnes (metric),1996,
Poland,imports,aggregates_primary,nan,tonnes (metric),1996,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1996,
Romania,imports,aggregates_primary,nan,tonnes (metric),1996,
Russia,imports,aggregates_primary,nan,tonnes (metric),1996,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1996,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1996,
Spain,imports,aggregates_primary,nan,tonnes (metric),1996,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1996,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1996,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1996,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1996,
Albania,imports,aggregates_primary,nan,tonnes (metric),1996,
Belgium,imports,aggregates_primary,nan,tonnes (metric),1996,
Croatia,imports,aggregates_primary,nan,tonnes (metric),1996,
Iceland,imports,aggregates_primary,nan,tonnes (metric),1996,
Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1996,
Malta,imports,aggregates_primary,nan,tonnes (metric),1996,
Montenegro,imports,aggregates_primary,nan,tonnes (metric),1996,
North Macedonia,imports,aggregates_primary,nan,tonnes (metric),1996,
Serbia,imports,aggregates_primary,nan,tonnes (metric),1996,
Austria,imports,aggregates_primary,nan,tonnes (metric),1997,
Belgium-Luxembourg,imports,aggregates_primary,nan,tonnes (metric),1997,
Brazil,imports,aggregates_primary,nan,tonnes (metric),1997,
Bulgaria,imports,aggregates_primary,nan,tonnes (metric),1997,
China,imports,aggregates_primary,nan,tonnes (metric),1997,
Cyprus,imports,aggregates_primary,nan,tonnes (metric),1997,
Czech Republic,imports,aggregates_primary,nan,tonnes (metric),1997,
Denmark,imports,aggregates_primary,nan,tonnes (metric),1997,
Estonia,imports,aggregates_primary,nan,tonnes (metric),1997,
Finland,imports,aggregates_primary,nan,tonnes (metric),1997,
France,imports,aggregates_primary,nan,tonnes (metric),1997,
Germany,imports,aggregates_primary,nan,tonnes (metric),1997,
Greece,imports,aggregates_primary,nan,tonnes (metric),1997,
Hungary,imports,aggregates_primary,nan,tonnes (metric),1997,
India,imports,aggregates_primary,nan,tonnes (metric),1997,
"Ireland, Republic of",imports,aggregates_primary,nan,tonnes (metric),1997,
Italy,imports,aggregates_primary,nan,tonnes (metric),1997,
Latvia,imports,aggregates_primary,nan,tonnes (metric),1997,
Lithuania,imports,aggregates_primary,nan,tonnes (metric),1997,
Netherlands,imports,aggregates_primary,nan,tonnes (metric),1997,
Norway,imports,aggregates_primary,nan,tonnes (metric),1997,
Poland,imports,aggregates_primary,nan,tonnes (metric),1997,
Portugal,imports,aggregates_primary,nan,tonnes (metric),1997,
Romania,imports,aggregates_primary,nan,tonnes (metric),1997,
Russia,imports,aggregates_primary,nan,tonnes (metric),1997,
Slovakia,imports,aggregates_primary,nan,tonnes (metric),1997,
Slovenia,imports,aggregates_primary,nan,tonnes (metric),1997,
Spain,imports,aggregates_primary,nan,tonnes (metric),1997,
Sweden,imports,aggregates_primary,nan,tonnes (metric),1997,
Switzerland,imports,aggregates_primary,nan,tonnes (metric),1997,
Turkey,imports,aggregates_primary,nan,tonnes (metric),1997,
United Kingdom,imports,aggregates_primary,nan,tonnes (metric),1997,
