Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,antimony,Metal                                             ,tonnes (metric),1970,
Argentina,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,67.0
Australia,imports,antimony,Metal                                             ,tonnes (metric),1970,66.0
Austria,imports,antimony,Metal                                             ,tonnes (metric),1970,
Austria,imports,antimony,Regulus,tonnes (metric),1970,45.0
Belgium-Luxembourg,imports,antimony,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,6520.0
Belgium-Luxembourg,imports,antimony,Oxide                                             ,tonnes (metric),1970,125.0
Belgium-Luxembourg,imports,antimony,Regulus,tonnes (metric),1970,4.0
Brazil,imports,antimony,Metal                                             ,tonnes (metric),1970,
Brazil,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,96.0
Brazil,imports,antimony,Oxide                                             ,tonnes (metric),1970,170.0
Brazil,imports,antimony,Regulus,tonnes (metric),1970,48.0
Brazil,imports,antimony,Sulphide                                          ,tonnes (metric),1970,57.0
Bulgaria,imports,antimony,Metal                                             ,tonnes (metric),1970,
Canada,imports,antimony,Oxide                                             ,tonnes (metric),1970,383.0
Chile,imports,antimony,Regulus,tonnes (metric),1970,28.0
Colombia,imports,antimony,Regulus,tonnes (metric),1970,7.0
Denmark,imports,antimony,Metal                                             ,tonnes (metric),1970,
Denmark,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Denmark,imports,antimony,Regulus,tonnes (metric),1970,12.0
Finland,imports,antimony,Metal                                             ,tonnes (metric),1970,
France,imports,antimony,Crude & regulus,tonnes (metric),1970,362.0
France,imports,antimony,Metal                                             ,tonnes (metric),1970,
France,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,4430.0
France,imports,antimony,Oxide                                             ,tonnes (metric),1970,
German Federal Republic,imports,antimony,Metal                                             ,tonnes (metric),1970,
German Federal Republic,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,2048.0
German Federal Republic,imports,antimony,Oxide                                             ,tonnes (metric),1970,1565.0
German Federal Republic,imports,antimony,Regulus,tonnes (metric),1970,1826.0
Greece,imports,antimony,Metal                                             ,tonnes (metric),1970,
Greece,imports,antimony,Regulus,tonnes (metric),1970,10.0
India,imports,antimony,Metal                                             ,tonnes (metric),1970,
India,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,699.0
India,imports,antimony,Oxide                                             ,tonnes (metric),1970,52.0
India,imports,antimony,Regulus,tonnes (metric),1970,2.0
Italy,imports,antimony,Metal                                             ,tonnes (metric),1970,
Italy,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,971.0
Italy,imports,antimony,Oxide                                             ,tonnes (metric),1970,393.0
Italy,imports,antimony,Regulus,tonnes (metric),1970,145.0
Japan,imports,antimony,Metal                                             ,tonnes (metric),1970,
Japan,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,17344.0
Japan,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Japan,imports,antimony,Regulus,tonnes (metric),1970,20.0
Japan,imports,antimony,Sulphide                                          ,tonnes (metric),1970,33.0
Korea (Rep. of),imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Malaysia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Mexico,imports,antimony,Oxide                                             ,tonnes (metric),1970,4.0
Morocco,imports,antimony,Metal                                             ,tonnes (metric),1970,
Morocco,imports,antimony,Regulus,tonnes (metric),1970,5.0
Netherlands,imports,antimony,Metal                                             ,tonnes (metric),1970,
Netherlands,imports,antimony,Oxide                                             ,tonnes (metric),1970,633.0
Netherlands,imports,antimony,Regulus,tonnes (metric),1970,159.0
Norway,imports,antimony,Metal                                             ,tonnes (metric),1970,
Norway,imports,antimony,Regulus,tonnes (metric),1970,21.0
Romania,imports,antimony,Metal                                             ,tonnes (metric),1970,700.0
Soviet Union,imports,antimony,Metal                                             ,tonnes (metric),1970,
Spain,imports,antimony,Metal                                             ,tonnes (metric),1970,
Spain,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,432.0
Spain,imports,antimony,Oxide                                             ,tonnes (metric),1970,38.0
Spain,imports,antimony,Regulus,tonnes (metric),1970,245.0
Sweden,imports,antimony,Metal                                             ,tonnes (metric),1970,
Sweden,imports,antimony,Regulus,tonnes (metric),1970,194.0
Switzerland,imports,antimony,Metal                                             ,tonnes (metric),1970,
Switzerland,imports,antimony,Regulus,tonnes (metric),1970,154.0
USA,imports,antimony,Crude,tonnes (metric),1970,16.0
USA,imports,antimony,Liquated,tonnes (metric),1970,
USA,imports,antimony,Metal                                             ,tonnes (metric),1970,
USA,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,31237.0
USA,imports,antimony,Oxide                                             ,tonnes (metric),1970,3861.0
USA,imports,antimony,Regulus,tonnes (metric),1970,1360.0
United Kingdom,imports,antimony,Metal                                             ,tonnes (metric),1970,
United Kingdom,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,12000.0
United Kingdom,imports,antimony,Oxide                                             ,tonnes (metric),1970,14.0
United Kingdom,imports,antimony,Refined & regulus,tonnes (metric),1970,33.0
United Kingdom,imports,antimony,Sulphide                                          ,tonnes (metric),1970,0.0
Uruguay,imports,antimony,Regulus,tonnes (metric),1970,7.0
Venezuela,imports,antimony,Metal                                             ,tonnes (metric),1970,
Venezuela,imports,antimony,Sulphide                                          ,tonnes (metric),1970,
Yugoslavia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Yugoslavia,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,1939.0
Yugoslavia,imports,antimony,Regulus,tonnes (metric),1970,
Australia,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Austria,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Austria,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Austria,imports,antimony,Sulphide                                          ,tonnes (metric),1970,
Canada,imports,antimony,Metal                                             ,tonnes (metric),1970,
China,imports,antimony,Metal                                             ,tonnes (metric),1970,
Colombia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Finland,imports,antimony,Oxide                                             ,tonnes (metric),1970,
German Democratic Rep,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Germany,imports,antimony,Metal                                             ,tonnes (metric),1970,
Germany,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Indonesia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Indonesia,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Korea (Rep. of),imports,antimony,Metal                                             ,tonnes (metric),1970,
Korea (Rep. of),imports,antimony,Oxide                                             ,tonnes (metric),1970,
Mexico,imports,antimony,Metal                                             ,tonnes (metric),1970,
Norway,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Pakistan,imports,antimony,Metal                                             ,tonnes (metric),1970,
Portugal,imports,antimony,Metal                                             ,tonnes (metric),1970,
South Africa,imports,antimony,Metal                                             ,tonnes (metric),1970,
Sweden,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Switzerland,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Taiwan,imports,antimony,Metal                                             ,tonnes (metric),1970,
Taiwan,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Thailand,imports,antimony,Metal                                             ,tonnes (metric),1970,
Thailand,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Thailand,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Tunisia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Argentina,imports,antimony,Metal                                             ,tonnes (metric),1970,
Belarus,imports,antimony,Metal                                             ,tonnes (metric),1970,
China,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
China,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Czech Republic,imports,antimony,Metal                                             ,tonnes (metric),1970,
Czech Republic,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Dubai,imports,antimony,Metal                                             ,tonnes (metric),1970,
Egypt,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Estonia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Estonia,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Germany,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Hong Kong,imports,antimony,Metal                                             ,tonnes (metric),1970,
Hong Kong,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Iran,imports,antimony,Metal                                             ,tonnes (metric),1970,
Kazakhstan,imports,antimony,Metal                                             ,tonnes (metric),1970,
Mexico,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Netherlands,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
New Zealand,imports,antimony,Metal                                             ,tonnes (metric),1970,
Philippines,imports,antimony,Metal                                             ,tonnes (metric),1970,
Poland,imports,antimony,Metal                                             ,tonnes (metric),1970,
Poland,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Portugal,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Russia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Russia,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Serbia and Montenegro,imports,antimony,Metal                                             ,tonnes (metric),1970,
Singapore,imports,antimony,Metal                                             ,tonnes (metric),1970,
Singapore,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Slovenia,imports,antimony,Metal                                             ,tonnes (metric),1970,
South Africa,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Sri Lanka,imports,antimony,Metal                                             ,tonnes (metric),1970,
Switzerland,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Turkey,imports,antimony,Metal                                             ,tonnes (metric),1970,
Turkey,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Ukraine,imports,antimony,Metal                                             ,tonnes (metric),1970,
Argentina,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Belgium,imports,antimony,Metal                                             ,tonnes (metric),1970,
Belgium,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Greece,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Greece,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Hungary,imports,antimony,Oxide                                             ,tonnes (metric),1970,
"Ireland, Republic of",imports,antimony,Metal                                             ,tonnes (metric),1970,
Lithuania,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Luxembourg,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Romania,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Slovakia,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Slovenia,imports,antimony,Oxide                                             ,tonnes (metric),1970,
Turkey,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Albania,imports,antimony,Metal                                             ,tonnes (metric),1970,
Belgium,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
North Macedonia,imports,antimony,Metal                                             ,tonnes (metric),1970,
Poland,imports,antimony,Ores & concentrates                               ,tonnes (metric),1970,
Algeria,imports,antimony,Metal                                             ,tonnes (metric),1971,
Argentina,imports,antimony,Ores & concentrates                               ,tonnes (metric),1971,388.0
Australia,imports,antimony,Metal                                             ,tonnes (metric),1971,27.0
Austria,imports,antimony,Metal                                             ,tonnes (metric),1971,
Austria,imports,antimony,Regulus,tonnes (metric),1971,103.0
