Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,569.0
Australia,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,1236.0
Austria,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,68.0
Belgium-Luxembourg,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Belgium-Luxembourg,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,1450.0
Brazil,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,20.0
Brazil,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,437.0
Chile,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,96.0
Colombia,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,135.0
Denmark,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Denmark,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,56.0
Finland,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,294.0
France,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,98.0
France,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
German Federal Republic,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,82.0
German Federal Republic,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Greece,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Hong Kong,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
India,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,190.0
India,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,111.0
Indonesia,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Iran,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Italy,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,78.0
Italy,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,1408.0
Japan,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,933.0
Korea (Rep. of),imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Malaysia,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,2293.0
Morocco,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,16.0
Netherlands,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Netherlands,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,839.0
New Zealand,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,138.0
Norway,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,82.0
Philippines,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,173.0
South Africa,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
South Africa,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,20.0
Spain,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Spain,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Sweden,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Switzerland,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,76.0
Taiwan,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,242.0
Thailand,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Turkey,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Turkey,imports,arsenic,nan,tonnes (metric),1970,27.0
USA,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,414.0
USA,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,17021.0
United Kingdom,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
United Kingdom,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,7307.0
Uruguay,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Venezuela,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Yugoslavia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,7.0
Yugoslavia,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,59.0
Austria,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Germany,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Japan,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
New Zealand,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Norway,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Thailand,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Australia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Canada,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
China,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Czech Republic,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Greece,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Hong Kong,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Indonesia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
"Ireland, Republic of",imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Korea (Rep. of),imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Philippines,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Poland,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Poland,imports,arsenic,White arsenic                                     ,tonnes (metric),1970,
Switzerland,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Turkey,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Argentina,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Belgium,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Bulgaria,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Russia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Slovakia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Slovenia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Romania,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1970,
Argentina,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,211.0
Australia,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,1040.0
Austria,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,41.0
Belgium-Luxembourg,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Belgium-Luxembourg,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,565.0
Brazil,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,45.0
Brazil,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,274.0
Chile,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,130.0
Colombia,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,6.0
Denmark,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Denmark,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,12.0
Finland,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,311.0
France,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,131.0
France,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
German Federal Republic,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,51.0
German Federal Republic,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Greece,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Hong Kong,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
India,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,173.0
India,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,354.0
Indonesia,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Iran,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Italy,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,96.0
Italy,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,1311.0
Japan,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,605.0
Korea (Rep. of),imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Malaysia,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,1460.0
Morocco,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,16.0
Netherlands,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Netherlands,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,413.0
New Zealand,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,131.0
Norway,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,128.0
Philippines,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,147.0
South Africa,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
South Africa,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,74.0
Spain,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Spain,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Sweden,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Switzerland,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,113.0
Taiwan,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,216.0
Thailand,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Turkey,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Turkey,imports,arsenic,nan,tonnes (metric),1971,20.0
USA,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,486.0
USA,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,14883.0
United Kingdom,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
United Kingdom,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,3938.0
Uruguay,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Venezuela,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Yugoslavia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,18.0
Yugoslavia,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,85.0
Austria,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Germany,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Japan,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
New Zealand,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Norway,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Thailand,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Australia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Canada,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
China,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Czech Republic,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Greece,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Hong Kong,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Indonesia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
"Ireland, Republic of",imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Korea (Rep. of),imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Philippines,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Poland,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Poland,imports,arsenic,White arsenic                                     ,tonnes (metric),1971,
Switzerland,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Turkey,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Argentina,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Belgium,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Bulgaria,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Russia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Slovakia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Slovenia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Romania,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1971,
Argentina,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,297.0
Australia,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,597.0
Austria,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,74.0
Belgium-Luxembourg,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Belgium-Luxembourg,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,313.0
Brazil,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,26.0
Brazil,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,732.0
Chile,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,152.0
Colombia,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,95.0
Denmark,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Denmark,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,15.0
Finland,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,358.0
France,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,116.0
France,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
German Federal Republic,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,98.0
German Federal Republic,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Greece,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Hong Kong,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,140.0
India,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,273.0
India,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,471.0
Indonesia,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Iran,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Italy,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,133.0
Italy,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,1895.0
Japan,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,1442.0
Korea (Rep. of),imports,arsenic,White arsenic                                     ,tonnes (metric),1972,100.0
Malaysia,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,3160.0
Morocco,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,25.0
Netherlands,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Netherlands,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,756.0
New Zealand,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,109.0
Norway,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,118.0
Philippines,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,159.0
South Africa,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
South Africa,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,73.0
Spain,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Spain,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Sweden,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Switzerland,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,24.0
Taiwan,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,311.0
Thailand,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,32.0
Turkey,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Turkey,imports,arsenic,nan,tonnes (metric),1972,119.0
USA,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,604.0
USA,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,12353.0
United Kingdom,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
United Kingdom,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,2776.0
Uruguay,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Venezuela,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Yugoslavia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,15.0
Yugoslavia,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,17.0
Austria,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Germany,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Japan,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
New Zealand,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Norway,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Thailand,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Australia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Canada,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
China,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Czech Republic,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Greece,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Hong Kong,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Indonesia,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
"Ireland, Republic of",imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Korea (Rep. of),imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Philippines,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Poland,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Poland,imports,arsenic,White arsenic                                     ,tonnes (metric),1972,
Switzerland,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Turkey,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
Argentina,imports,arsenic,Metallic arsenic                                  ,tonnes (metric),1972,
