Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,imports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,1275.0
Argentina,imports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,6538.0
Argentina,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,41652.0
Argentina,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,50721.0
Australia,imports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,3253.0
Australia,imports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,3253.0
Australia,imports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Australia,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,408.0
Australia,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,408.0
Austria,imports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,185670.0
Austria,imports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,6394.0
Austria,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,29565.0
Austria,imports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
Austria,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,tonnes (metric),1970,9859.0
Bahrain,imports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
Bahrain,imports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Alumina                                           ,tonnes (metric),1970,3592.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,tonnes (metric),1970,9310.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,tonnes (metric),1970,12865.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Scrap                                             ,tonnes (metric),1970,
