Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Australia,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Belgium-Luxembourg,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Brazil,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Brazil,imports,bismuth,Metal                                             ,tonnes (metric),1970,
France,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
France,imports,bismuth,Metal                                             ,tonnes (metric),1970,
German Federal Republic,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
German Federal Republic,imports,bismuth,Metal                                             ,tonnes (metric),1970,
India,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Italy,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Italy,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Morocco,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Netherlands,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Netherlands,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Spain,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Turkey,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
USA,imports,bismuth,Metal                                             ,tonnes (metric),1970,
United Kingdom,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Yugoslavia,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Yugoslavia,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Germany,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Germany,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Japan,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Mexico,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Sweden,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Switzerland,imports,bismuth,Metal                                             ,tonnes (metric),1970,
United Kingdom,imports,bismuth,Compounds                                         ,tonnes (metric),1970,
Austria,imports,bismuth,Metal                                             ,tonnes (metric),1970,
Canada,imports,bismuth,Metal                                             ,tonnes (metric),1970,
China,imports,bismuth,Metal                                             ,tonnes (metric),1970,
