Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,bromine,Compounds,kilograms,1970,
Algeria,imports,bromine,nan,kilograms,1970,
Argentina,imports,bromine,Compounds,kilograms,1970,
Argentina,imports,bromine,nan,kilograms,1970,
Australia,imports,bromine,Compounds,kilograms,1970,
Belgium-Luxembourg,imports,bromine,Compounds,kilograms,1970,
Belgium-Luxembourg,imports,bromine,nan,kilograms,1970,
Brazil,imports,bromine,Compounds,kilograms,1970,
Brazil,imports,bromine,nan,kilograms,1970,
Denmark,imports,bromine,Compounds,kilograms,1970,
Denmark,imports,bromine,nan,kilograms,1970,
Finland,imports,bromine,Compounds,kilograms,1970,
France,imports,bromine,Compounds,kilograms,1970,
France,imports,bromine,nan,kilograms,1970,
German Federal Republic,imports,bromine,Compounds,kilograms,1970,
German Federal Republic,imports,bromine,nan,kilograms,1970,
Greece,imports,bromine,nan,kilograms,1970,
Hong Kong,imports,bromine,Compounds,kilograms,1970,
Hungary,imports,bromine,nan,kilograms,1970,
India,imports,bromine,Compounds,kilograms,1970,
India,imports,bromine,nan,kilograms,1970,
Iran,imports,bromine,Compounds,kilograms,1970,
Iran,imports,bromine,nan,kilograms,1970,
Italy,imports,bromine,Compounds,kilograms,1970,
Italy,imports,bromine,nan,kilograms,1970,
Ivory Coast,imports,bromine,Compounds,kilograms,1970,
Japan,imports,bromine,Compounds,kilograms,1970,
Japan,imports,bromine,nan,kilograms,1970,
Korea (Rep. of),imports,bromine,Compounds,kilograms,1970,
Korea (Rep. of),imports,bromine,nan,kilograms,1970,
Malaysia,imports,bromine,Compounds,kilograms,1970,
Mexico,imports,bromine,nan,kilograms,1970,
Morocco,imports,bromine,Compounds,kilograms,1970,
Morocco,imports,bromine,nan,kilograms,1970,
Netherlands,imports,bromine,Compounds,kilograms,1970,
Netherlands,imports,bromine,nan,kilograms,1970,
Philippines,imports,bromine,Compounds,kilograms,1970,
Portugal,imports,bromine,Compounds,kilograms,1970,
Portugal,imports,bromine,nan,kilograms,1970,
Saudi Arabia,imports,bromine,nan,kilograms,1970,
South Africa,imports,bromine,Compounds,kilograms,1970,
South Africa,imports,bromine,nan,kilograms,1970,
Spain,imports,bromine,Compounds,kilograms,1970,
Spain,imports,bromine,nan,kilograms,1970,
Sweden,imports,bromine,Compounds,kilograms,1970,
Switzerland,imports,bromine,Compounds,kilograms,1970,
Syria,imports,bromine,Compounds,kilograms,1970,
Syria,imports,bromine,nan,kilograms,1970,
Taiwan,imports,bromine,Compounds,kilograms,1970,
Taiwan,imports,bromine,nan,kilograms,1970,
Thailand,imports,bromine,Compounds,kilograms,1970,
Thailand,imports,bromine,nan,kilograms,1970,
Tunisia,imports,bromine,Compounds,kilograms,1970,
Turkey,imports,bromine,Compounds,kilograms,1970,
Turkey,imports,bromine,nan,kilograms,1970,
USA,imports,bromine,Compounds,kilograms,1970,
USA,imports,bromine,nan,kilograms,1970,
United Kingdom,imports,bromine,Compounds,kilograms,1970,
United Kingdom,imports,bromine,nan,kilograms,1970,
Venezuela,imports,bromine,nan,kilograms,1970,
Yugoslavia,imports,bromine,Compounds,kilograms,1970,
Yugoslavia,imports,bromine,nan,kilograms,1970,
Zambia,imports,bromine,Compounds,kilograms,1970,
Zambia,imports,bromine,nan,kilograms,1970,
Canada,imports,bromine,nan,kilograms,1970,
Colombia,imports,bromine,nan,kilograms,1970,
Germany,imports,bromine,nan,kilograms,1970,
"Ireland, Republic of",imports,bromine,nan,kilograms,1970,
Israel,imports,bromine,nan,kilograms,1970,
Pakistan,imports,bromine,nan,kilograms,1970,
Peru,imports,bromine,nan,kilograms,1970,
Austria,imports,bromine,nan,kilograms,1970,
China,imports,bromine,nan,kilograms,1970,
Finland,imports,bromine,nan,kilograms,1970,
Poland,imports,bromine,nan,kilograms,1970,
Sweden,imports,bromine,nan,kilograms,1970,
Belgium,imports,bromine,nan,kilograms,1970,
Bulgaria,imports,bromine,nan,kilograms,1970,
Croatia,imports,bromine,nan,kilograms,1970,
Czech Republic,imports,bromine,nan,kilograms,1970,
Malta,imports,bromine,nan,kilograms,1970,
Romania,imports,bromine,nan,kilograms,1970,
Slovakia,imports,bromine,nan,kilograms,1970,
Latvia,imports,bromine,nan,kilograms,1970,
Lithuania,imports,bromine,nan,kilograms,1970,
Algeria,imports,bromine,Compounds,kilograms,1971,
Algeria,imports,bromine,nan,kilograms,1971,
Argentina,imports,bromine,Compounds,kilograms,1971,
Argentina,imports,bromine,nan,kilograms,1971,
Australia,imports,bromine,Compounds,kilograms,1971,
Belgium-Luxembourg,imports,bromine,Compounds,kilograms,1971,
Belgium-Luxembourg,imports,bromine,nan,kilograms,1971,
Brazil,imports,bromine,Compounds,kilograms,1971,
Brazil,imports,bromine,nan,kilograms,1971,
Denmark,imports,bromine,Compounds,kilograms,1971,
Denmark,imports,bromine,nan,kilograms,1971,
Finland,imports,bromine,Compounds,kilograms,1971,
France,imports,bromine,Compounds,kilograms,1971,
France,imports,bromine,nan,kilograms,1971,
German Federal Republic,imports,bromine,Compounds,kilograms,1971,
German Federal Republic,imports,bromine,nan,kilograms,1971,
Greece,imports,bromine,nan,kilograms,1971,
Hong Kong,imports,bromine,Compounds,kilograms,1971,
Hungary,imports,bromine,nan,kilograms,1971,
India,imports,bromine,Compounds,kilograms,1971,
India,imports,bromine,nan,kilograms,1971,
Iran,imports,bromine,Compounds,kilograms,1971,
Iran,imports,bromine,nan,kilograms,1971,
Italy,imports,bromine,Compounds,kilograms,1971,
Italy,imports,bromine,nan,kilograms,1971,
Ivory Coast,imports,bromine,Compounds,kilograms,1971,
Japan,imports,bromine,Compounds,kilograms,1971,
Japan,imports,bromine,nan,kilograms,1971,
Korea (Rep. of),imports,bromine,Compounds,kilograms,1971,
Korea (Rep. of),imports,bromine,nan,kilograms,1971,
Malaysia,imports,bromine,Compounds,kilograms,1971,
Mexico,imports,bromine,nan,kilograms,1971,
Morocco,imports,bromine,Compounds,kilograms,1971,
Morocco,imports,bromine,nan,kilograms,1971,
Netherlands,imports,bromine,Compounds,kilograms,1971,
Netherlands,imports,bromine,nan,kilograms,1971,
Philippines,imports,bromine,Compounds,kilograms,1971,
Portugal,imports,bromine,Compounds,kilograms,1971,
Portugal,imports,bromine,nan,kilograms,1971,
Saudi Arabia,imports,bromine,nan,kilograms,1971,
South Africa,imports,bromine,Compounds,kilograms,1971,
South Africa,imports,bromine,nan,kilograms,1971,
Spain,imports,bromine,Compounds,kilograms,1971,
Spain,imports,bromine,nan,kilograms,1971,
Sweden,imports,bromine,Compounds,kilograms,1971,
Switzerland,imports,bromine,Compounds,kilograms,1971,
Syria,imports,bromine,Compounds,kilograms,1971,
Syria,imports,bromine,nan,kilograms,1971,
Taiwan,imports,bromine,Compounds,kilograms,1971,
Taiwan,imports,bromine,nan,kilograms,1971,
Thailand,imports,bromine,Compounds,kilograms,1971,
Thailand,imports,bromine,nan,kilograms,1971,
Tunisia,imports,bromine,Compounds,kilograms,1971,
Turkey,imports,bromine,Compounds,kilograms,1971,
Turkey,imports,bromine,nan,kilograms,1971,
USA,imports,bromine,Compounds,kilograms,1971,
USA,imports,bromine,nan,kilograms,1971,
United Kingdom,imports,bromine,Compounds,kilograms,1971,
United Kingdom,imports,bromine,nan,kilograms,1971,
Venezuela,imports,bromine,nan,kilograms,1971,
Yugoslavia,imports,bromine,Compounds,kilograms,1971,
Yugoslavia,imports,bromine,nan,kilograms,1971,
Zambia,imports,bromine,Compounds,kilograms,1971,
Zambia,imports,bromine,nan,kilograms,1971,
Canada,imports,bromine,nan,kilograms,1971,
Colombia,imports,bromine,nan,kilograms,1971,
Germany,imports,bromine,nan,kilograms,1971,
"Ireland, Republic of",imports,bromine,nan,kilograms,1971,
Israel,imports,bromine,nan,kilograms,1971,
Pakistan,imports,bromine,nan,kilograms,1971,
Peru,imports,bromine,nan,kilograms,1971,
Austria,imports,bromine,nan,kilograms,1971,
China,imports,bromine,nan,kilograms,1971,
Finland,imports,bromine,nan,kilograms,1971,
Poland,imports,bromine,nan,kilograms,1971,
Sweden,imports,bromine,nan,kilograms,1971,
Belgium,imports,bromine,nan,kilograms,1971,
Bulgaria,imports,bromine,nan,kilograms,1971,
Croatia,imports,bromine,nan,kilograms,1971,
Czech Republic,imports,bromine,nan,kilograms,1971,
Malta,imports,bromine,nan,kilograms,1971,
Romania,imports,bromine,nan,kilograms,1971,
Slovakia,imports,bromine,nan,kilograms,1971,
Latvia,imports,bromine,nan,kilograms,1971,
Lithuania,imports,bromine,nan,kilograms,1971,
Algeria,imports,bromine,Compounds,kilograms,1972,
Algeria,imports,bromine,nan,kilograms,1972,
Argentina,imports,bromine,Compounds,kilograms,1972,
Argentina,imports,bromine,nan,kilograms,1972,
Australia,imports,bromine,Compounds,kilograms,1972,
Belgium-Luxembourg,imports,bromine,Compounds,kilograms,1972,
Belgium-Luxembourg,imports,bromine,nan,kilograms,1972,
Brazil,imports,bromine,Compounds,kilograms,1972,
Brazil,imports,bromine,nan,kilograms,1972,
Denmark,imports,bromine,Compounds,kilograms,1972,
Denmark,imports,bromine,nan,kilograms,1972,
Finland,imports,bromine,Compounds,kilograms,1972,
France,imports,bromine,Compounds,kilograms,1972,
France,imports,bromine,nan,kilograms,1972,
German Federal Republic,imports,bromine,Compounds,kilograms,1972,
German Federal Republic,imports,bromine,nan,kilograms,1972,
Greece,imports,bromine,nan,kilograms,1972,
Hong Kong,imports,bromine,Compounds,kilograms,1972,
Hungary,imports,bromine,nan,kilograms,1972,
India,imports,bromine,Compounds,kilograms,1972,
India,imports,bromine,nan,kilograms,1972,
Iran,imports,bromine,Compounds,kilograms,1972,
Iran,imports,bromine,nan,kilograms,1972,
Italy,imports,bromine,Compounds,kilograms,1972,
Italy,imports,bromine,nan,kilograms,1972,
Ivory Coast,imports,bromine,Compounds,kilograms,1972,
Japan,imports,bromine,Compounds,kilograms,1972,
Japan,imports,bromine,nan,kilograms,1972,
Korea (Rep. of),imports,bromine,Compounds,kilograms,1972,
Korea (Rep. of),imports,bromine,nan,kilograms,1972,
Malaysia,imports,bromine,Compounds,kilograms,1972,
Mexico,imports,bromine,nan,kilograms,1972,
Morocco,imports,bromine,Compounds,kilograms,1972,
Morocco,imports,bromine,nan,kilograms,1972,
Netherlands,imports,bromine,Compounds,kilograms,1972,
Netherlands,imports,bromine,nan,kilograms,1972,
Philippines,imports,bromine,Compounds,kilograms,1972,
Portugal,imports,bromine,Compounds,kilograms,1972,
Portugal,imports,bromine,nan,kilograms,1972,
Saudi Arabia,imports,bromine,nan,kilograms,1972,
South Africa,imports,bromine,Compounds,kilograms,1972,
South Africa,imports,bromine,nan,kilograms,1972,
Spain,imports,bromine,Compounds,kilograms,1972,
Spain,imports,bromine,nan,kilograms,1972,
Sweden,imports,bromine,Compounds,kilograms,1972,
Switzerland,imports,bromine,Compounds,kilograms,1972,
Syria,imports,bromine,Compounds,kilograms,1972,
Syria,imports,bromine,nan,kilograms,1972,
Taiwan,imports,bromine,Compounds,kilograms,1972,
Taiwan,imports,bromine,nan,kilograms,1972,
Thailand,imports,bromine,Compounds,kilograms,1972,
Thailand,imports,bromine,nan,kilograms,1972,
Tunisia,imports,bromine,Compounds,kilograms,1972,
Turkey,imports,bromine,Compounds,kilograms,1972,
Turkey,imports,bromine,nan,kilograms,1972,
USA,imports,bromine,Compounds,kilograms,1972,
USA,imports,bromine,nan,kilograms,1972,
United Kingdom,imports,bromine,Compounds,kilograms,1972,
United Kingdom,imports,bromine,nan,kilograms,1972,
Venezuela,imports,bromine,nan,kilograms,1972,
Yugoslavia,imports,bromine,Compounds,kilograms,1972,
Yugoslavia,imports,bromine,nan,kilograms,1972,
Zambia,imports,bromine,Compounds,kilograms,1972,
Zambia,imports,bromine,nan,kilograms,1972,
Canada,imports,bromine,nan,kilograms,1972,
Colombia,imports,bromine,nan,kilograms,1972,
Germany,imports,bromine,nan,kilograms,1972,
"Ireland, Republic of",imports,bromine,nan,kilograms,1972,
Israel,imports,bromine,nan,kilograms,1972,
Pakistan,imports,bromine,nan,kilograms,1972,
Peru,imports,bromine,nan,kilograms,1972,
Austria,imports,bromine,nan,kilograms,1972,
China,imports,bromine,nan,kilograms,1972,
Finland,imports,bromine,nan,kilograms,1972,
Poland,imports,bromine,nan,kilograms,1972,
Sweden,imports,bromine,nan,kilograms,1972,
Belgium,imports,bromine,nan,kilograms,1972,
Bulgaria,imports,bromine,nan,kilograms,1972,
Croatia,imports,bromine,nan,kilograms,1972,
Czech Republic,imports,bromine,nan,kilograms,1972,
Malta,imports,bromine,nan,kilograms,1972,
Romania,imports,bromine,nan,kilograms,1972,
Slovakia,imports,bromine,nan,kilograms,1972,
Latvia,imports,bromine,nan,kilograms,1972,
Lithuania,imports,bromine,nan,kilograms,1972,
Algeria,imports,bromine,Compounds,kilograms,1973,
Algeria,imports,bromine,nan,kilograms,1973,
Argentina,imports,bromine,Compounds,kilograms,1973,
Argentina,imports,bromine,nan,kilograms,1973,
Australia,imports,bromine,Compounds,kilograms,1973,
Belgium-Luxembourg,imports,bromine,Compounds,kilograms,1973,
Belgium-Luxembourg,imports,bromine,nan,kilograms,1973,
Brazil,imports,bromine,Compounds,kilograms,1973,
Brazil,imports,bromine,nan,kilograms,1973,
Denmark,imports,bromine,Compounds,kilograms,1973,
Denmark,imports,bromine,nan,kilograms,1973,
Finland,imports,bromine,Compounds,kilograms,1973,
France,imports,bromine,Compounds,kilograms,1973,
France,imports,bromine,nan,kilograms,1973,
German Federal Republic,imports,bromine,Compounds,kilograms,1973,
German Federal Republic,imports,bromine,nan,kilograms,1973,
Greece,imports,bromine,nan,kilograms,1973,
Hong Kong,imports,bromine,Compounds,kilograms,1973,
Hungary,imports,bromine,nan,kilograms,1973,
India,imports,bromine,Compounds,kilograms,1973,
India,imports,bromine,nan,kilograms,1973,
Iran,imports,bromine,Compounds,kilograms,1973,
Iran,imports,bromine,nan,kilograms,1973,
Italy,imports,bromine,Compounds,kilograms,1973,
Italy,imports,bromine,nan,kilograms,1973,
Ivory Coast,imports,bromine,Compounds,kilograms,1973,
Japan,imports,bromine,Compounds,kilograms,1973,
Japan,imports,bromine,nan,kilograms,1973,
Korea (Rep. of),imports,bromine,Compounds,kilograms,1973,
Korea (Rep. of),imports,bromine,nan,kilograms,1973,
Malaysia,imports,bromine,Compounds,kilograms,1973,
Mexico,imports,bromine,nan,kilograms,1973,
Morocco,imports,bromine,Compounds,kilograms,1973,
Morocco,imports,bromine,nan,kilograms,1973,
Netherlands,imports,bromine,Compounds,kilograms,1973,
Netherlands,imports,bromine,nan,kilograms,1973,
Philippines,imports,bromine,Compounds,kilograms,1973,
Portugal,imports,bromine,Compounds,kilograms,1973,
Portugal,imports,bromine,nan,kilograms,1973,
Saudi Arabia,imports,bromine,nan,kilograms,1973,
South Africa,imports,bromine,Compounds,kilograms,1973,
South Africa,imports,bromine,nan,kilograms,1973,
Spain,imports,bromine,Compounds,kilograms,1973,
Spain,imports,bromine,nan,kilograms,1973,
Sweden,imports,bromine,Compounds,kilograms,1973,
Switzerland,imports,bromine,Compounds,kilograms,1973,
Syria,imports,bromine,Compounds,kilograms,1973,
Syria,imports,bromine,nan,kilograms,1973,
Taiwan,imports,bromine,Compounds,kilograms,1973,
Taiwan,imports,bromine,nan,kilograms,1973,
Thailand,imports,bromine,Compounds,kilograms,1973,
Thailand,imports,bromine,nan,kilograms,1973,
Tunisia,imports,bromine,Compounds,kilograms,1973,
Turkey,imports,bromine,Compounds,kilograms,1973,
Turkey,imports,bromine,nan,kilograms,1973,
USA,imports,bromine,Compounds,kilograms,1973,
USA,imports,bromine,nan,kilograms,1973,
United Kingdom,imports,bromine,Compounds,kilograms,1973,
United Kingdom,imports,bromine,nan,kilograms,1973,
Venezuela,imports,bromine,nan,kilograms,1973,
Yugoslavia,imports,bromine,Compounds,kilograms,1973,
Yugoslavia,imports,bromine,nan,kilograms,1973,
Zambia,imports,bromine,Compounds,kilograms,1973,
Zambia,imports,bromine,nan,kilograms,1973,
Canada,imports,bromine,nan,kilograms,1973,
Colombia,imports,bromine,nan,kilograms,1973,
Germany,imports,bromine,nan,kilograms,1973,
"Ireland, Republic of",imports,bromine,nan,kilograms,1973,
Israel,imports,bromine,nan,kilograms,1973,
Pakistan,imports,bromine,nan,kilograms,1973,
Peru,imports,bromine,nan,kilograms,1973,
Austria,imports,bromine,nan,kilograms,1973,
China,imports,bromine,nan,kilograms,1973,
Finland,imports,bromine,nan,kilograms,1973,
Poland,imports,bromine,nan,kilograms,1973,
Sweden,imports,bromine,nan,kilograms,1973,
Belgium,imports,bromine,nan,kilograms,1973,
Bulgaria,imports,bromine,nan,kilograms,1973,
Croatia,imports,bromine,nan,kilograms,1973,
Czech Republic,imports,bromine,nan,kilograms,1973,
Malta,imports,bromine,nan,kilograms,1973,
Romania,imports,bromine,nan,kilograms,1973,
Slovakia,imports,bromine,nan,kilograms,1973,
Latvia,imports,bromine,nan,kilograms,1973,
Lithuania,imports,bromine,nan,kilograms,1973,
Algeria,imports,bromine,Compounds,kilograms,1974,1181.0
Algeria,imports,bromine,nan,kilograms,1974,744.0
Argentina,imports,bromine,Compounds,kilograms,1974,488486.0
Argentina,imports,bromine,nan,kilograms,1974,99963.0
Australia,imports,bromine,Compounds,kilograms,1974,223470.0
Belgium-Luxembourg,imports,bromine,Compounds,kilograms,1974,705500.0
Belgium-Luxembourg,imports,bromine,nan,kilograms,1974,79100.0
Brazil,imports,bromine,Compounds,kilograms,1974,100719.0
Brazil,imports,bromine,nan,kilograms,1974,34598.0
Denmark,imports,bromine,Compounds,kilograms,1974,22200.0
Denmark,imports,bromine,nan,kilograms,1974,123000.0
Finland,imports,bromine,Compounds,kilograms,1974,4100.0
France,imports,bromine,Compounds,kilograms,1974,493000.0
France,imports,bromine,nan,kilograms,1974,292000.0
German Federal Republic,imports,bromine,Compounds,kilograms,1974,28075600.0
German Federal Republic,imports,bromine,nan,kilograms,1974,1625200.0
Greece,imports,bromine,nan,kilograms,1974,1000.0
Hong Kong,imports,bromine,Compounds,kilograms,1974,71377.0
Hungary,imports,bromine,nan,kilograms,1974,
India,imports,bromine,Compounds,kilograms,1974,6946.0
India,imports,bromine,nan,kilograms,1974,0.0
Iran,imports,bromine,Compounds,kilograms,1974,20886.0
Iran,imports,bromine,nan,kilograms,1974,287633.0
Italy,imports,bromine,Compounds,kilograms,1974,234725.0
Italy,imports,bromine,nan,kilograms,1974,1051199.0
Ivory Coast,imports,bromine,Compounds,kilograms,1974,241.0
Japan,imports,bromine,Compounds,kilograms,1974,463748.0
Japan,imports,bromine,nan,kilograms,1974,194680.0
Korea (Rep. of),imports,bromine,Compounds,kilograms,1974,30262.0
Korea (Rep. of),imports,bromine,nan,kilograms,1974,317.0
Malaysia,imports,bromine,Compounds,kilograms,1974,22903.0
Mexico,imports,bromine,nan,kilograms,1974,
Morocco,imports,bromine,Compounds,kilograms,1974,3810.0
Morocco,imports,bromine,nan,kilograms,1974,51.0
Netherlands,imports,bromine,Compounds,kilograms,1974,138000.0
Netherlands,imports,bromine,nan,kilograms,1974,1201000.0
Philippines,imports,bromine,Compounds,kilograms,1974,479929.0
Portugal,imports,bromine,Compounds,kilograms,1974,7900.0
Portugal,imports,bromine,nan,kilograms,1974,1000.0
Saudi Arabia,imports,bromine,nan,kilograms,1974,
South Africa,imports,bromine,Compounds,kilograms,1974,136000.0
South Africa,imports,bromine,nan,kilograms,1974,32100.0
Spain,imports,bromine,Compounds,kilograms,1974,92000.0
Spain,imports,bromine,nan,kilograms,1974,15000.0
Sweden,imports,bromine,Compounds,kilograms,1974,210000.0
Switzerland,imports,bromine,Compounds,kilograms,1974,150611.0
Syria,imports,bromine,Compounds,kilograms,1974,740.0
Syria,imports,bromine,nan,kilograms,1974,116.0
Taiwan,imports,bromine,Compounds,kilograms,1974,69768.0
Taiwan,imports,bromine,nan,kilograms,1974,72.0
Thailand,imports,bromine,Compounds,kilograms,1974,51663.0
Thailand,imports,bromine,nan,kilograms,1974,1.0
Tunisia,imports,bromine,Compounds,kilograms,1974,2403.0
Turkey,imports,bromine,Compounds,kilograms,1974,10660.0
Turkey,imports,bromine,nan,kilograms,1974,379.0
USA,imports,bromine,Compounds,kilograms,1974,10000.0
USA,imports,bromine,nan,kilograms,1974,
United Kingdom,imports,bromine,Compounds,kilograms,1974,862770.0
United Kingdom,imports,bromine,nan,kilograms,1974,1311854.0
Venezuela,imports,bromine,nan,kilograms,1974,
Yugoslavia,imports,bromine,Compounds,kilograms,1974,8445.0
Yugoslavia,imports,bromine,nan,kilograms,1974,6213.0
Zambia,imports,bromine,Compounds,kilograms,1974,33529.0
Zambia,imports,bromine,nan,kilograms,1974,61167.0
Canada,imports,bromine,nan,kilograms,1974,
Colombia,imports,bromine,nan,kilograms,1974,
Germany,imports,bromine,nan,kilograms,1974,
"Ireland, Republic of",imports,bromine,nan,kilograms,1974,
Israel,imports,bromine,nan,kilograms,1974,
Pakistan,imports,bromine,nan,kilograms,1974,
Peru,imports,bromine,nan,kilograms,1974,
Austria,imports,bromine,nan,kilograms,1974,
China,imports,bromine,nan,kilograms,1974,
Finland,imports,bromine,nan,kilograms,1974,
Poland,imports,bromine,nan,kilograms,1974,
Sweden,imports,bromine,nan,kilograms,1974,
Belgium,imports,bromine,nan,kilograms,1974,
Bulgaria,imports,bromine,nan,kilograms,1974,
Croatia,imports,bromine,nan,kilograms,1974,
Czech Republic,imports,bromine,nan,kilograms,1974,
Malta,imports,bromine,nan,kilograms,1974,
Romania,imports,bromine,nan,kilograms,1974,
Slovakia,imports,bromine,nan,kilograms,1974,
Latvia,imports,bromine,nan,kilograms,1974,
Lithuania,imports,bromine,nan,kilograms,1974,
Algeria,imports,bromine,Compounds,kilograms,1975,
Algeria,imports,bromine,nan,kilograms,1975,11080.0
Argentina,imports,bromine,Compounds,kilograms,1975,
Argentina,imports,bromine,nan,kilograms,1975,83571.0
Australia,imports,bromine,Compounds,kilograms,1975,
Belgium-Luxembourg,imports,bromine,Compounds,kilograms,1975,
Belgium-Luxembourg,imports,bromine,nan,kilograms,1975,46100.0
Brazil,imports,bromine,Compounds,kilograms,1975,
Brazil,imports,bromine,nan,kilograms,1975,86735.0
Denmark,imports,bromine,Compounds,kilograms,1975,
Denmark,imports,bromine,nan,kilograms,1975,163000.0
Finland,imports,bromine,Compounds,kilograms,1975,
France,imports,bromine,Compounds,kilograms,1975,
France,imports,bromine,nan,kilograms,1975,673000.0
German Federal Republic,imports,bromine,Compounds,kilograms,1975,
German Federal Republic,imports,bromine,nan,kilograms,1975,1805300.0
Greece,imports,bromine,nan,kilograms,1975,2000.0
Hong Kong,imports,bromine,Compounds,kilograms,1975,
Hungary,imports,bromine,nan,kilograms,1975,
India,imports,bromine,Compounds,kilograms,1975,
India,imports,bromine,nan,kilograms,1975,4368.0
Iran,imports,bromine,Compounds,kilograms,1975,
Iran,imports,bromine,nan,kilograms,1975,2693908.0
Italy,imports,bromine,Compounds,kilograms,1975,
Italy,imports,bromine,nan,kilograms,1975,1117800.0
Ivory Coast,imports,bromine,Compounds,kilograms,1975,
Japan,imports,bromine,Compounds,kilograms,1975,
Japan,imports,bromine,nan,kilograms,1975,7000.0
Korea (Rep. of),imports,bromine,Compounds,kilograms,1975,
Korea (Rep. of),imports,bromine,nan,kilograms,1975,824.0
Malaysia,imports,bromine,Compounds,kilograms,1975,
Mexico,imports,bromine,nan,kilograms,1975,
Morocco,imports,bromine,Compounds,kilograms,1975,
Morocco,imports,bromine,nan,kilograms,1975,277.0
Netherlands,imports,bromine,Compounds,kilograms,1975,
Netherlands,imports,bromine,nan,kilograms,1975,764000.0
Philippines,imports,bromine,Compounds,kilograms,1975,
Portugal,imports,bromine,Compounds,kilograms,1975,
Portugal,imports,bromine,nan,kilograms,1975,200.0
Saudi Arabia,imports,bromine,nan,kilograms,1975,
South Africa,imports,bromine,Compounds,kilograms,1975,
South Africa,imports,bromine,nan,kilograms,1975,6100.0
Spain,imports,bromine,Compounds,kilograms,1975,
Spain,imports,bromine,nan,kilograms,1975,20000.0
Sweden,imports,bromine,Compounds,kilograms,1975,
Switzerland,imports,bromine,Compounds,kilograms,1975,
Syria,imports,bromine,Compounds,kilograms,1975,
Syria,imports,bromine,nan,kilograms,1975,170.0
Taiwan,imports,bromine,Compounds,kilograms,1975,
Taiwan,imports,bromine,nan,kilograms,1975,255.0
Thailand,imports,bromine,Compounds,kilograms,1975,
Thailand,imports,bromine,nan,kilograms,1975,2.0
Tunisia,imports,bromine,Compounds,kilograms,1975,
Turkey,imports,bromine,Compounds,kilograms,1975,
Turkey,imports,bromine,nan,kilograms,1975,359.0
USA,imports,bromine,Compounds,kilograms,1975,
USA,imports,bromine,nan,kilograms,1975,
United Kingdom,imports,bromine,Compounds,kilograms,1975,
United Kingdom,imports,bromine,nan,kilograms,1975,2066617.0
Venezuela,imports,bromine,nan,kilograms,1975,
Yugoslavia,imports,bromine,Compounds,kilograms,1975,
Yugoslavia,imports,bromine,nan,kilograms,1975,6030.0
