Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,imports,cadmium,nan,tonnes (metric),1970,
Austria,imports,cadmium,nan,tonnes (metric),1970,15.0
Belgium-Luxembourg,imports,cadmium,nan,tonnes (metric),1970,719.0
Brazil,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Brazil,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Brazil,imports,cadmium,nan,tonnes (metric),1970,56.0
Czechoslovakia,imports,cadmium,nan,tonnes (metric),1970,
Denmark,imports,cadmium,nan,tonnes (metric),1970,23.0
France,imports,cadmium,Metal                                             ,tonnes (metric),1970,
France,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,20.0
France,imports,cadmium,nan,tonnes (metric),1970,606.0
German Federal Republic,imports,cadmium,Metal                                             ,tonnes (metric),1970,
German Federal Republic,imports,cadmium,Oxide                                             ,tonnes (metric),1970,210.0
German Federal Republic,imports,cadmium,nan,tonnes (metric),1970,1224.0
India,imports,cadmium,nan,tonnes (metric),1970,2.0
Italy,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Italy,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,26.0
Italy,imports,cadmium,nan,tonnes (metric),1970,40.0
Netherlands,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Netherlands,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Netherlands,imports,cadmium,nan,tonnes (metric),1970,147.0
Soviet Union,imports,cadmium,nan,tonnes (metric),1970,310.0
Spain,imports,cadmium,nan,tonnes (metric),1970,5.0
Sweden,imports,cadmium,nan,tonnes (metric),1970,161.0
Turkey,imports,cadmium,nan,tonnes (metric),1970,
USA,imports,cadmium,Metal                                             ,tonnes (metric),1970,
USA,imports,cadmium,Other,tonnes (metric),1970,504.0
USA,imports,cadmium,nan,tonnes (metric),1970,1131.0
United Kingdom,imports,cadmium,nan,tonnes (metric),1970,1179.0
Yugoslavia,imports,cadmium,nan,tonnes (metric),1970,3.0
Belgium-Luxembourg,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
China,imports,cadmium,nan,tonnes (metric),1970,
Denmark,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Finland,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Finland,imports,cadmium,nan,tonnes (metric),1970,
German Democratic Rep,imports,cadmium,nan,tonnes (metric),1970,
German Federal Republic,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Germany,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Germany,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Japan,imports,cadmium,nan,tonnes (metric),1970,
Korea (Rep. of),imports,cadmium,nan,tonnes (metric),1970,
Pakistan,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Taiwan,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Taiwan,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Austria,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Austria,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Austria,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Belgium-Luxembourg,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Canada,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
China,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Czech Republic,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
France,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Germany,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Hong Kong,imports,cadmium,Metal                                             ,tonnes (metric),1970,
India,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Indonesia,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Iran,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Italy,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Japan,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Korea (Rep. of),imports,cadmium,Metal                                             ,tonnes (metric),1970,
Malawi,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Poland,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Poland,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Russia,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Singapore,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Spain,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Spain,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Sweden,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Sweden,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Switzerland,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Turkey,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Turkey,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
USA,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
United Kingdom,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Argentina,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Australia,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Australia,imports,cadmium,Sulphide                                          ,tonnes (metric),1970,
Belgium,imports,cadmium,Metal                                             ,tonnes (metric),1970,
Belgium,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Czech Republic,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
Greece,imports,cadmium,Metal                                             ,tonnes (metric),1970,
United Kingdom,imports,cadmium,Oxide                                             ,tonnes (metric),1970,
"Yemen, Republic of",imports,cadmium,Metal                                             ,tonnes (metric),1970,
Australia,imports,cadmium,nan,tonnes (metric),1971,
Austria,imports,cadmium,nan,tonnes (metric),1971,6.0
Belgium-Luxembourg,imports,cadmium,nan,tonnes (metric),1971,903.0
Brazil,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Brazil,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Brazil,imports,cadmium,nan,tonnes (metric),1971,89.0
Czechoslovakia,imports,cadmium,nan,tonnes (metric),1971,
Denmark,imports,cadmium,nan,tonnes (metric),1971,7.0
France,imports,cadmium,Metal                                             ,tonnes (metric),1971,
France,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,11.0
France,imports,cadmium,nan,tonnes (metric),1971,488.0
German Federal Republic,imports,cadmium,Metal                                             ,tonnes (metric),1971,
German Federal Republic,imports,cadmium,Oxide                                             ,tonnes (metric),1971,231.0
German Federal Republic,imports,cadmium,nan,tonnes (metric),1971,961.0
India,imports,cadmium,nan,tonnes (metric),1971,222.0
Italy,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Italy,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,35.0
Italy,imports,cadmium,nan,tonnes (metric),1971,29.0
Netherlands,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Netherlands,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Netherlands,imports,cadmium,nan,tonnes (metric),1971,100.0
Soviet Union,imports,cadmium,nan,tonnes (metric),1971,229.0
Spain,imports,cadmium,nan,tonnes (metric),1971,7.0
Sweden,imports,cadmium,nan,tonnes (metric),1971,224.0
Turkey,imports,cadmium,nan,tonnes (metric),1971,
USA,imports,cadmium,Metal                                             ,tonnes (metric),1971,
USA,imports,cadmium,Other,tonnes (metric),1971,504.0
USA,imports,cadmium,nan,tonnes (metric),1971,1587.0
United Kingdom,imports,cadmium,nan,tonnes (metric),1971,864.0
Yugoslavia,imports,cadmium,nan,tonnes (metric),1971,61.0
Belgium-Luxembourg,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Belgium-Luxembourg,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
China,imports,cadmium,nan,tonnes (metric),1971,
Denmark,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Finland,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Finland,imports,cadmium,nan,tonnes (metric),1971,
German Democratic Rep,imports,cadmium,nan,tonnes (metric),1971,
German Federal Republic,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Germany,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Germany,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Japan,imports,cadmium,nan,tonnes (metric),1971,
Korea (Rep. of),imports,cadmium,nan,tonnes (metric),1971,
Pakistan,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Taiwan,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Taiwan,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Austria,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Austria,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Austria,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Belgium-Luxembourg,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Canada,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
China,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Czech Republic,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
France,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Germany,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Hong Kong,imports,cadmium,Metal                                             ,tonnes (metric),1971,
India,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Indonesia,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Iran,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Italy,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Japan,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Korea (Rep. of),imports,cadmium,Metal                                             ,tonnes (metric),1971,
Malawi,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Poland,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Poland,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Russia,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Singapore,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Spain,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Spain,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Sweden,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Sweden,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Switzerland,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Turkey,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Turkey,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
USA,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
United Kingdom,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Argentina,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Australia,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Australia,imports,cadmium,Sulphide                                          ,tonnes (metric),1971,
Belgium,imports,cadmium,Metal                                             ,tonnes (metric),1971,
Belgium,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Czech Republic,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
Greece,imports,cadmium,Metal                                             ,tonnes (metric),1971,
United Kingdom,imports,cadmium,Oxide                                             ,tonnes (metric),1971,
"Yemen, Republic of",imports,cadmium,Metal                                             ,tonnes (metric),1971,
Australia,imports,cadmium,nan,tonnes (metric),1972,70.0
Austria,imports,cadmium,nan,tonnes (metric),1972,6.0
Belgium-Luxembourg,imports,cadmium,nan,tonnes (metric),1972,1070.0
Brazil,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Brazil,imports,cadmium,Oxide                                             ,tonnes (metric),1972,
Brazil,imports,cadmium,nan,tonnes (metric),1972,101.0
Czechoslovakia,imports,cadmium,nan,tonnes (metric),1972,
Denmark,imports,cadmium,nan,tonnes (metric),1972,8.0
France,imports,cadmium,Metal                                             ,tonnes (metric),1972,
France,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,33.0
France,imports,cadmium,nan,tonnes (metric),1972,569.0
German Federal Republic,imports,cadmium,Metal                                             ,tonnes (metric),1972,
German Federal Republic,imports,cadmium,Oxide                                             ,tonnes (metric),1972,341.0
German Federal Republic,imports,cadmium,nan,tonnes (metric),1972,1260.0
India,imports,cadmium,nan,tonnes (metric),1972,227.0
Italy,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Italy,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,34.0
Italy,imports,cadmium,nan,tonnes (metric),1972,33.0
Netherlands,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Netherlands,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Netherlands,imports,cadmium,nan,tonnes (metric),1972,130.0
Soviet Union,imports,cadmium,nan,tonnes (metric),1972,233.0
Spain,imports,cadmium,nan,tonnes (metric),1972,1.0
Sweden,imports,cadmium,nan,tonnes (metric),1972,168.0
Turkey,imports,cadmium,nan,tonnes (metric),1972,
USA,imports,cadmium,Metal                                             ,tonnes (metric),1972,
USA,imports,cadmium,Other,tonnes (metric),1972,336.0
USA,imports,cadmium,nan,tonnes (metric),1972,1099.0
United Kingdom,imports,cadmium,nan,tonnes (metric),1972,1378.0
Yugoslavia,imports,cadmium,nan,tonnes (metric),1972,2.0
Belgium-Luxembourg,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Belgium-Luxembourg,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
China,imports,cadmium,nan,tonnes (metric),1972,
Denmark,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Finland,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Finland,imports,cadmium,nan,tonnes (metric),1972,
German Democratic Rep,imports,cadmium,nan,tonnes (metric),1972,
German Federal Republic,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Germany,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Germany,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Japan,imports,cadmium,nan,tonnes (metric),1972,
Korea (Rep. of),imports,cadmium,nan,tonnes (metric),1972,
Pakistan,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Taiwan,imports,cadmium,Oxide                                             ,tonnes (metric),1972,
Taiwan,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Austria,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Austria,imports,cadmium,Oxide                                             ,tonnes (metric),1972,
Austria,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
Belgium-Luxembourg,imports,cadmium,Oxide                                             ,tonnes (metric),1972,
Canada,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
China,imports,cadmium,Metal                                             ,tonnes (metric),1972,
Czech Republic,imports,cadmium,Sulphide                                          ,tonnes (metric),1972,
