Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,imports,cobalt,nan,tonnes (metric),1970,59.0
Australia,imports,cobalt,Metal & refined,tonnes (metric),1970,96.0
Australia,imports,cobalt,Oxides                                            ,tonnes (metric),1970,25.0
Austria,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Belgium-Luxembourg,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Brazil,imports,cobalt,Metal & refined,tonnes (metric),1970,
Brazil,imports,cobalt,Oxides,tonnes (metric),1970,
Brazil,imports,cobalt,Oxides                                            ,tonnes (metric),1970,56.0
Brazil,imports,cobalt,nan,tonnes (metric),1970,148.0
Denmark,imports,cobalt,Metal & refined,tonnes (metric),1970,
Denmark,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Denmark,imports,cobalt,nan,tonnes (metric),1970,22.0
Finland,imports,cobalt,Metal & refined,tonnes (metric),1970,
Finland,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Finland,imports,cobalt,nan,tonnes (metric),1970,
France,imports,cobalt,Metal & refined,tonnes (metric),1970,983.0
France,imports,cobalt,Ore                                               ,tonnes (metric),1970,7671.0
France,imports,cobalt,Oxides                                            ,tonnes (metric),1970,290.0
German Democratic Rep,imports,cobalt,Metal & refined,tonnes (metric),1970,
German Federal Republic,imports,cobalt,Metal & refined,tonnes (metric),1970,
German Federal Republic,imports,cobalt,Oxides                                            ,tonnes (metric),1970,471.0
German Federal Republic,imports,cobalt,nan,tonnes (metric),1970,1487.0
Hong Kong,imports,cobalt,Oxides,tonnes (metric),1970,
Hong Kong,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
India,imports,cobalt,Metal & refined,tonnes (metric),1970,
India,imports,cobalt,Oxides                                            ,tonnes (metric),1970,11.0
India,imports,cobalt,nan,tonnes (metric),1970,144.0
Indonesia,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Iran,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Italy,imports,cobalt,Metal & refined,tonnes (metric),1970,
Italy,imports,cobalt,Oxides                                            ,tonnes (metric),1970,299.0
Italy,imports,cobalt,nan,tonnes (metric),1970,337.0
Japan,imports,cobalt,Metal & refined,tonnes (metric),1970,
Japan,imports,cobalt,Oxides                                            ,tonnes (metric),1970,609.0
Japan,imports,cobalt,nan,tonnes (metric),1970,4638.0
Korea (Rep. of),imports,cobalt,Metal & refined,tonnes (metric),1970,
Korea (Rep. of),imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Mexico,imports,cobalt,Metal & refined,tonnes (metric),1970,
Mexico,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Netherlands,imports,cobalt,Metal & refined,tonnes (metric),1970,
Netherlands,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Netherlands,imports,cobalt,nan,tonnes (metric),1970,372.0
Norway,imports,cobalt,Metal & refined,tonnes (metric),1970,
Norway,imports,cobalt,Oxides                                            ,tonnes (metric),1970,
Norway,imports,cobalt,nan,tonnes (metric),1970,
