Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,diamond,Industrial                                        ,Carats,1970,
Argentina,imports,diamond,Dust                                              ,Carats,1970,
Argentina,imports,diamond,Industrial                                        ,Carats,1970,215000.0
Australia,imports,diamond,Gem                                               ,Carats,1970,39996.0
Australia,imports,diamond,Industrial                                        ,Carats,1970,916195.0
Austria,imports,diamond,Industrial                                        ,Carats,1970,
Austria,imports,diamond,Other                                             ,Carats,1970,
Belgium-Luxembourg,imports,diamond,Cut                                               ,Carats,1970,1184162.0
Belgium-Luxembourg,imports,diamond,Industrial                                        ,Carats,1970,8216925.0
Belgium-Luxembourg,imports,diamond,Rough                                             ,Carats,1970,8612218.0
Brazil,imports,diamond,Cut                                               ,Carats,1970,
Brazil,imports,diamond,Dust                                              ,Carats,1970,
Brazil,imports,diamond,Industrial                                        ,Carats,1970,
Brazil,imports,diamond,Rough                                             ,Carats,1970,
Canada,imports,diamond,Cut                                               ,Carats,1970,63873.0
Canada,imports,diamond,Dust                                              ,Carats,1970,
Canada,imports,diamond,Industrial                                        ,Carats,1970,535930.0
China,imports,diamond,Gem                                               ,Carats,1970,
China,imports,diamond,Industrial                                        ,Carats,1970,
China,imports,diamond,Other                                             ,Carats,1970,
Colombia,imports,diamond,Industrial                                        ,Carats,1970,200000.0
Costa Rica,imports,diamond,Industrial                                        ,Carats,1970,
Czechoslovakia,imports,diamond,Gem                                               ,Carats,1970,
Czechoslovakia,imports,diamond,Industrial                                        ,Carats,1970,
El Salvador,imports,diamond,Industrial                                        ,Carats,1970,
Finland,imports,diamond,Industrial                                        ,Carats,1970,
Finland,imports,diamond,Other                                             ,Carats,1970,
France,imports,diamond,Cut                                               ,Carats,1970,109805.0
France,imports,diamond,Dust                                              ,Carats,1970,
France,imports,diamond,Industrial                                        ,Carats,1970,724325.0
France,imports,diamond,Rough                                             ,Carats,1970,184020.0
German Federal Republic,imports,diamond,Cut                                               ,Carats,1970,
German Federal Republic,imports,diamond,Industrial                                        ,Carats,1970,
German Federal Republic,imports,diamond,Other                                             ,Carats,1970,
German Federal Republic,imports,diamond,Rough                                             ,Carats,1970,
Honduras,imports,diamond,Industrial                                        ,Carats,1970,
Hong Kong,imports,diamond,Cut                                               ,Carats,1970,
Hong Kong,imports,diamond,Gem                                               ,Carats,1970,424489.0
Hong Kong,imports,diamond,Industrial                                        ,Carats,1970,97597.0
Hong Kong,imports,diamond,Rough                                             ,Carats,1970,
India,imports,diamond,Gem                                               ,Carats,1970,
India,imports,diamond,Industrial                                        ,Carats,1970,270000.0
India,imports,diamond,Rough                                             ,Carats,1970,
Indonesia,imports,diamond,Industrial                                        ,Carats,1970,
Iraq,imports,diamond,Cut                                               ,Carats,1970,
"Ireland, Republic of",imports,diamond,Industrial                                        ,Carats,1970,
Israel,imports,diamond,Cut                                               ,Carats,1970,
Israel,imports,diamond,Industrial                                        ,Carats,1970,404000.0
Israel,imports,diamond,Other                                             ,Carats,1970,678000.0
Israel,imports,diamond,Rough                                             ,Carats,1970,3207000.0
Italy,imports,diamond,Industrial                                        ,Carats,1970,
Italy,imports,diamond,Other                                             ,Carats,1970,
Japan,imports,diamond,Cut                                               ,Carats,1970,254230.0
Japan,imports,diamond,Dust                                              ,Carats,1970,
