Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,feldspar,nan,tonnes (metric),1970,
Australia,imports,feldspar,nan,tonnes (metric),1970,4466.0
Austria,imports,feldspar,nan,tonnes (metric),1970,7902.0
Belgium-Luxembourg,imports,feldspar,nan,tonnes (metric),1970,56908.0
Costa Rica,imports,feldspar,nan,tonnes (metric),1970,
Denmark,imports,feldspar,nan,tonnes (metric),1970,10933.0
Egypt,imports,feldspar,nan,tonnes (metric),1970,
Finland,imports,feldspar,nan,tonnes (metric),1970,754.0
France,imports,feldspar,nan,tonnes (metric),1970,31336.0
German Democratic Rep,imports,feldspar,nan,tonnes (metric),1970,
German Federal Republic,imports,feldspar,nan,tonnes (metric),1970,81560.0
Greece,imports,feldspar,nan,tonnes (metric),1970,3290.0
Hong Kong,imports,feldspar,nan,tonnes (metric),1970,
Indonesia,imports,feldspar,nan,tonnes (metric),1970,
Iran,imports,feldspar,nan,tonnes (metric),1970,
Israel,imports,feldspar,nan,tonnes (metric),1970,2644.0
Italy,imports,feldspar,nan,tonnes (metric),1970,19270.0
Japan,imports,feldspar,nan,tonnes (metric),1970,3883.0
Jordan,imports,feldspar,nan,tonnes (metric),1970,
Malaysia,imports,feldspar,nan,tonnes (metric),1970,
Mexico,imports,feldspar,nan,tonnes (metric),1970,1019.0
Morocco,imports,feldspar,nan,tonnes (metric),1970,113.0
Netherlands,imports,feldspar,nan,tonnes (metric),1970,29866.0
New Zealand,imports,feldspar,nan,tonnes (metric),1970,1893.0
Philippines,imports,feldspar,nan,tonnes (metric),1970,2270.0
Poland,imports,feldspar,nan,tonnes (metric),1970,13415.0
Portugal,imports,feldspar,nan,tonnes (metric),1970,
Singapore,imports,feldspar,nan,tonnes (metric),1970,4026.0
South Africa,imports,feldspar,nan,tonnes (metric),1970,
Spain,imports,feldspar,nan,tonnes (metric),1970,3830.0
Sweden,imports,feldspar,nan,tonnes (metric),1970,7853.0
Switzerland,imports,feldspar,nan,tonnes (metric),1970,15719.0
Taiwan,imports,feldspar,nan,tonnes (metric),1970,
Thailand,imports,feldspar,nan,tonnes (metric),1970,1455.0
Trinidad & Tobago,imports,feldspar,nan,tonnes (metric),1970,
Tunisia,imports,feldspar,nan,tonnes (metric),1970,
Turkey,imports,feldspar,nan,tonnes (metric),1970,33.0
USA,imports,feldspar,nan,tonnes (metric),1970,3528.0
United Kingdom,imports,feldspar,nan,tonnes (metric),1970,103911.0
