Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,gold,Metal,kilograms,1970,
Argentina,imports,gold,Metal,kilograms,1970,
Australia,imports,gold,Metal,kilograms,1970,6104.0
Austria,imports,gold,Metal,kilograms,1970,28390.0
Belgium-Luxembourg,imports,gold,Metal,kilograms,1970,17999.0
Bermuda,imports,gold,Metal,kilograms,1970,
Brazil,imports,gold,Metal,kilograms,1970,3981.0
Brunei,imports,gold,Metal,kilograms,1970,963.0
Canada,imports,gold,Metal,kilograms,1970,3878.0
Canada,imports,gold,Ores & concentrates,kilograms,1970,
Chile,imports,gold,Ores & concentrates,kilograms,1970,
Cyprus,imports,gold,Metal,kilograms,1970,545.0
Denmark,imports,gold,Metal,kilograms,1970,
Ecuador,imports,gold,Metal,kilograms,1970,
Finland,imports,gold,Metal,kilograms,1970,1154.0
France,imports,gold,Metal,kilograms,1970,
France,imports,gold,Waste & scrap,kilograms,1970,
German Federal Republic,imports,gold,Metal,kilograms,1970,107605.0
German Federal Republic,imports,gold,Waste & scrap,kilograms,1970,
Hong Kong,imports,gold,Metal,kilograms,1970,27321.0
Indonesia,imports,gold,Metal,kilograms,1970,
Iran,imports,gold,Metal,kilograms,1970,
"Ireland, Republic of",imports,gold,Metal,kilograms,1970,1100.0
Italy,imports,gold,Metal,kilograms,1970,164273.0
Ivory Coast,imports,gold,Metal,kilograms,1970,
Japan,imports,gold,Metal,kilograms,1970,
Japan,imports,gold,Waste & scrap,kilograms,1970,
Kenya,imports,gold,Metal,kilograms,1970,184.0
Korea (Rep. of),imports,gold,Metal,kilograms,1970,
Lebanon,imports,gold,Metal,kilograms,1970,105099.0
Madagascar,imports,gold,Metal,kilograms,1970,
Malaysia,imports,gold,Metal,kilograms,1970,140.0
Malta,imports,gold,Metal,kilograms,1970,467.0
Morocco,imports,gold,Metal,kilograms,1970,
Netherlands,imports,gold,Metal,kilograms,1970,1220.0
Netherlands,imports,gold,Waste & scrap,kilograms,1970,
New Zealand,imports,gold,Metal,kilograms,1970,
Norway,imports,gold,Metal,kilograms,1970,1379.0
Norway,imports,gold,Waste & scrap,kilograms,1970,
Portugal,imports,gold,Metal,kilograms,1970,
Saudi Arabia,imports,gold,Metal,kilograms,1970,
South Africa,imports,gold,Metal,kilograms,1970,
South Africa,imports,gold,Waste & scrap,kilograms,1970,
Spain,imports,gold,Metal,kilograms,1970,
Suriname,imports,gold,Metal,kilograms,1970,
Sweden,imports,gold,Metal,kilograms,1970,1447.0
