Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,graphite,nan,tonnes (metric),1970,
Argentina,imports,graphite,nan,tonnes (metric),1970,433.0
Australia,imports,graphite,nan,tonnes (metric),1970,1504.0
Austria,imports,graphite,nan,tonnes (metric),1970,1775.0
Belgium-Luxembourg,imports,graphite,nan,tonnes (metric),1970,719.0
Brazil,imports,graphite,nan,tonnes (metric),1970,191.0
Burma,imports,graphite,nan,tonnes (metric),1970,96.0
Chile,imports,graphite,nan,tonnes (metric),1970,165.0
Colombia,imports,graphite,nan,tonnes (metric),1970,79.0
Denmark,imports,graphite,nan,tonnes (metric),1970,228.0
Egypt,imports,graphite,nan,tonnes (metric),1970,
Ethiopia,imports,graphite,nan,tonnes (metric),1970,
Finland,imports,graphite,nan,tonnes (metric),1970,628.0
France,imports,graphite,nan,tonnes (metric),1970,6789.0
German Democratic Rep,imports,graphite,nan,tonnes (metric),1970,4927.0
German Federal Republic,imports,graphite,nan,tonnes (metric),1970,26982.0
Greece,imports,graphite,nan,tonnes (metric),1970,259.0
Hong Kong,imports,graphite,nan,tonnes (metric),1970,167.0
Hungary,imports,graphite,nan,tonnes (metric),1970,
India,imports,graphite,nan,tonnes (metric),1970,1230.0
Indonesia,imports,graphite,nan,tonnes (metric),1970,
Iran,imports,graphite,nan,tonnes (metric),1970,151.0
Israel,imports,graphite,nan,tonnes (metric),1970,48.0
Italy,imports,graphite,nan,tonnes (metric),1970,14041.0
Japan,imports,graphite,nan,tonnes (metric),1970,76820.0
Lebanon,imports,graphite,nan,tonnes (metric),1970,69.0
Malaysia,imports,graphite,nan,tonnes (metric),1970,100.0
Mexico,imports,graphite,nan,tonnes (metric),1970,215.0
Morocco,imports,graphite,nan,tonnes (metric),1970,17.0
Mozambique,imports,graphite,nan,tonnes (metric),1970,5.0
Netherlands,imports,graphite,nan,tonnes (metric),1970,311.0
New Zealand,imports,graphite,nan,tonnes (metric),1970,118.0
Norway,imports,graphite,nan,tonnes (metric),1970,395.0
Pakistan,imports,graphite,nan,tonnes (metric),1970,
Philippines,imports,graphite,nan,tonnes (metric),1970,44.0
Poland,imports,graphite,nan,tonnes (metric),1970,11620.0
Portugal,imports,graphite,nan,tonnes (metric),1970,163.0
Singapore,imports,graphite,nan,tonnes (metric),1970,
South Africa,imports,graphite,nan,tonnes (metric),1970,326.0
Spain,imports,graphite,nan,tonnes (metric),1970,1263.0
Sudan,imports,graphite,nan,tonnes (metric),1970,0.0
Sweden,imports,graphite,nan,tonnes (metric),1970,1271.0
Switzerland,imports,graphite,nan,tonnes (metric),1970,399.0
Taiwan,imports,graphite,nan,tonnes (metric),1970,3811.0
Thailand,imports,graphite,nan,tonnes (metric),1970,774.0
Turkey,imports,graphite,nan,tonnes (metric),1970,413.0
USA,imports,graphite,nan,tonnes (metric),1970,60181.0
United Kingdom,imports,graphite,nan,tonnes (metric),1970,11964.0
Uruguay,imports,graphite,nan,tonnes (metric),1970,6.0
Venezuela,imports,graphite,nan,tonnes (metric),1970,102.0
Yugoslavia,imports,graphite,nan,tonnes (metric),1970,1788.0
Bulgaria,imports,graphite,nan,tonnes (metric),1970,
Canada,imports,graphite,nan,tonnes (metric),1970,
Czechoslovakia,imports,graphite,nan,tonnes (metric),1970,
Germany,imports,graphite,nan,tonnes (metric),1970,
Korea (Rep. of),imports,graphite,nan,tonnes (metric),1970,
Kuwait,imports,graphite,nan,tonnes (metric),1970,
Mauritius,imports,graphite,nan,tonnes (metric),1970,
Belarus,imports,graphite,nan,tonnes (metric),1970,
China,imports,graphite,nan,tonnes (metric),1970,
Czech Republic,imports,graphite,nan,tonnes (metric),1970,
"Ireland, Republic of",imports,graphite,nan,tonnes (metric),1970,
Russia,imports,graphite,nan,tonnes (metric),1970,
Saudi Arabia,imports,graphite,nan,tonnes (metric),1970,
Serbia and Montenegro,imports,graphite,nan,tonnes (metric),1970,
Slovakia,imports,graphite,nan,tonnes (metric),1970,
Tunisia,imports,graphite,nan,tonnes (metric),1970,
Azerbaijan,imports,graphite,nan,tonnes (metric),1970,
Belgium,imports,graphite,nan,tonnes (metric),1970,
Iceland,imports,graphite,nan,tonnes (metric),1970,
Latvia,imports,graphite,nan,tonnes (metric),1970,
North Macedonia,imports,graphite,nan,tonnes (metric),1970,
Romania,imports,graphite,nan,tonnes (metric),1970,
Slovenia,imports,graphite,nan,tonnes (metric),1970,
Estonia,imports,graphite,nan,tonnes (metric),1970,
Algeria,imports,graphite,nan,tonnes (metric),1971,
Argentina,imports,graphite,nan,tonnes (metric),1971,264.0
Australia,imports,graphite,nan,tonnes (metric),1971,1800.0
Austria,imports,graphite,nan,tonnes (metric),1971,2747.0
Belgium-Luxembourg,imports,graphite,nan,tonnes (metric),1971,778.0
Brazil,imports,graphite,nan,tonnes (metric),1971,106.0
Burma,imports,graphite,nan,tonnes (metric),1971,117.0
Chile,imports,graphite,nan,tonnes (metric),1971,83.0
Colombia,imports,graphite,nan,tonnes (metric),1971,40.0
Denmark,imports,graphite,nan,tonnes (metric),1971,206.0
Egypt,imports,graphite,nan,tonnes (metric),1971,
Ethiopia,imports,graphite,nan,tonnes (metric),1971,
Finland,imports,graphite,nan,tonnes (metric),1971,627.0
France,imports,graphite,nan,tonnes (metric),1971,5707.0
German Democratic Rep,imports,graphite,nan,tonnes (metric),1971,6327.0
German Federal Republic,imports,graphite,nan,tonnes (metric),1971,25163.0
Greece,imports,graphite,nan,tonnes (metric),1971,318.0
Hong Kong,imports,graphite,nan,tonnes (metric),1971,235.0
Hungary,imports,graphite,nan,tonnes (metric),1971,
India,imports,graphite,nan,tonnes (metric),1971,1028.0
Indonesia,imports,graphite,nan,tonnes (metric),1971,
Iran,imports,graphite,nan,tonnes (metric),1971,710.0
Israel,imports,graphite,nan,tonnes (metric),1971,94.0
Italy,imports,graphite,nan,tonnes (metric),1971,10052.0
Japan,imports,graphite,nan,tonnes (metric),1971,55967.0
Lebanon,imports,graphite,nan,tonnes (metric),1971,8.0
Malaysia,imports,graphite,nan,tonnes (metric),1971,406.0
Mexico,imports,graphite,nan,tonnes (metric),1971,476.0
Morocco,imports,graphite,nan,tonnes (metric),1971,14.0
Mozambique,imports,graphite,nan,tonnes (metric),1971,11.0
Netherlands,imports,graphite,nan,tonnes (metric),1971,653.0
New Zealand,imports,graphite,nan,tonnes (metric),1971,125.0
Norway,imports,graphite,nan,tonnes (metric),1971,417.0
Pakistan,imports,graphite,nan,tonnes (metric),1971,
Philippines,imports,graphite,nan,tonnes (metric),1971,85.0
Poland,imports,graphite,nan,tonnes (metric),1971,11818.0
Portugal,imports,graphite,nan,tonnes (metric),1971,179.0
Singapore,imports,graphite,nan,tonnes (metric),1971,
South Africa,imports,graphite,nan,tonnes (metric),1971,416.0
Spain,imports,graphite,nan,tonnes (metric),1971,917.0
Sudan,imports,graphite,nan,tonnes (metric),1971,116.0
Sweden,imports,graphite,nan,tonnes (metric),1971,1234.0
Switzerland,imports,graphite,nan,tonnes (metric),1971,377.0
Taiwan,imports,graphite,nan,tonnes (metric),1971,5813.0
Thailand,imports,graphite,nan,tonnes (metric),1971,1014.0
Turkey,imports,graphite,nan,tonnes (metric),1971,404.0
USA,imports,graphite,nan,tonnes (metric),1971,52099.0
United Kingdom,imports,graphite,nan,tonnes (metric),1971,10196.0
Uruguay,imports,graphite,nan,tonnes (metric),1971,9.0
Venezuela,imports,graphite,nan,tonnes (metric),1971,242.0
Yugoslavia,imports,graphite,nan,tonnes (metric),1971,1943.0
Bulgaria,imports,graphite,nan,tonnes (metric),1971,
Canada,imports,graphite,nan,tonnes (metric),1971,
Czechoslovakia,imports,graphite,nan,tonnes (metric),1971,
Germany,imports,graphite,nan,tonnes (metric),1971,
Korea (Rep. of),imports,graphite,nan,tonnes (metric),1971,
Kuwait,imports,graphite,nan,tonnes (metric),1971,
Mauritius,imports,graphite,nan,tonnes (metric),1971,
Belarus,imports,graphite,nan,tonnes (metric),1971,
China,imports,graphite,nan,tonnes (metric),1971,
Czech Republic,imports,graphite,nan,tonnes (metric),1971,
"Ireland, Republic of",imports,graphite,nan,tonnes (metric),1971,
Russia,imports,graphite,nan,tonnes (metric),1971,
Saudi Arabia,imports,graphite,nan,tonnes (metric),1971,
Serbia and Montenegro,imports,graphite,nan,tonnes (metric),1971,
Slovakia,imports,graphite,nan,tonnes (metric),1971,
Tunisia,imports,graphite,nan,tonnes (metric),1971,
Azerbaijan,imports,graphite,nan,tonnes (metric),1971,
Belgium,imports,graphite,nan,tonnes (metric),1971,
Iceland,imports,graphite,nan,tonnes (metric),1971,
Latvia,imports,graphite,nan,tonnes (metric),1971,
North Macedonia,imports,graphite,nan,tonnes (metric),1971,
Romania,imports,graphite,nan,tonnes (metric),1971,
Slovenia,imports,graphite,nan,tonnes (metric),1971,
Estonia,imports,graphite,nan,tonnes (metric),1971,
Algeria,imports,graphite,nan,tonnes (metric),1972,
Argentina,imports,graphite,nan,tonnes (metric),1972,328.0
Australia,imports,graphite,nan,tonnes (metric),1972,1112.0
Austria,imports,graphite,nan,tonnes (metric),1972,890.0
Belgium-Luxembourg,imports,graphite,nan,tonnes (metric),1972,1167.0
Brazil,imports,graphite,nan,tonnes (metric),1972,131.0
Burma,imports,graphite,nan,tonnes (metric),1972,6.0
Chile,imports,graphite,nan,tonnes (metric),1972,92.0
Colombia,imports,graphite,nan,tonnes (metric),1972,14.0
Denmark,imports,graphite,nan,tonnes (metric),1972,174.0
Egypt,imports,graphite,nan,tonnes (metric),1972,
Ethiopia,imports,graphite,nan,tonnes (metric),1972,2.0
Finland,imports,graphite,nan,tonnes (metric),1972,271.0
France,imports,graphite,nan,tonnes (metric),1972,4456.0
German Democratic Rep,imports,graphite,nan,tonnes (metric),1972,6569.0
German Federal Republic,imports,graphite,nan,tonnes (metric),1972,22075.0
Greece,imports,graphite,nan,tonnes (metric),1972,292.0
Hong Kong,imports,graphite,nan,tonnes (metric),1972,1046.0
Hungary,imports,graphite,nan,tonnes (metric),1972,
India,imports,graphite,nan,tonnes (metric),1972,1703.0
Indonesia,imports,graphite,nan,tonnes (metric),1972,
Iran,imports,graphite,nan,tonnes (metric),1972,962.0
Israel,imports,graphite,nan,tonnes (metric),1972,86.0
Italy,imports,graphite,nan,tonnes (metric),1972,6943.0
Japan,imports,graphite,nan,tonnes (metric),1972,40242.0
Lebanon,imports,graphite,nan,tonnes (metric),1972,78.0
Malaysia,imports,graphite,nan,tonnes (metric),1972,199.0
Mexico,imports,graphite,nan,tonnes (metric),1972,709.0
Morocco,imports,graphite,nan,tonnes (metric),1972,22.0
Mozambique,imports,graphite,nan,tonnes (metric),1972,14.0
Netherlands,imports,graphite,nan,tonnes (metric),1972,453.0
New Zealand,imports,graphite,nan,tonnes (metric),1972,88.0
Norway,imports,graphite,nan,tonnes (metric),1972,328.0
Pakistan,imports,graphite,nan,tonnes (metric),1972,
Philippines,imports,graphite,nan,tonnes (metric),1972,209.0
Poland,imports,graphite,nan,tonnes (metric),1972,13030.0
Portugal,imports,graphite,nan,tonnes (metric),1972,436.0
Singapore,imports,graphite,nan,tonnes (metric),1972,232.0
South Africa,imports,graphite,nan,tonnes (metric),1972,333.0
Spain,imports,graphite,nan,tonnes (metric),1972,1114.0
Sudan,imports,graphite,nan,tonnes (metric),1972,8.0
Sweden,imports,graphite,nan,tonnes (metric),1972,1035.0
Switzerland,imports,graphite,nan,tonnes (metric),1972,255.0
Taiwan,imports,graphite,nan,tonnes (metric),1972,4247.0
Thailand,imports,graphite,nan,tonnes (metric),1972,746.0
Turkey,imports,graphite,nan,tonnes (metric),1972,355.0
