Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
Australia,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Austria,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,12303.0
Austria,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,952.0
Bahrain,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Belgium-Luxembourg,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,59787.0
Belgium-Luxembourg,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,428794.0
Brazil,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,1088.0
Brazil,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Cameroon,imports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
Canada,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,7981.0
Canada,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,35271.0
Colombia,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,285.0
Colombia,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,10704.0
Colombia,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Costa Rica,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,163.0
Costa Rica,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,6561.0
Czechoslovakia,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Denmark,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,4777.0
Denmark,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,237577.0
Ecuador,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Egypt,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
El Salvador,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,74.0
El Salvador,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,18.0
Fiji,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Finland,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,43349.0
Finland,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,88003.0
France,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,2389.0
France,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,1744.0
Gabon,imports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,
German Federal Republic,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
German Federal Republic,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,
German Federal Republic,imports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,150214.0
Ghana,imports,gypsum_and_plaster,Crude & calcined                                  ,tonnes (metric),1970,12059.0
Greece,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,822.0
Greece,imports,gypsum_and_plaster,Crude                                             ,tonnes (metric),1970,192.0
Guadeloupe,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
Hong Kong,imports,gypsum_and_plaster,nan,tonnes (metric),1970,4872.0
Hungary,imports,gypsum_and_plaster,Calcined                                          ,tonnes (metric),1970,
Iceland,imports,gypsum_and_plaster,nan,tonnes (metric),1970,2871.0
Indonesia,imports,gypsum_and_plaster,nan,tonnes (metric),1970,
