Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,iodine,nan,kilograms,1970,
Argentina,imports,iodine,nan,kilograms,1970,
Belgium-Luxembourg,imports,iodine,nan,kilograms,1970,
Brazil,imports,iodine,nan,kilograms,1970,
Canada,imports,iodine,nan,kilograms,1970,
Colombia,imports,iodine,nan,kilograms,1970,
Denmark,imports,iodine,nan,kilograms,1970,
Dominican Republic,imports,iodine,nan,kilograms,1970,
Ecuador,imports,iodine,nan,kilograms,1970,
Ethiopia,imports,iodine,nan,kilograms,1970,
France,imports,iodine,nan,kilograms,1970,
German Federal Republic,imports,iodine,nan,kilograms,1970,
Greece,imports,iodine,nan,kilograms,1970,
Hungary,imports,iodine,nan,kilograms,1970,
India,imports,iodine,nan,kilograms,1970,
Indonesia,imports,iodine,nan,kilograms,1970,
Italy,imports,iodine,nan,kilograms,1970,
Korea (Rep. of),imports,iodine,nan,kilograms,1970,
Mexico,imports,iodine,nan,kilograms,1970,
Morocco,imports,iodine,nan,kilograms,1970,
Netherlands,imports,iodine,nan,kilograms,1970,
Peru,imports,iodine,nan,kilograms,1970,
Portugal,imports,iodine,nan,kilograms,1970,
Saudi Arabia,imports,iodine,nan,kilograms,1970,
Spain,imports,iodine,nan,kilograms,1970,
Sudan,imports,iodine,nan,kilograms,1970,
Taiwan,imports,iodine,nan,kilograms,1970,
Thailand,imports,iodine,nan,kilograms,1970,
Turkey,imports,iodine,nan,kilograms,1970,
USA,imports,iodine,nan,kilograms,1970,
United Kingdom,imports,iodine,nan,kilograms,1970,
Uruguay,imports,iodine,nan,kilograms,1970,
Venezuela,imports,iodine,nan,kilograms,1970,
Yugoslavia,imports,iodine,nan,kilograms,1970,
Australia,imports,iodine,nan,kilograms,1970,
Austria,imports,iodine,nan,kilograms,1970,
China,imports,iodine,nan,kilograms,1970,
Finland,imports,iodine,nan,kilograms,1970,
Germany,imports,iodine,nan,kilograms,1970,
Hong Kong,imports,iodine,nan,kilograms,1970,
Japan,imports,iodine,nan,kilograms,1970,
New Zealand,imports,iodine,nan,kilograms,1970,
Norway,imports,iodine,nan,kilograms,1970,
Pakistan,imports,iodine,nan,kilograms,1970,
Romania,imports,iodine,nan,kilograms,1970,
South Africa,imports,iodine,nan,kilograms,1970,
Soviet Union,imports,iodine,nan,kilograms,1970,
Sri Lanka,imports,iodine,nan,kilograms,1970,
Sweden,imports,iodine,nan,kilograms,1970,
Switzerland,imports,iodine,nan,kilograms,1970,
Tunisia,imports,iodine,nan,kilograms,1970,
Botswana,imports,iodine,nan,kilograms,1970,
Bulgaria,imports,iodine,nan,kilograms,1970,
Cyprus,imports,iodine,nan,kilograms,1970,
Czech Republic,imports,iodine,nan,kilograms,1970,
Egypt,imports,iodine,nan,kilograms,1970,
Iran,imports,iodine,nan,kilograms,1970,
"Ireland, Republic of",imports,iodine,nan,kilograms,1970,
Kenya,imports,iodine,nan,kilograms,1970,
Lithuania,imports,iodine,nan,kilograms,1970,
Philippines,imports,iodine,nan,kilograms,1970,
Poland,imports,iodine,nan,kilograms,1970,
Russia,imports,iodine,nan,kilograms,1970,
Serbia and Montenegro,imports,iodine,nan,kilograms,1970,
Singapore,imports,iodine,nan,kilograms,1970,
Slovenia,imports,iodine,nan,kilograms,1970,
Ukraine,imports,iodine,nan,kilograms,1970,
Belgium,imports,iodine,nan,kilograms,1970,
Bolivia,imports,iodine,nan,kilograms,1970,
Estonia,imports,iodine,nan,kilograms,1970,
Iceland,imports,iodine,nan,kilograms,1970,
Latvia,imports,iodine,nan,kilograms,1970,
Serbia,imports,iodine,nan,kilograms,1970,
Slovakia,imports,iodine,nan,kilograms,1970,
Croatia,imports,iodine,nan,kilograms,1970,
Malta,imports,iodine,nan,kilograms,1970,
North Macedonia,imports,iodine,nan,kilograms,1970,
Algeria,imports,iodine,nan,kilograms,1971,
Argentina,imports,iodine,nan,kilograms,1971,
Belgium-Luxembourg,imports,iodine,nan,kilograms,1971,
Brazil,imports,iodine,nan,kilograms,1971,
Canada,imports,iodine,nan,kilograms,1971,
Colombia,imports,iodine,nan,kilograms,1971,
Denmark,imports,iodine,nan,kilograms,1971,
Dominican Republic,imports,iodine,nan,kilograms,1971,
Ecuador,imports,iodine,nan,kilograms,1971,
Ethiopia,imports,iodine,nan,kilograms,1971,
France,imports,iodine,nan,kilograms,1971,
German Federal Republic,imports,iodine,nan,kilograms,1971,
Greece,imports,iodine,nan,kilograms,1971,
Hungary,imports,iodine,nan,kilograms,1971,
India,imports,iodine,nan,kilograms,1971,
Indonesia,imports,iodine,nan,kilograms,1971,
Italy,imports,iodine,nan,kilograms,1971,
Korea (Rep. of),imports,iodine,nan,kilograms,1971,
Mexico,imports,iodine,nan,kilograms,1971,
Morocco,imports,iodine,nan,kilograms,1971,
Netherlands,imports,iodine,nan,kilograms,1971,
Peru,imports,iodine,nan,kilograms,1971,
Portugal,imports,iodine,nan,kilograms,1971,
Saudi Arabia,imports,iodine,nan,kilograms,1971,
Spain,imports,iodine,nan,kilograms,1971,
Sudan,imports,iodine,nan,kilograms,1971,
Taiwan,imports,iodine,nan,kilograms,1971,
Thailand,imports,iodine,nan,kilograms,1971,
Turkey,imports,iodine,nan,kilograms,1971,
USA,imports,iodine,nan,kilograms,1971,
United Kingdom,imports,iodine,nan,kilograms,1971,
Uruguay,imports,iodine,nan,kilograms,1971,
Venezuela,imports,iodine,nan,kilograms,1971,
Yugoslavia,imports,iodine,nan,kilograms,1971,
Australia,imports,iodine,nan,kilograms,1971,
Austria,imports,iodine,nan,kilograms,1971,
China,imports,iodine,nan,kilograms,1971,
Finland,imports,iodine,nan,kilograms,1971,
Germany,imports,iodine,nan,kilograms,1971,
Hong Kong,imports,iodine,nan,kilograms,1971,
Japan,imports,iodine,nan,kilograms,1971,
New Zealand,imports,iodine,nan,kilograms,1971,
Norway,imports,iodine,nan,kilograms,1971,
Pakistan,imports,iodine,nan,kilograms,1971,
Romania,imports,iodine,nan,kilograms,1971,
South Africa,imports,iodine,nan,kilograms,1971,
Soviet Union,imports,iodine,nan,kilograms,1971,
Sri Lanka,imports,iodine,nan,kilograms,1971,
Sweden,imports,iodine,nan,kilograms,1971,
Switzerland,imports,iodine,nan,kilograms,1971,
Tunisia,imports,iodine,nan,kilograms,1971,
Botswana,imports,iodine,nan,kilograms,1971,
Bulgaria,imports,iodine,nan,kilograms,1971,
Cyprus,imports,iodine,nan,kilograms,1971,
Czech Republic,imports,iodine,nan,kilograms,1971,
Egypt,imports,iodine,nan,kilograms,1971,
Iran,imports,iodine,nan,kilograms,1971,
"Ireland, Republic of",imports,iodine,nan,kilograms,1971,
Kenya,imports,iodine,nan,kilograms,1971,
Lithuania,imports,iodine,nan,kilograms,1971,
Philippines,imports,iodine,nan,kilograms,1971,
Poland,imports,iodine,nan,kilograms,1971,
Russia,imports,iodine,nan,kilograms,1971,
Serbia and Montenegro,imports,iodine,nan,kilograms,1971,
Singapore,imports,iodine,nan,kilograms,1971,
Slovenia,imports,iodine,nan,kilograms,1971,
Ukraine,imports,iodine,nan,kilograms,1971,
Belgium,imports,iodine,nan,kilograms,1971,
Bolivia,imports,iodine,nan,kilograms,1971,
Estonia,imports,iodine,nan,kilograms,1971,
Iceland,imports,iodine,nan,kilograms,1971,
Latvia,imports,iodine,nan,kilograms,1971,
Serbia,imports,iodine,nan,kilograms,1971,
Slovakia,imports,iodine,nan,kilograms,1971,
Croatia,imports,iodine,nan,kilograms,1971,
Malta,imports,iodine,nan,kilograms,1971,
North Macedonia,imports,iodine,nan,kilograms,1971,
Algeria,imports,iodine,nan,kilograms,1972,
Argentina,imports,iodine,nan,kilograms,1972,
Belgium-Luxembourg,imports,iodine,nan,kilograms,1972,
Brazil,imports,iodine,nan,kilograms,1972,
Canada,imports,iodine,nan,kilograms,1972,
Colombia,imports,iodine,nan,kilograms,1972,
Denmark,imports,iodine,nan,kilograms,1972,
Dominican Republic,imports,iodine,nan,kilograms,1972,
Ecuador,imports,iodine,nan,kilograms,1972,
Ethiopia,imports,iodine,nan,kilograms,1972,
France,imports,iodine,nan,kilograms,1972,
German Federal Republic,imports,iodine,nan,kilograms,1972,
Greece,imports,iodine,nan,kilograms,1972,
Hungary,imports,iodine,nan,kilograms,1972,
India,imports,iodine,nan,kilograms,1972,
Indonesia,imports,iodine,nan,kilograms,1972,
Italy,imports,iodine,nan,kilograms,1972,
Korea (Rep. of),imports,iodine,nan,kilograms,1972,
Mexico,imports,iodine,nan,kilograms,1972,
Morocco,imports,iodine,nan,kilograms,1972,
Netherlands,imports,iodine,nan,kilograms,1972,
Peru,imports,iodine,nan,kilograms,1972,
Portugal,imports,iodine,nan,kilograms,1972,
Saudi Arabia,imports,iodine,nan,kilograms,1972,
Spain,imports,iodine,nan,kilograms,1972,
Sudan,imports,iodine,nan,kilograms,1972,
Taiwan,imports,iodine,nan,kilograms,1972,
Thailand,imports,iodine,nan,kilograms,1972,
Turkey,imports,iodine,nan,kilograms,1972,
USA,imports,iodine,nan,kilograms,1972,
United Kingdom,imports,iodine,nan,kilograms,1972,
Uruguay,imports,iodine,nan,kilograms,1972,
Venezuela,imports,iodine,nan,kilograms,1972,
Yugoslavia,imports,iodine,nan,kilograms,1972,
Australia,imports,iodine,nan,kilograms,1972,
Austria,imports,iodine,nan,kilograms,1972,
China,imports,iodine,nan,kilograms,1972,
Finland,imports,iodine,nan,kilograms,1972,
Germany,imports,iodine,nan,kilograms,1972,
Hong Kong,imports,iodine,nan,kilograms,1972,
Japan,imports,iodine,nan,kilograms,1972,
New Zealand,imports,iodine,nan,kilograms,1972,
Norway,imports,iodine,nan,kilograms,1972,
Pakistan,imports,iodine,nan,kilograms,1972,
Romania,imports,iodine,nan,kilograms,1972,
South Africa,imports,iodine,nan,kilograms,1972,
Soviet Union,imports,iodine,nan,kilograms,1972,
Sri Lanka,imports,iodine,nan,kilograms,1972,
Sweden,imports,iodine,nan,kilograms,1972,
Switzerland,imports,iodine,nan,kilograms,1972,
Tunisia,imports,iodine,nan,kilograms,1972,
Botswana,imports,iodine,nan,kilograms,1972,
Bulgaria,imports,iodine,nan,kilograms,1972,
Cyprus,imports,iodine,nan,kilograms,1972,
Czech Republic,imports,iodine,nan,kilograms,1972,
Egypt,imports,iodine,nan,kilograms,1972,
Iran,imports,iodine,nan,kilograms,1972,
"Ireland, Republic of",imports,iodine,nan,kilograms,1972,
Kenya,imports,iodine,nan,kilograms,1972,
Lithuania,imports,iodine,nan,kilograms,1972,
Philippines,imports,iodine,nan,kilograms,1972,
Poland,imports,iodine,nan,kilograms,1972,
Russia,imports,iodine,nan,kilograms,1972,
Serbia and Montenegro,imports,iodine,nan,kilograms,1972,
Singapore,imports,iodine,nan,kilograms,1972,
Slovenia,imports,iodine,nan,kilograms,1972,
Ukraine,imports,iodine,nan,kilograms,1972,
Belgium,imports,iodine,nan,kilograms,1972,
Bolivia,imports,iodine,nan,kilograms,1972,
Estonia,imports,iodine,nan,kilograms,1972,
Iceland,imports,iodine,nan,kilograms,1972,
Latvia,imports,iodine,nan,kilograms,1972,
Serbia,imports,iodine,nan,kilograms,1972,
Slovakia,imports,iodine,nan,kilograms,1972,
Croatia,imports,iodine,nan,kilograms,1972,
Malta,imports,iodine,nan,kilograms,1972,
North Macedonia,imports,iodine,nan,kilograms,1972,
Algeria,imports,iodine,nan,kilograms,1973,
Argentina,imports,iodine,nan,kilograms,1973,
Belgium-Luxembourg,imports,iodine,nan,kilograms,1973,
Brazil,imports,iodine,nan,kilograms,1973,
Canada,imports,iodine,nan,kilograms,1973,
Colombia,imports,iodine,nan,kilograms,1973,
Denmark,imports,iodine,nan,kilograms,1973,
Dominican Republic,imports,iodine,nan,kilograms,1973,
Ecuador,imports,iodine,nan,kilograms,1973,
Ethiopia,imports,iodine,nan,kilograms,1973,
France,imports,iodine,nan,kilograms,1973,
German Federal Republic,imports,iodine,nan,kilograms,1973,
Greece,imports,iodine,nan,kilograms,1973,
Hungary,imports,iodine,nan,kilograms,1973,
India,imports,iodine,nan,kilograms,1973,
Indonesia,imports,iodine,nan,kilograms,1973,
Italy,imports,iodine,nan,kilograms,1973,
Korea (Rep. of),imports,iodine,nan,kilograms,1973,
Mexico,imports,iodine,nan,kilograms,1973,
Morocco,imports,iodine,nan,kilograms,1973,
Netherlands,imports,iodine,nan,kilograms,1973,
Peru,imports,iodine,nan,kilograms,1973,
Portugal,imports,iodine,nan,kilograms,1973,
Saudi Arabia,imports,iodine,nan,kilograms,1973,
Spain,imports,iodine,nan,kilograms,1973,
Sudan,imports,iodine,nan,kilograms,1973,
Taiwan,imports,iodine,nan,kilograms,1973,
Thailand,imports,iodine,nan,kilograms,1973,
Turkey,imports,iodine,nan,kilograms,1973,
USA,imports,iodine,nan,kilograms,1973,
United Kingdom,imports,iodine,nan,kilograms,1973,
Uruguay,imports,iodine,nan,kilograms,1973,
Venezuela,imports,iodine,nan,kilograms,1973,
Yugoslavia,imports,iodine,nan,kilograms,1973,
Australia,imports,iodine,nan,kilograms,1973,
Austria,imports,iodine,nan,kilograms,1973,
China,imports,iodine,nan,kilograms,1973,
Finland,imports,iodine,nan,kilograms,1973,
Germany,imports,iodine,nan,kilograms,1973,
Hong Kong,imports,iodine,nan,kilograms,1973,
Japan,imports,iodine,nan,kilograms,1973,
New Zealand,imports,iodine,nan,kilograms,1973,
Norway,imports,iodine,nan,kilograms,1973,
Pakistan,imports,iodine,nan,kilograms,1973,
Romania,imports,iodine,nan,kilograms,1973,
South Africa,imports,iodine,nan,kilograms,1973,
Soviet Union,imports,iodine,nan,kilograms,1973,
Sri Lanka,imports,iodine,nan,kilograms,1973,
Sweden,imports,iodine,nan,kilograms,1973,
Switzerland,imports,iodine,nan,kilograms,1973,
Tunisia,imports,iodine,nan,kilograms,1973,
Botswana,imports,iodine,nan,kilograms,1973,
