Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,imports,iron_ore,nan,tonnes (metric),1970,
Argentina,imports,iron_ore,nan,tonnes (metric),1970,643344.0
Australia,imports,iron_ore,nan,tonnes (metric),1970,181.0
Austria,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,238242.0
Austria,imports,iron_ore,nan,tonnes (metric),1970,2111757.0
Belgium-Luxembourg,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,155696.0
Belgium-Luxembourg,imports,iron_ore,nan,tonnes (metric),1970,29168655.0
Bulgaria,imports,iron_ore,nan,tonnes (metric),1970,
Canada,imports,iron_ore,nan,tonnes (metric),1970,2159704.0
China,imports,iron_ore,nan,tonnes (metric),1970,
Czechoslovakia,imports,iron_ore,nan,tonnes (metric),1970,12724000.0
Denmark,imports,iron_ore,nan,tonnes (metric),1970,7176.0
Finland,imports,iron_ore,nan,tonnes (metric),1970,743631.0
France,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,58644.0
France,imports,iron_ore,nan,tonnes (metric),1970,9635144.0
German Democratic Rep,imports,iron_ore,nan,tonnes (metric),1970,1489600.0
German Federal Republic,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,1562434.0
German Federal Republic,imports,iron_ore,nan,tonnes (metric),1970,47818360.0
Greece,imports,iron_ore,nan,tonnes (metric),1970,552732.0
Hungary,imports,iron_ore,nan,tonnes (metric),1970,3118626.0
India,imports,iron_ore,nan,tonnes (metric),1970,295.0
Indonesia,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Indonesia,imports,iron_ore,nan,tonnes (metric),1970,
"Ireland, Republic of",imports,iron_ore,nan,tonnes (metric),1970,328.0
Italy,imports,iron_ore,nan,tonnes (metric),1970,10857341.0
Japan,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,19647.0
Japan,imports,iron_ore,nan,tonnes (metric),1970,102070384.0
Kenya,imports,iron_ore,nan,tonnes (metric),1970,9398.0
Korea (Rep. of),imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Korea (Rep. of),imports,iron_ore,nan,tonnes (metric),1970,75347.0
Libya,imports,iron_ore,nan,tonnes (metric),1970,
Mexico,imports,iron_ore,nan,tonnes (metric),1970,184525.0
Morocco,imports,iron_ore,nan,tonnes (metric),1970,1250.0
Netherlands,imports,iron_ore,nan,tonnes (metric),1970,5415900.0
Nigeria,imports,iron_ore,nan,tonnes (metric),1970,
Norway,imports,iron_ore,nan,tonnes (metric),1970,100615.0
Philippines,imports,iron_ore,nan,tonnes (metric),1970,
Poland,imports,iron_ore,nan,tonnes (metric),1970,11843000.0
Portugal,imports,iron_ore,nan,tonnes (metric),1970,194691.0
Qatar,imports,iron_ore,nan,tonnes (metric),1970,
Romania,imports,iron_ore,nan,tonnes (metric),1970,6267800.0
Saudi Arabia,imports,iron_ore,nan,tonnes (metric),1970,
Singapore,imports,iron_ore,nan,tonnes (metric),1970,37926.0
South Africa,imports,iron_ore,nan,tonnes (metric),1970,
Spain,imports,iron_ore,nan,tonnes (metric),1970,2431064.0
Sweden,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,3000.0
Sweden,imports,iron_ore,nan,tonnes (metric),1970,134000.0
Switzerland,imports,iron_ore,nan,tonnes (metric),1970,33573.0
Taiwan,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Taiwan,imports,iron_ore,nan,tonnes (metric),1970,73359.0
Tanzania,imports,iron_ore,nan,tonnes (metric),1970,
Turkey,imports,iron_ore,nan,tonnes (metric),1970,
USA,imports,iron_ore,nan,tonnes (metric),1970,45611400.0
United Arab Emirates,imports,iron_ore,nan,tonnes (metric),1970,
United Kingdom,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,266631.0
United Kingdom,imports,iron_ore,nan,tonnes (metric),1970,19909049.0
Venezuela,imports,iron_ore,nan,tonnes (metric),1970,
Yugoslavia,imports,iron_ore,nan,tonnes (metric),1970,211556.0
Abu Dhabi,imports,iron_ore,nan,tonnes (metric),1970,
China,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Denmark,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Egypt,imports,iron_ore,nan,tonnes (metric),1970,
Germany,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Germany,imports,iron_ore,nan,tonnes (metric),1970,
Greece,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Iceland,imports,iron_ore,nan,tonnes (metric),1970,
Iran,imports,iron_ore,nan,tonnes (metric),1970,
Malaysia,imports,iron_ore,nan,tonnes (metric),1970,
Oman,imports,iron_ore,nan,tonnes (metric),1970,
Pakistan,imports,iron_ore,nan,tonnes (metric),1970,
Paraguay,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Trinidad & Tobago,imports,iron_ore,nan,tonnes (metric),1970,
Tunisia,imports,iron_ore,nan,tonnes (metric),1970,
USA,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Bahrain,imports,iron_ore,nan,tonnes (metric),1970,
Brazil,imports,iron_ore,nan,tonnes (metric),1970,
Croatia,imports,iron_ore,nan,tonnes (metric),1970,
Czech Republic,imports,iron_ore,nan,tonnes (metric),1970,
Ghana,imports,iron_ore,nan,tonnes (metric),1970,
Iran,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Kazakhstan,imports,iron_ore,nan,tonnes (metric),1970,
Lebanon,imports,iron_ore,nan,tonnes (metric),1970,
Lithuania,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Lithuania,imports,iron_ore,nan,tonnes (metric),1970,
Netherlands,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Paraguay,imports,iron_ore,nan,tonnes (metric),1970,
Poland,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Russia,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Russia,imports,iron_ore,nan,tonnes (metric),1970,
Serbia and Montenegro,imports,iron_ore,nan,tonnes (metric),1970,
Slovakia,imports,iron_ore,nan,tonnes (metric),1970,
Switzerland,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Thailand,imports,iron_ore,nan,tonnes (metric),1970,
Ukraine,imports,iron_ore,nan,tonnes (metric),1970,
Belgium,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Belgium,imports,iron_ore,nan,tonnes (metric),1970,
Bulgaria,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Croatia,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Finland,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
India,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Italy,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Latvia,imports,iron_ore,nan,tonnes (metric),1970,
Romania,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Serbia,imports,iron_ore,nan,tonnes (metric),1970,
Tunisia,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Turkey,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1970,
Luxembourg,imports,iron_ore,nan,tonnes (metric),1970,
Albania,imports,iron_ore,nan,tonnes (metric),1971,
Argentina,imports,iron_ore,nan,tonnes (metric),1971,1591970.0
Australia,imports,iron_ore,nan,tonnes (metric),1971,2393.0
Austria,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1971,275967.0
Austria,imports,iron_ore,nan,tonnes (metric),1971,1842355.0
Belgium-Luxembourg,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1971,132409.0
Belgium-Luxembourg,imports,iron_ore,nan,tonnes (metric),1971,28151800.0
Bulgaria,imports,iron_ore,nan,tonnes (metric),1971,
Canada,imports,iron_ore,nan,tonnes (metric),1971,1383545.0
China,imports,iron_ore,nan,tonnes (metric),1971,
Czechoslovakia,imports,iron_ore,nan,tonnes (metric),1971,12592000.0
Denmark,imports,iron_ore,nan,tonnes (metric),1971,7258.0
Finland,imports,iron_ore,nan,tonnes (metric),1971,895359.0
France,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1971,68473.0
France,imports,iron_ore,nan,tonnes (metric),1971,9369637.0
German Democratic Rep,imports,iron_ore,nan,tonnes (metric),1971,1560700.0
German Federal Republic,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1971,1184076.0
German Federal Republic,imports,iron_ore,nan,tonnes (metric),1971,40321893.0
Greece,imports,iron_ore,nan,tonnes (metric),1971,432147.0
Hungary,imports,iron_ore,nan,tonnes (metric),1971,3156000.0
India,imports,iron_ore,nan,tonnes (metric),1971,231.0
Indonesia,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1971,
Indonesia,imports,iron_ore,nan,tonnes (metric),1971,
"Ireland, Republic of",imports,iron_ore,nan,tonnes (metric),1971,354.0
Italy,imports,iron_ore,nan,tonnes (metric),1971,11157600.0
Japan,imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1971,37243.0
Japan,imports,iron_ore,nan,tonnes (metric),1971,114913877.0
Kenya,imports,iron_ore,nan,tonnes (metric),1971,100.0
Korea (Rep. of),imports,iron_ore,Burnt pyrites                                     ,tonnes (metric),1971,
Korea (Rep. of),imports,iron_ore,nan,tonnes (metric),1971,31245.0
Libya,imports,iron_ore,nan,tonnes (metric),1971,
Mexico,imports,iron_ore,nan,tonnes (metric),1971,87444.0
Morocco,imports,iron_ore,nan,tonnes (metric),1971,955.0
Netherlands,imports,iron_ore,nan,tonnes (metric),1971,5991261.0
Nigeria,imports,iron_ore,nan,tonnes (metric),1971,
Norway,imports,iron_ore,nan,tonnes (metric),1971,10186.0
Philippines,imports,iron_ore,nan,tonnes (metric),1971,
Poland,imports,iron_ore,nan,tonnes (metric),1971,12430000.0
Portugal,imports,iron_ore,nan,tonnes (metric),1971,340723.0
Qatar,imports,iron_ore,nan,tonnes (metric),1971,
Romania,imports,iron_ore,nan,tonnes (metric),1971,6939400.0
