Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Belgium-Luxembourg,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Belgium-Luxembourg,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Belgium-Luxembourg,imports,lithium,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Brazil,imports,lithium,Oxides                                            ,tonnes (metric),1970,
France,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
France,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
France,imports,lithium,Metal                                             ,tonnes (metric),1970,
France,imports,lithium,Oxides                                            ,tonnes (metric),1970,
German Federal Republic,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
German Federal Republic,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
German Federal Republic,imports,lithium,Metal                                             ,tonnes (metric),1970,
German Federal Republic,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Italy,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Italy,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Italy,imports,lithium,Metal                                             ,tonnes (metric),1970,
Italy,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Japan,imports,lithium,Metal                                             ,tonnes (metric),1970,
Japan,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Netherlands,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Netherlands,imports,lithium,Oxides                                            ,tonnes (metric),1970,
South Africa,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Spain,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Spain,imports,lithium,Metal                                             ,tonnes (metric),1970,
Spain,imports,lithium,Oxides                                            ,tonnes (metric),1970,
USA,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
United Kingdom,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
United Kingdom,imports,lithium,Metal                                             ,tonnes (metric),1970,
United Kingdom,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Australia,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Australia,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Brazil,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Brazil,imports,lithium,Lithium minerals                                  ,tonnes (metric),1970,
Canada,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Finland,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Germany,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Germany,imports,lithium,Oxides                                            ,tonnes (metric),1970,
India,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
India,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Japan,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Korea (Rep. of),imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Korea (Rep. of),imports,lithium,Oxides                                            ,tonnes (metric),1970,
Netherlands,imports,lithium,Metal                                             ,tonnes (metric),1970,
South Africa,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Spain,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Sweden,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Taiwan,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
USA,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Venezuela,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Yugoslavia,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Austria,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Canada,imports,lithium,Oxides                                            ,tonnes (metric),1970,
China,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
China,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Hong Kong,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Indonesia,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Indonesia,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Iran,imports,lithium,Oxides                                            ,tonnes (metric),1970,
New Zealand,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Poland,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Poland,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Russia,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Russia,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Singapore,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Slovenia,imports,lithium,Oxides                                            ,tonnes (metric),1970,
South Africa,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Sweden,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Taiwan,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Thailand,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Turkey,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Turkey,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Argentina,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Argentina,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Belgium,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Belgium,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Czech Republic,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Denmark,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Iceland,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Switzerland,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Thailand,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Cyprus,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Czech Republic,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Hungary,imports,lithium,Oxides                                            ,tonnes (metric),1970,
"Ireland, Republic of",imports,lithium,Oxides                                            ,tonnes (metric),1970,
Latvia,imports,lithium,Carbonate                                         ,tonnes (metric),1970,
Slovakia,imports,lithium,Oxides                                            ,tonnes (metric),1970,
Belgium-Luxembourg,imports,lithium,Carbonate                                         ,tonnes (metric),1971,
Belgium-Luxembourg,imports,lithium,Lithium minerals                                  ,tonnes (metric),1971,
Belgium-Luxembourg,imports,lithium,Metal                                             ,tonnes (metric),1971,
Belgium-Luxembourg,imports,lithium,Oxides                                            ,tonnes (metric),1971,
Brazil,imports,lithium,Oxides                                            ,tonnes (metric),1971,
France,imports,lithium,Carbonate                                         ,tonnes (metric),1971,
France,imports,lithium,Lithium minerals                                  ,tonnes (metric),1971,
France,imports,lithium,Metal                                             ,tonnes (metric),1971,
France,imports,lithium,Oxides                                            ,tonnes (metric),1971,
German Federal Republic,imports,lithium,Carbonate                                         ,tonnes (metric),1971,
German Federal Republic,imports,lithium,Lithium minerals                                  ,tonnes (metric),1971,
German Federal Republic,imports,lithium,Metal                                             ,tonnes (metric),1971,
German Federal Republic,imports,lithium,Oxides                                            ,tonnes (metric),1971,
Italy,imports,lithium,Carbonate                                         ,tonnes (metric),1971,
Italy,imports,lithium,Lithium minerals                                  ,tonnes (metric),1971,
Italy,imports,lithium,Metal                                             ,tonnes (metric),1971,
Italy,imports,lithium,Oxides                                            ,tonnes (metric),1971,
Japan,imports,lithium,Metal                                             ,tonnes (metric),1971,
Japan,imports,lithium,Oxides                                            ,tonnes (metric),1971,
Netherlands,imports,lithium,Carbonate                                         ,tonnes (metric),1971,
Netherlands,imports,lithium,Oxides                                            ,tonnes (metric),1971,
South Africa,imports,lithium,Lithium minerals                                  ,tonnes (metric),1971,
Spain,imports,lithium,Lithium minerals                                  ,tonnes (metric),1971,
Spain,imports,lithium,Metal                                             ,tonnes (metric),1971,
Spain,imports,lithium,Oxides                                            ,tonnes (metric),1971,
USA,imports,lithium,Lithium minerals                                  ,tonnes (metric),1971,
United Kingdom,imports,lithium,Carbonate                                         ,tonnes (metric),1971,
United Kingdom,imports,lithium,Metal                                             ,tonnes (metric),1971,
