Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Algeria,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Argentina,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Australia,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Austria,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Austria,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Austria,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Austria,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Belgium-Luxembourg,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Belgium-Luxembourg,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Belgium-Luxembourg,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Belgium-Luxembourg,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Brazil,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Brunei,imports,magnesite_and_magnesia,nan,tonnes (metric),1970,
Bulgaria,imports,magnesite_and_magnesia,nan,tonnes (metric),1970,
Canada,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Chile,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Denmark,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Denmark,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Denmark,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Denmark,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Denmark,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Denmark,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Egypt,imports,magnesite_and_magnesia,nan,tonnes (metric),1970,
Finland,imports,magnesite_and_magnesia,nan,tonnes (metric),1970,
France,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
France,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
France,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
France,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
German Democratic Rep,imports,magnesite_and_magnesia,nan,tonnes (metric),1970,
German Federal Republic,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
German Federal Republic,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
German Federal Republic,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
German Federal Republic,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Greece,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
Greece,imports,magnesite_and_magnesia,Magnesite,tonnes (metric),1970,
