Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,34175.0
Australia,imports,manganese,Metal                                             ,tonnes (metric),1970,
Australia,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,8444.0
Austria,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,937.0
Belgium-Luxembourg,imports,manganese,Metal                                             ,tonnes (metric),1970,
Belgium-Luxembourg,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,349780.0
Brazil,imports,manganese,Metal                                             ,tonnes (metric),1970,
Brazil,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,541.0
Bulgaria,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,
Canada,imports,manganese,Metal                                             ,tonnes (metric),1970,
Canada,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,115052.0
Colombia,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,
Czechoslovakia,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,202000.0
Denmark,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,11562.0
Finland,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,
France,imports,manganese,Metal                                             ,tonnes (metric),1970,
France,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,1095129.0
German Democratic Rep,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,68255.0
German Federal Republic,imports,manganese,Metal                                             ,tonnes (metric),1970,
German Federal Republic,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,712901.0
Greece,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,5585.0
Hong Kong,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,100.0
Hungary,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,
India,imports,manganese,Metal                                             ,tonnes (metric),1970,
India,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,5868.0
Indonesia,imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,
"Ireland, Republic of",imports,manganese,Ores & Concentrates                               ,tonnes (metric),1970,
Italy,imports,manganese,Metal                                             ,tonnes (metric),1970,
