Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,mercury,nan,kilograms,1970,
Angola,imports,mercury,nan,kilograms,1970,759.0
Argentina,imports,mercury,nan,kilograms,1970,21617.0
Australia,imports,mercury,nan,kilograms,1970,34888.0
Austria,imports,mercury,nan,kilograms,1970,13300.0
Belgium-Luxembourg,imports,mercury,nan,kilograms,1970,121900.0
Brazil,imports,mercury,nan,kilograms,1970,106612.0
Burma,imports,mercury,nan,kilograms,1970,78947.0
Canada,imports,mercury,nan,kilograms,1970,69536.0
Chile,imports,mercury,nan,kilograms,1970,16283.0
Colombia,imports,mercury,nan,kilograms,1970,2698.0
Denmark,imports,mercury,nan,kilograms,1970,20400.0
Dominican Republic,imports,mercury,nan,kilograms,1970,
Finland,imports,mercury,nan,kilograms,1970,53100.0
France,imports,mercury,nan,kilograms,1970,316000.0
German Democratic Rep,imports,mercury,nan,kilograms,1970,
German Federal Republic,imports,mercury,nan,kilograms,1970,870000.0
Greece,imports,mercury,nan,kilograms,1970,3199.0
Hong Kong,imports,mercury,nan,kilograms,1970,15657.0
Hungary,imports,mercury,nan,kilograms,1970,
India,imports,mercury,nan,kilograms,1970,159007.0
Indonesia,imports,mercury,nan,kilograms,1970,
Iran,imports,mercury,nan,kilograms,1970,327.0
Iraq,imports,mercury,nan,kilograms,1970,
"Ireland, Republic of",imports,mercury,nan,kilograms,1970,
Israel,imports,mercury,nan,kilograms,1970,13000.0
Italy,imports,mercury,nan,kilograms,1970,171642.0
Japan,imports,mercury,nan,kilograms,1970,1244820.0
Korea (Rep. of),imports,mercury,nan,kilograms,1970,14892.0
Madagascar,imports,mercury,nan,kilograms,1970,
Malaysia,imports,mercury,nan,kilograms,1970,2225.0
Morocco,imports,mercury,nan,kilograms,1970,2025.0
Mozambique,imports,mercury,nan,kilograms,1970,101.0
Netherlands,imports,mercury,nan,kilograms,1970,62000.0
New Zealand,imports,mercury,nan,kilograms,1970,9375.0
Norway,imports,mercury,nan,kilograms,1970,30000.0
Pakistan,imports,mercury,nan,kilograms,1970,
Peru,imports,mercury,nan,kilograms,1970,
Philippines,imports,mercury,nan,kilograms,1970,389.0
Poland,imports,mercury,nan,kilograms,1970,236000.0
Portugal,imports,mercury,nan,kilograms,1970,31000.0
Romania,imports,mercury,nan,kilograms,1970,
Saudi Arabia,imports,mercury,nan,kilograms,1970,
Singapore,imports,mercury,nan,kilograms,1970,
South Africa,imports,mercury,nan,kilograms,1970,35297.0
Sri Lanka,imports,mercury,nan,kilograms,1970,
Sweden,imports,mercury,nan,kilograms,1970,56000.0
Switzerland,imports,mercury,nan,kilograms,1970,70001.0
Syria,imports,mercury,nan,kilograms,1970,
Taiwan,imports,mercury,nan,kilograms,1970,54501.0
Thailand,imports,mercury,nan,kilograms,1970,4428.0
Tunisia,imports,mercury,nan,kilograms,1970,3371.0
USA,imports,mercury,nan,kilograms,1970,757441.0
United Kingdom,imports,mercury,nan,kilograms,1970,345217.0
Uruguay,imports,mercury,nan,kilograms,1970,3600.0
Venezuela,imports,mercury,nan,kilograms,1970,6515.0
Yugoslavia,imports,mercury,nan,kilograms,1970,13114.0
Zaire,imports,mercury,nan,kilograms,1970,
Bangladesh,imports,mercury,nan,kilograms,1970,
Czechoslovakia,imports,mercury,nan,kilograms,1970,
Ecuador,imports,mercury,nan,kilograms,1970,
Egypt,imports,mercury,nan,kilograms,1970,
Germany,imports,mercury,nan,kilograms,1970,
"Korea, Dem. P.R. of",imports,mercury,nan,kilograms,1970,
Mexico,imports,mercury,nan,kilograms,1970,
Spain,imports,mercury,nan,kilograms,1970,
Turkey,imports,mercury,nan,kilograms,1970,
Azerbaijan,imports,mercury,nan,kilograms,1970,
Botswana,imports,mercury,nan,kilograms,1970,
China,imports,mercury,nan,kilograms,1970,
Czech Republic,imports,mercury,nan,kilograms,1970,
Kenya,imports,mercury,nan,kilograms,1970,
Nigeria,imports,mercury,nan,kilograms,1970,
Russia,imports,mercury,nan,kilograms,1970,
Serbia and Montenegro,imports,mercury,nan,kilograms,1970,
Slovakia,imports,mercury,nan,kilograms,1970,
Slovenia,imports,mercury,nan,kilograms,1970,
Togo,imports,mercury,nan,kilograms,1970,
Belgium,imports,mercury,nan,kilograms,1970,
Bolivia,imports,mercury,nan,kilograms,1970,
Bulgaria,imports,mercury,nan,kilograms,1970,
Estonia,imports,mercury,nan,kilograms,1970,
Latvia,imports,mercury,nan,kilograms,1970,
Malta,imports,mercury,nan,kilograms,1970,
Algeria,imports,mercury,nan,kilograms,1971,
Angola,imports,mercury,nan,kilograms,1971,1299.0
Argentina,imports,mercury,nan,kilograms,1971,31957.0
Australia,imports,mercury,nan,kilograms,1971,44233.0
Austria,imports,mercury,nan,kilograms,1971,22100.0
Belgium-Luxembourg,imports,mercury,nan,kilograms,1971,162400.0
Brazil,imports,mercury,nan,kilograms,1971,118702.0
Burma,imports,mercury,nan,kilograms,1971,30989.0
Canada,imports,mercury,nan,kilograms,1971,55338.0
Chile,imports,mercury,nan,kilograms,1971,1000.0
Colombia,imports,mercury,nan,kilograms,1971,56302.0
Denmark,imports,mercury,nan,kilograms,1971,11200.0
Dominican Republic,imports,mercury,nan,kilograms,1971,
Finland,imports,mercury,nan,kilograms,1971,18300.0
France,imports,mercury,nan,kilograms,1971,376000.0
German Democratic Rep,imports,mercury,nan,kilograms,1971,
German Federal Republic,imports,mercury,nan,kilograms,1971,601000.0
Greece,imports,mercury,nan,kilograms,1971,1250.0
Hong Kong,imports,mercury,nan,kilograms,1971,19945.0
Hungary,imports,mercury,nan,kilograms,1971,
India,imports,mercury,nan,kilograms,1971,248721.0
Indonesia,imports,mercury,nan,kilograms,1971,
Iran,imports,mercury,nan,kilograms,1971,15313.0
Iraq,imports,mercury,nan,kilograms,1971,
"Ireland, Republic of",imports,mercury,nan,kilograms,1971,
Israel,imports,mercury,nan,kilograms,1971,16000.0
Italy,imports,mercury,nan,kilograms,1971,133500.0
Japan,imports,mercury,nan,kilograms,1971,518648.0
Korea (Rep. of),imports,mercury,nan,kilograms,1971,1470086.0
Madagascar,imports,mercury,nan,kilograms,1971,
Malaysia,imports,mercury,nan,kilograms,1971,821.0
Morocco,imports,mercury,nan,kilograms,1971,3002.0
Mozambique,imports,mercury,nan,kilograms,1971,63.0
Netherlands,imports,mercury,nan,kilograms,1971,38000.0
New Zealand,imports,mercury,nan,kilograms,1971,6149.0
Norway,imports,mercury,nan,kilograms,1971,8000.0
Pakistan,imports,mercury,nan,kilograms,1971,
Peru,imports,mercury,nan,kilograms,1971,
Philippines,imports,mercury,nan,kilograms,1971,259.0
