Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1990,
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1991,
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1992,49428.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1993,45655.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1994,45370.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1995,37568.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1996,47525.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1997,46138.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1998,34145.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),1999,48361.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2000,50363.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2001,57268.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2002,53692.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2003,52453.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2004,49731.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2005,47672.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2006,81960.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2007,40484.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2008,44275.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2009,32462.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2010,39092.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2011,35573.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2012,30744.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2013,36080.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2014,33646.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2015,35009.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2016,34477.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2017,38645.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2018,36122.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2019,28872.0
United Kingdom,imports,nepheline_syenite,Nepheline-syenite,tonnes (metric),2020,19149.0
