Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,imports,nickel,Unwrought,tonnes (metric),1970,325.0
Australia,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,682.0
Australia,imports,nickel,Unwrought,tonnes (metric),1970,1337.0
Australia,imports,nickel,Unwrought alloys,tonnes (metric),1970,151.0
Austria,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,799.0
Austria,imports,nickel,Scrap,tonnes (metric),1970,58.0
Austria,imports,nickel,Unwrought,tonnes (metric),1970,2453.0
Belgium-Luxembourg,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Belgium-Luxembourg,imports,nickel,Oxides,tonnes (metric),1970,
Belgium-Luxembourg,imports,nickel,Scrap,tonnes (metric),1970,2459.0
Belgium-Luxembourg,imports,nickel,Unwrought,tonnes (metric),1970,1441.0
Belgium-Luxembourg,imports,nickel,Unwrought alloys,tonnes (metric),1970,1242.0
Brazil,imports,nickel,Unwrought,tonnes (metric),1970,655.0
Canada,imports,nickel,"Ores, concentrates & scrap",tonnes (metric),1970,26923.0
Canada,imports,nickel,Unwrought,tonnes (metric),1970,888.0
Chile,imports,nickel,Unwrought,tonnes (metric),1970,52.0
Colombia,imports,nickel,Unwrought,tonnes (metric),1970,
Czechoslovakia,imports,nickel,Unwrought,tonnes (metric),1970,
Denmark,imports,nickel,Unwrought,tonnes (metric),1970,89.0
Denmark,imports,nickel,Unwrought alloys,tonnes (metric),1970,9.0
Finland,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Finland,imports,nickel,Ores & concentrates,tonnes (metric),1970,
Finland,imports,nickel,Scrap,tonnes (metric),1970,
Finland,imports,nickel,Unwrought,tonnes (metric),1970,200.0
France,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,18191.0
France,imports,nickel,Oxides,tonnes (metric),1970,
France,imports,nickel,Scrap,tonnes (metric),1970,535.0
France,imports,nickel,Unwrought,tonnes (metric),1970,11412.0
France,imports,nickel,Unwrought alloys,tonnes (metric),1970,219.0
German Federal Republic,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,4246.0
German Federal Republic,imports,nickel,Ores & concentrates,tonnes (metric),1970,230.0
German Federal Republic,imports,nickel,Oxides,tonnes (metric),1970,
German Federal Republic,imports,nickel,Scrap,tonnes (metric),1970,7720.0
German Federal Republic,imports,nickel,Unwrought,tonnes (metric),1970,38780.0
Greece,imports,nickel,Unwrought,tonnes (metric),1970,
Hong Kong,imports,nickel,Unwrought,tonnes (metric),1970,160.0
India,imports,nickel,Scrap,tonnes (metric),1970,135.0
India,imports,nickel,Unwrought,tonnes (metric),1970,1560.0
India,imports,nickel,Unwrought alloys,tonnes (metric),1970,701.0
"Ireland, Republic of",imports,nickel,Unwrought,tonnes (metric),1970,25.0
Italy,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,5185.0
Italy,imports,nickel,Oxides,tonnes (metric),1970,2186.0
Italy,imports,nickel,Scrap,tonnes (metric),1970,430.0
Italy,imports,nickel,Unwrought,tonnes (metric),1970,12798.0
Italy,imports,nickel,Unwrought alloys,tonnes (metric),1970,
Japan,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,18301.0
Japan,imports,nickel,Ores & concentrates,tonnes (metric),1970,4670316.0
Japan,imports,nickel,Oxides,tonnes (metric),1970,
Japan,imports,nickel,Scrap,tonnes (metric),1970,1425.0
Japan,imports,nickel,Unwrought,tonnes (metric),1970,10136.0
Japan,imports,nickel,Unwrought alloys,tonnes (metric),1970,1294.0
Korea (Rep. of),imports,nickel,Scrap,tonnes (metric),1970,
Korea (Rep. of),imports,nickel,Unwrought,tonnes (metric),1970,
Malaysia,imports,nickel,Unwrought,tonnes (metric),1970,
Mexico,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Mexico,imports,nickel,Oxides,tonnes (metric),1970,165.0
Mexico,imports,nickel,Unwrought,tonnes (metric),1970,490.0
Netherlands,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Netherlands,imports,nickel,Oxides,tonnes (metric),1970,1300.0
Netherlands,imports,nickel,Scrap,tonnes (metric),1970,2600.0
Netherlands,imports,nickel,Unwrought,tonnes (metric),1970,2881.0
Netherlands,imports,nickel,Unwrought alloys,tonnes (metric),1970,622.0
New Zealand,imports,nickel,Unwrought,tonnes (metric),1970,28.0
Norway,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,94575.0
Norway,imports,nickel,Ores & concentrates,tonnes (metric),1970,
Norway,imports,nickel,Scrap,tonnes (metric),1970,244.0
Norway,imports,nickel,Unwrought,tonnes (metric),1970,
Portugal,imports,nickel,Unwrought,tonnes (metric),1970,
South Africa,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
South Africa,imports,nickel,Scrap,tonnes (metric),1970,
South Africa,imports,nickel,Unwrought,tonnes (metric),1970,
Spain,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,355.0
Spain,imports,nickel,Unwrought,tonnes (metric),1970,2567.0
Sweden,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,2139.0
Sweden,imports,nickel,Scrap,tonnes (metric),1970,1266.0
Sweden,imports,nickel,Unwrought,tonnes (metric),1970,18347.0
Sweden,imports,nickel,Unwrought alloys,tonnes (metric),1970,371.0
Switzerland,imports,nickel,Unwrought,tonnes (metric),1970,2328.0
Switzerland,imports,nickel,"Unwrought, mattes, sinters etc",tonnes (metric),1970,
Taiwan,imports,nickel,Unwrought,tonnes (metric),1970,291.0
USA,imports,nickel,Ores & concentrates,tonnes (metric),1970,16.0
USA,imports,nickel,Oxides,tonnes (metric),1970,
USA,imports,nickel,Scrap,tonnes (metric),1970,1950.0
USA,imports,nickel,"Slurry, mattes, sinters etc",tonnes (metric),1970,
USA,imports,nickel,Unwrought,tonnes (metric),1970,106478.0
United Kingdom,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,73366.0
United Kingdom,imports,nickel,Oxides,tonnes (metric),1970,1392.0
United Kingdom,imports,nickel,Scrap,tonnes (metric),1970,4964.0
United Kingdom,imports,nickel,Unwrought,tonnes (metric),1970,34537.0
United Kingdom,imports,nickel,Unwrought alloys,tonnes (metric),1970,520.0
Venezuela,imports,nickel,Unwrought,tonnes (metric),1970,
Yugoslavia,imports,nickel,Unwrought,tonnes (metric),1970,522.0
Australia,imports,nickel,Scrap,tonnes (metric),1970,
Austria,imports,nickel,Oxides,tonnes (metric),1970,
Belgium-Luxembourg,imports,nickel,Ores & concentrates,tonnes (metric),1970,
Canada,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Canada,imports,nickel,Ores & concentrates,tonnes (metric),1970,
Canada,imports,nickel,Scrap,tonnes (metric),1970,
China,imports,nickel,Unwrought,tonnes (metric),1970,
Germany,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Germany,imports,nickel,Oxides,tonnes (metric),1970,
Germany,imports,nickel,Scrap,tonnes (metric),1970,
Germany,imports,nickel,Unwrought,tonnes (metric),1970,
India,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
Korea (Rep. of),imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
"Korea, Dem. P.R. of",imports,nickel,Unwrought,tonnes (metric),1970,
Pakistan,imports,nickel,Unwrought,tonnes (metric),1970,
Singapore,imports,nickel,"Mattes, sinters etc",tonnes (metric),1970,
