Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,imports,phosphate_rock,nan,tonnes (metric),1970,2691833.0
Austria,imports,phosphate_rock,nan,tonnes (metric),1970,264598.0
Bangladesh,imports,phosphate_rock,nan,tonnes (metric),1970,
Belgium-Luxembourg,imports,phosphate_rock,nan,tonnes (metric),1970,1900461.0
Brazil,imports,phosphate_rock,nan,tonnes (metric),1970,0.0
Bulgaria,imports,phosphate_rock,nan,tonnes (metric),1970,
Canada,imports,phosphate_rock,nan,tonnes (metric),1970,825001.0
China,imports,phosphate_rock,nan,tonnes (metric),1970,
Colombia,imports,phosphate_rock,nan,tonnes (metric),1970,37237.0
Czechoslovakia,imports,phosphate_rock,nan,tonnes (metric),1970,
Denmark,imports,phosphate_rock,nan,tonnes (metric),1970,318665.0
Finland,imports,phosphate_rock,nan,tonnes (metric),1970,394419.0
France,imports,phosphate_rock,nan,tonnes (metric),1970,3549291.0
German Democratic Rep,imports,phosphate_rock,nan,tonnes (metric),1970,488400.0
German Federal Republic,imports,phosphate_rock,nan,tonnes (metric),1970,2802018.0
Greece,imports,phosphate_rock,nan,tonnes (metric),1970,178741.0
Hungary,imports,phosphate_rock,nan,tonnes (metric),1970,603540.0
India,imports,phosphate_rock,nan,tonnes (metric),1970,3125006.0
"Ireland, Republic of",imports,phosphate_rock,nan,tonnes (metric),1970,385382.0
Italy,imports,phosphate_rock,nan,tonnes (metric),1970,2103890.0
Ivory Coast,imports,phosphate_rock,nan,tonnes (metric),1970,
Japan,imports,phosphate_rock,nan,tonnes (metric),1970,
Korea (Rep. of),imports,phosphate_rock,Calcium phosphates,tonnes (metric),1970,530000.0
Korea (Rep. of),imports,phosphate_rock,nan,tonnes (metric),1970,
"Korea, Dem. P.R. of",imports,phosphate_rock,nan,tonnes (metric),1970,
Lebanon,imports,phosphate_rock,Calcium phosphates,tonnes (metric),1970,143037.0
Lebanon,imports,phosphate_rock,nan,tonnes (metric),1970,
Madagascar,imports,phosphate_rock,nan,tonnes (metric),1970,496.0
Malaysia,imports,phosphate_rock,nan,tonnes (metric),1970,92559.0
Mauritius,imports,phosphate_rock,Guano                                             ,tonnes (metric),1970,8703.0
Mexico,imports,phosphate_rock,nan,tonnes (metric),1970,123317.0
Mozambique,imports,phosphate_rock,nan,tonnes (metric),1970,32.0
Netherlands,imports,phosphate_rock,nan,tonnes (metric),1970,1582695.0
New Zealand,imports,phosphate_rock,nan,tonnes (metric),1970,1070885.0
Nigeria,imports,phosphate_rock,nan,tonnes (metric),1970,
Norway,imports,phosphate_rock,nan,tonnes (metric),1970,369184.0
Pakistan,imports,phosphate_rock,nan,tonnes (metric),1970,
