Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Argentina,imports,platinum_group_metals,Other platinum metals                             ,kilograms,1970,
Argentina,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,48.0
Argentina,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,27.0
Australia,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,360.0
Australia,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,5.0
Austria,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,473.0
Belgium-Luxembourg,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
Belgium-Luxembourg,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,
Brazil,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,
Brazil,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,28.0
Bulgaria,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Canada,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,1889.0
China,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Costa Rica,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,250.0
Czechoslovakia,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Denmark,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Ecuador,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Finland,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,56.0
Finland,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
France,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,2056.0
France,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,3157.0
France,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,
France,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
German Democratic Rep,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
German Federal Republic,imports,platinum_group_metals,Other platinum metals                             ,kilograms,1970,
German Federal Republic,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,
German Federal Republic,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
German Federal Republic,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,20069.0
German Federal Republic,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Hong Kong,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,2294.0
Hong Kong,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Hungary,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
India,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,171.0
Iran,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,40.0
Iran,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
"Ireland, Republic of",imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Israel,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,
Italy,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,1986.0
Italy,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,1599.0
Japan,imports,platinum_group_metals,Other platinum metals                             ,kilograms,1970,557.0
Japan,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,19679.0
Japan,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,14474.0
Japan,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,
Japan,imports,platinum_group_metals,Rhodium                                           ,kilograms,1970,456.0
Korea (Rep. of),imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
Korea (Rep. of),imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Korea (Rep. of),imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,
Lebanon,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,113.0
Libya,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,1035.0
Malaysia,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,29.0
Mexico,imports,platinum_group_metals,Other platinum metals                             ,kilograms,1970,
Mexico,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,131.0
Mexico,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,51.0
Netherlands,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,689.0
Netherlands,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,
New Zealand,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,57.0
Nigeria,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,1451.0
Norway,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,21.0
Norway,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Poland,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Portugal,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Romania,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Singapore,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,114.0
South Africa,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,57.0
South Africa,imports,platinum_group_metals,Platinum metals                                   ,kilograms,1970,42.0
South Africa,imports,platinum_group_metals,Sponge,kilograms,1970,0.0
Spain,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Sweden,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Switzerland,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,2226.0
Taiwan,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,3.0
Thailand,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,76.0
Trinidad & Tobago,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Tunisia,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,12.0
Turkey,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,931.0
USA,imports,platinum_group_metals,Ores & concentrates                               ,kilograms,1970,20.0
USA,imports,platinum_group_metals,Other platinum metals                             ,kilograms,1970,1198.0
USA,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,8402.0
USA,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
USA,imports,platinum_group_metals,Rhodium                                           ,kilograms,1970,1201.0
USA,imports,platinum_group_metals,Ruthenium,kilograms,1970,
USA,imports,platinum_group_metals,Sponge,kilograms,1970,11664.0
USA,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
United Kingdom,imports,platinum_group_metals,Other platinum metals                             ,kilograms,1970,
United Kingdom,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,
United Kingdom,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
United Kingdom,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,5692.0
United Kingdom,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Venezuela,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,51.0
Yugoslavia,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,
Yugoslavia,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
Yugoslavia,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,851.0
Zambia,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,24.0
Cyprus,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Germany,imports,platinum_group_metals,Other platinum metals                             ,kilograms,1970,
Germany,imports,platinum_group_metals,Palladium                                         ,kilograms,1970,
Germany,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
Germany,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Greece,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
India,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Indonesia,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Italy,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Japan,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Jordan,imports,platinum_group_metals,Platinum                                          ,kilograms,1970,
Mexico,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Netherlands,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Qatar,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
Singapore,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
South Africa,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Spain,imports,platinum_group_metals,Waste & scrap                                     ,kilograms,1970,
Switzerland,imports,platinum_group_metals,Platinum & platinum metals                        ,kilograms,1970,
