Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,potash,Chloride                                          ,tonnes (metric),1970,11975.0
Algeria,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Algeria,imports,potash,Sulphate                                          ,tonnes (metric),1970,29816.0
Angola,imports,potash,Chloride                                          ,tonnes (metric),1970,435.0
Angola,imports,potash,Sulphate                                          ,tonnes (metric),1970,626.0
Argentina,imports,potash,Carbonate,tonnes (metric),1970,780.0
Argentina,imports,potash,Caustic potash,tonnes (metric),1970,1181.0
Argentina,imports,potash,Chlorate,tonnes (metric),1970,696.0
Argentina,imports,potash,Chloride                                          ,tonnes (metric),1970,8557.0
Argentina,imports,potash,Nitrate                                           ,tonnes (metric),1970,142.0
Argentina,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Argentina,imports,potash,Sulphate                                          ,tonnes (metric),1970,3220.0
Australia,imports,potash,Carbonate,tonnes (metric),1970,1700.0
Australia,imports,potash,Caustic potash,tonnes (metric),1970,1989.0
Australia,imports,potash,Chloride                                          ,tonnes (metric),1970,111946.0
Australia,imports,potash,Nitrate                                           ,tonnes (metric),1970,5270.0
Australia,imports,potash,Other potassic chemicals,tonnes (metric),1970,457.0
Australia,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,5970.0
Australia,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Australia,imports,potash,Sulphate                                          ,tonnes (metric),1970,17357.0
Austria,imports,potash,Carbonate,tonnes (metric),1970,1125.0
Austria,imports,potash,Caustic potash,tonnes (metric),1970,659.0
Austria,imports,potash,Chloride                                          ,tonnes (metric),1970,220446.0
Austria,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,77738.0
Austria,imports,potash,Nitrate                                           ,tonnes (metric),1970,854.0
Austria,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Austria,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Austria,imports,potash,Sulphate                                          ,tonnes (metric),1970,18274.0
Barbados,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,812.0
Barbados,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Belgium-Luxembourg,imports,potash,Carbonate,tonnes (metric),1970,5552.0
Belgium-Luxembourg,imports,potash,Caustic potash,tonnes (metric),1970,
Belgium-Luxembourg,imports,potash,Chlorate,tonnes (metric),1970,626.0
Belgium-Luxembourg,imports,potash,Chloride                                          ,tonnes (metric),1970,667221.0
Belgium-Luxembourg,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,14346.0
Belgium-Luxembourg,imports,potash,Nitrate                                           ,tonnes (metric),1970,2002.0
Belgium-Luxembourg,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Belgium-Luxembourg,imports,potash,Sulphate                                          ,tonnes (metric),1970,16157.0
Belize,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,326.0
Brazil,imports,potash,Carbonate,tonnes (metric),1970,2524.0
Brazil,imports,potash,Caustic potash,tonnes (metric),1970,2251.0
Brazil,imports,potash,Chlorate,tonnes (metric),1970,4.0
Brazil,imports,potash,Chloride                                          ,tonnes (metric),1970,491699.0
Brazil,imports,potash,Nitrate                                           ,tonnes (metric),1970,9634.0
Brazil,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Brazil,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Brazil,imports,potash,Sulphate                                          ,tonnes (metric),1970,16280.0
Brunei,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Bulgaria,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,
Burkina Faso,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,2276.0
Cameroon,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,1401.0
Cameroon,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,3442.0
Canada,imports,potash,Carbonate,tonnes (metric),1970,992.0
Canada,imports,potash,Caustic potash,tonnes (metric),1970,1647.0
Canada,imports,potash,Chloride                                          ,tonnes (metric),1970,21249.0
Canada,imports,potash,Nitrate                                           ,tonnes (metric),1970,2680.0
Canada,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,24678.0
Canada,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Canada,imports,potash,Sulphate                                          ,tonnes (metric),1970,18550.0
Central African Republic,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,1342.0
Chile,imports,potash,Caustic potash,tonnes (metric),1970,158.0
Chile,imports,potash,Chlorate,tonnes (metric),1970,64.0
Chile,imports,potash,Chloride                                          ,tonnes (metric),1970,23053.0
Chile,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,13139.0
Chile,imports,potash,Sulphate                                          ,tonnes (metric),1970,10408.0
China,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Colombia,imports,potash,Carbonate,tonnes (metric),1970,74.0
Colombia,imports,potash,Caustic potash,tonnes (metric),1970,159.0
Colombia,imports,potash,Chlorate,tonnes (metric),1970,388.0
Colombia,imports,potash,Chloride                                          ,tonnes (metric),1970,38217.0
Colombia,imports,potash,Nitrate                                           ,tonnes (metric),1970,480.0
Colombia,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Colombia,imports,potash,Sulphate                                          ,tonnes (metric),1970,19118.0
Costa Rica,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,21401.0
Costa Rica,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Cuba,imports,potash,Chloride                                          ,tonnes (metric),1970,
Cuba,imports,potash,Sulphate                                          ,tonnes (metric),1970,
Cyprus,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,853.0
Cyprus,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Czechoslovakia,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,526000.0
Denmark,imports,potash,Carbonate,tonnes (metric),1970,346.0
Denmark,imports,potash,Caustic potash,tonnes (metric),1970,1425.0
Denmark,imports,potash,Chlorate,tonnes (metric),1970,106.0
Denmark,imports,potash,Chloride                                          ,tonnes (metric),1970,217855.0
Denmark,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,
Denmark,imports,potash,Nitrate                                           ,tonnes (metric),1970,1397.0
Denmark,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Denmark,imports,potash,Sulphate                                          ,tonnes (metric),1970,9289.0
Dominica,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Dominican Republic,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Dominican Republic,imports,potash,Sulphate                                          ,tonnes (metric),1970,
Ecuador,imports,potash,Chloride                                          ,tonnes (metric),1970,
Ecuador,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Egypt,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
El Salvador,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,3564.0
El Salvador,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Fiji,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Finland,imports,potash,Carbonate,tonnes (metric),1970,979.0
Finland,imports,potash,Caustic potash,tonnes (metric),1970,317.0
Finland,imports,potash,Chlorate,tonnes (metric),1970,269.0
Finland,imports,potash,Chloride                                          ,tonnes (metric),1970,201124.0
Finland,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,15.0
Finland,imports,potash,Nitrate                                           ,tonnes (metric),1970,947.0
Finland,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Finland,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Finland,imports,potash,Sulphate                                          ,tonnes (metric),1970,18320.0
France,imports,potash,Caustic potash,tonnes (metric),1970,216.0
France,imports,potash,Chloride                                          ,tonnes (metric),1970,110803.0
France,imports,potash,Nitrate                                           ,tonnes (metric),1970,7467.0
France,imports,potash,Other potassic chemicals,tonnes (metric),1970,11203.0
France,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
France,imports,potash,Sulphate                                          ,tonnes (metric),1970,75532.0
Gabon,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,
Gabon,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
German Federal Republic,imports,potash,Carbonate,tonnes (metric),1970,3470.0
German Federal Republic,imports,potash,Caustic potash,tonnes (metric),1970,5774.0
German Federal Republic,imports,potash,Chlorate,tonnes (metric),1970,721.0
German Federal Republic,imports,potash,Chloride                                          ,tonnes (metric),1970,22528.0
German Federal Republic,imports,potash,Nitrate                                           ,tonnes (metric),1970,3564.0
German Federal Republic,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Ghana,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,140.0
Ghana,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,342.0
Greece,imports,potash,Carbonate,tonnes (metric),1970,1755.0
Greece,imports,potash,Caustic potash,tonnes (metric),1970,107.0
Greece,imports,potash,Nitrate                                           ,tonnes (metric),1970,549.0
Greece,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Greece,imports,potash,Sulphate                                          ,tonnes (metric),1970,20507.0
Guadeloupe,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Guatemala,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,205.0
Guatemala,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Guyana,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,
Guyana,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Guyana,imports,potash,Sulphate                                          ,tonnes (metric),1970,2559.0
Honduras,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,5916.0
Honduras,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Hong Kong,imports,potash,Carbonate,tonnes (metric),1970,90.0
Hong Kong,imports,potash,Caustic potash,tonnes (metric),1970,
Hong Kong,imports,potash,Chlorate,tonnes (metric),1970,5.0
Hong Kong,imports,potash,Nitrate                                           ,tonnes (metric),1970,605.0
Hong Kong,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,9.0
Hong Kong,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Hong Kong,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Hungary,imports,potash,Caustic potash,tonnes (metric),1970,
Hungary,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,604761.0
Hungary,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Hungary,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Iceland,imports,potash,Carbonate,tonnes (metric),1970,208.0
Iceland,imports,potash,Caustic potash,tonnes (metric),1970,28.0
Iceland,imports,potash,Chloride                                          ,tonnes (metric),1970,
Iceland,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,5355.0
Iceland,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Iceland,imports,potash,Sulphate                                          ,tonnes (metric),1970,
India,imports,potash,Carbonate,tonnes (metric),1970,245.0
India,imports,potash,Caustic potash,tonnes (metric),1970,13.0
India,imports,potash,Chloride                                          ,tonnes (metric),1970,56036.0
India,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,30909.0
India,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
India,imports,potash,Sulphate                                          ,tonnes (metric),1970,20582.0
Indonesia,imports,potash,Caustic potash,tonnes (metric),1970,
Indonesia,imports,potash,Nitrate                                           ,tonnes (metric),1970,
Indonesia,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Indonesia,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Indonesia,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,13825.0
Indonesia,imports,potash,Sulphate                                          ,tonnes (metric),1970,
Iran,imports,potash,Carbonate,tonnes (metric),1970,68.0
Iran,imports,potash,Caustic potash,tonnes (metric),1970,46.0
Iran,imports,potash,Chlorate,tonnes (metric),1970,266.0
Iran,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,
Iran,imports,potash,Nitrate                                           ,tonnes (metric),1970,
Iran,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
"Ireland, Republic of",imports,potash,Caustic potash,tonnes (metric),1970,333.0
"Ireland, Republic of",imports,potash,Chloride                                          ,tonnes (metric),1970,244773.0
"Ireland, Republic of",imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
"Ireland, Republic of",imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
"Ireland, Republic of",imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
"Ireland, Republic of",imports,potash,Sulphate                                          ,tonnes (metric),1970,
Italy,imports,potash,Carbonate,tonnes (metric),1970,7489.0
Italy,imports,potash,Caustic potash,tonnes (metric),1970,449.0
Italy,imports,potash,Chloride                                          ,tonnes (metric),1970,217319.0
Italy,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,44963.0
Italy,imports,potash,Nitrate                                           ,tonnes (metric),1970,4898.0
Italy,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Italy,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Italy,imports,potash,Sulphate                                          ,tonnes (metric),1970,21657.0
Ivory Coast,imports,potash,Caustic potash,tonnes (metric),1970,40.0
Ivory Coast,imports,potash,Chloride                                          ,tonnes (metric),1970,
Ivory Coast,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Ivory Coast,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Ivory Coast,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,24214.0
Ivory Coast,imports,potash,Sulphate                                          ,tonnes (metric),1970,
Jamaica,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,12547.0
Jamaica,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Japan,imports,potash,Chloride                                          ,tonnes (metric),1970,1230225.0
Japan,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,25158.0
Japan,imports,potash,Other potassic fertilisers                        ,tonnes (metric),1970,
Japan,imports,potash,Potassic chemicals                                ,tonnes (metric),1970,
Japan,imports,potash,Sulphate                                          ,tonnes (metric),1970,77465.0
Jordan,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,4357.0
Jordan,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Kenya,imports,potash,Fertiliser salts                                  ,tonnes (metric),1970,4113.0
Kenya,imports,potash,Potassic fertilisers                              ,tonnes (metric),1970,
Korea (Rep. of),imports,potash,Carbonate,tonnes (metric),1970,
