Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Argentina,imports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
Argentina,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Argentina,imports,rare_earths,Metals                                            ,tonnes (metric),1970,
Argentina,imports,rare_earths,Other rare earth compounds                        ,tonnes (metric),1970,
Austria,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Austria,imports,rare_earths,Metals                                            ,tonnes (metric),1970,
Belgium-Luxembourg,imports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
Belgium-Luxembourg,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Belgium-Luxembourg,imports,rare_earths,Metals                                            ,tonnes (metric),1970,
Belgium-Luxembourg,imports,rare_earths,Other rare earth compounds                        ,tonnes (metric),1970,
Brazil,imports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
Brazil,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Brazil,imports,rare_earths,Metals                                            ,tonnes (metric),1970,
Brazil,imports,rare_earths,Other rare earth compounds                        ,tonnes (metric),1970,
Denmark,imports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
Denmark,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Finland,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
France,imports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
France,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
France,imports,rare_earths,Metals                                            ,tonnes (metric),1970,
France,imports,rare_earths,Other rare earth compounds                        ,tonnes (metric),1970,
German Federal Republic,imports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
German Federal Republic,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
German Federal Republic,imports,rare_earths,Metals                                            ,tonnes (metric),1970,
German Federal Republic,imports,rare_earths,Other rare earth compounds                        ,tonnes (metric),1970,
Hong Kong,imports,rare_earths,Rare earth compounds                              ,tonnes (metric),1970,
Indonesia,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Italy,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,tonnes (metric),1970,
Italy,imports,rare_earths,Metals                                            ,tonnes (metric),1970,
Japan,imports,rare_earths,Cerium compounds                                  ,tonnes (metric),1970,
