Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Afghanistan,imports,salt,nan,tonnes (metric),1970,1893.0
Angola,imports,salt,nan,tonnes (metric),1970,1570.0
Australia,imports,salt,Other salt,tonnes (metric),1970,8235.0
Australia,imports,salt,Refined salt,tonnes (metric),1970,16.0
Australia,imports,salt,nan,tonnes (metric),1970,
Austria,imports,salt,nan,tonnes (metric),1970,1959.0
Bahamas,imports,salt,Crude salt,tonnes (metric),1970,40277.0
Bahamas,imports,salt,Refined salt,tonnes (metric),1970,424.0
Bahamas,imports,salt,nan,tonnes (metric),1970,
Bahrain,imports,salt,nan,tonnes (metric),1970,
Barbados,imports,salt,nan,tonnes (metric),1970,2319.0
Belgium-Luxembourg,imports,salt,Common salt,tonnes (metric),1970,1275137.0
Belgium-Luxembourg,imports,salt,Refined salt,tonnes (metric),1970,139086.0
Belgium-Luxembourg,imports,salt,nan,tonnes (metric),1970,
Belize,imports,salt,nan,tonnes (metric),1970,659.0
Benin,imports,salt,nan,tonnes (metric),1970,8903.0
Brazil,imports,salt,nan,tonnes (metric),1970,6.0
Brunei,imports,salt,nan,tonnes (metric),1970,1010.0
Bulgaria,imports,salt,nan,tonnes (metric),1970,
Burkina Faso,imports,salt,nan,tonnes (metric),1970,13364.0
Burundi,imports,salt,nan,tonnes (metric),1970,
Cameroon,imports,salt,nan,tonnes (metric),1970,21434.0
Canada,imports,salt,nan,tonnes (metric),1970,560659.0
Central African Republic,imports,salt,nan,tonnes (metric),1970,4251.0
Chad,imports,salt,nan,tonnes (metric),1970,3946.0
Colombia,imports,salt,nan,tonnes (metric),1970,13263.0
Congo,imports,salt,nan,tonnes (metric),1970,2513.0
Costa Rica,imports,salt,nan,tonnes (metric),1970,9637.0
Cyprus,imports,salt,nan,tonnes (metric),1970,378.0
Czechoslovakia,imports,salt,nan,tonnes (metric),1970,
Denmark,imports,salt,nan,tonnes (metric),1970,454045.0
Dominica,imports,salt,nan,tonnes (metric),1970,425.0
Faeroe Islands,imports,salt,nan,tonnes (metric),1970,16234.0
Fiji,imports,salt,nan,tonnes (metric),1970,2041.0
Finland,imports,salt,nan,tonnes (metric),1970,490416.0
France,imports,salt,nan,tonnes (metric),1970,50532.0
France (French Guiana),imports,salt,nan,tonnes (metric),1970,288.0
Gabon,imports,salt,nan,tonnes (metric),1970,3284.0
German Federal Republic,imports,salt,Other salt,tonnes (metric),1970,50759.0
German Federal Republic,imports,salt,Refined salt,tonnes (metric),1970,5526.0
German Federal Republic,imports,salt,nan,tonnes (metric),1970,
Ghana,imports,salt,nan,tonnes (metric),1970,2571.0
Greece,imports,salt,nan,tonnes (metric),1970,57959.0
Greenland,imports,salt,nan,tonnes (metric),1970,2752.0
Grenada,imports,salt,nan,tonnes (metric),1970,
Guadeloupe,imports,salt,nan,tonnes (metric),1970,2139.0
Guatemala,imports,salt,nan,tonnes (metric),1970,6697.0
Guyana,imports,salt,Refined salt,tonnes (metric),1970,3266.0
Guyana,imports,salt,Rock salt,tonnes (metric),1970,3.0
Guyana,imports,salt,nan,tonnes (metric),1970,
Honduras,imports,salt,nan,tonnes (metric),1970,0.0
Hong Kong,imports,salt,nan,tonnes (metric),1970,36550.0
Hungary,imports,salt,nan,tonnes (metric),1970,
Iceland,imports,salt,Common salt,tonnes (metric),1970,42588.0
Iceland,imports,salt,Refined salt,tonnes (metric),1970,340.0
Iceland,imports,salt,nan,tonnes (metric),1970,
India,imports,salt,nan,tonnes (metric),1970,231.0
Indonesia,imports,salt,nan,tonnes (metric),1970,9620.0
Iran,imports,salt,nan,tonnes (metric),1970,112.0
Iraq,imports,salt,nan,tonnes (metric),1970,407.0
"Ireland, Republic of",imports,salt,Other salt,tonnes (metric),1970,
"Ireland, Republic of",imports,salt,Refined salt,tonnes (metric),1970,
"Ireland, Republic of",imports,salt,nan,tonnes (metric),1970,337678.0
Italy,imports,salt,nan,tonnes (metric),1970,7526.0
Ivory Coast,imports,salt,nan,tonnes (metric),1970,24772.0
Jamaica,imports,salt,Other salt,tonnes (metric),1970,6052.0
Jamaica,imports,salt,Rock salt,tonnes (metric),1970,9224.0
Jamaica,imports,salt,nan,tonnes (metric),1970,
Japan,imports,salt,nan,tonnes (metric),1970,6489666.0
Jordan,imports,salt,nan,tonnes (metric),1970,
Kenya,imports,salt,nan,tonnes (metric),1970,2404.0
Korea (Rep. of),imports,salt,nan,tonnes (metric),1970,247489.0
Kuwait,imports,salt,nan,tonnes (metric),1970,3924.0
Laos,imports,salt,nan,tonnes (metric),1970,1574.0
Liberia,imports,salt,nan,tonnes (metric),1970,3049.0
Libya,imports,salt,nan,tonnes (metric),1970,50.0
Madagascar,imports,salt,nan,tonnes (metric),1970,969.0
Malawi,imports,salt,nan,tonnes (metric),1970,10168.0
Malaysia,imports,salt,nan,tonnes (metric),1970,94234.0
Mali,imports,salt,nan,tonnes (metric),1970,16000.0
Malta,imports,salt,Other salt,tonnes (metric),1970,245.0
Malta,imports,salt,nan,tonnes (metric),1970,
Martinique,imports,salt,nan,tonnes (metric),1970,2502.0
Mauritius,imports,salt,nan,tonnes (metric),1970,200.0
Mexico,imports,salt,nan,tonnes (metric),1970,623.0
Morocco,imports,salt,nan,tonnes (metric),1970,0.0
Mozambique,imports,salt,nan,tonnes (metric),1970,683.0
Netherlands,imports,salt,nan,tonnes (metric),1970,416619.0
New Caledonia,imports,salt,nan,tonnes (metric),1970,
New Hebrides,imports,salt,nan,tonnes (metric),1970,273.0
New Zealand,imports,salt,nan,tonnes (metric),1970,37423.0
Nicaragua,imports,salt,nan,tonnes (metric),1970,15004.0
Niger,imports,salt,nan,tonnes (metric),1970,13281.0
Nigeria,imports,salt,nan,tonnes (metric),1970,143638.0
Norway,imports,salt,Common salt,tonnes (metric),1970,193858.0
Norway,imports,salt,Refined salt,tonnes (metric),1970,145734.0
Norway,imports,salt,nan,tonnes (metric),1970,
Oman,imports,salt,nan,tonnes (metric),1970,
Panama,imports,salt,nan,tonnes (metric),1970,5186.0
Papua New Guinea,imports,salt,nan,tonnes (metric),1970,3046.0
Paraguay,imports,salt,nan,tonnes (metric),1970,22739.0
Peru,imports,salt,nan,tonnes (metric),1970,
Philippines,imports,salt,Crude salt,tonnes (metric),1970,1914.0
Philippines,imports,salt,Refined salt,tonnes (metric),1970,111.0
Philippines,imports,salt,nan,tonnes (metric),1970,
Portugal,imports,salt,nan,tonnes (metric),1970,3087.0
Qatar,imports,salt,nan,tonnes (metric),1970,
Reunion,imports,salt,nan,tonnes (metric),1970,2476.0
Rwanda,imports,salt,nan,tonnes (metric),1970,
Saudi Arabia,imports,salt,nan,tonnes (metric),1970,2123.0
Seychelles,imports,salt,nan,tonnes (metric),1970,790.0
Sierra Leone,imports,salt,nan,tonnes (metric),1970,10445.0
Singapore,imports,salt,nan,tonnes (metric),1970,42203.0
Solomon Islands,imports,salt,nan,tonnes (metric),1970,
South Africa,imports,salt,nan,tonnes (metric),1970,2677.0
Soviet Union,imports,salt,nan,tonnes (metric),1970,
Spain,imports,salt,nan,tonnes (metric),1970,1182.0
St. Kitts - Nevis,imports,salt,nan,tonnes (metric),1970,136.0
St. Lucia,imports,salt,Common salt,tonnes (metric),1970,836.0
St. Lucia,imports,salt,Refined salt,tonnes (metric),1970,140.0
St. Lucia,imports,salt,nan,tonnes (metric),1970,
St. Pierre & Miquelon,imports,salt,nan,tonnes (metric),1970,2659.0
St. Vincent & Grenadines,imports,salt,Other salt,tonnes (metric),1970,287.0
St. Vincent & Grenadines,imports,salt,Refined salt,tonnes (metric),1970,2424.0
St. Vincent & Grenadines,imports,salt,nan,tonnes (metric),1970,
Suriname,imports,salt,nan,tonnes (metric),1970,1498.0
Sweden,imports,salt,nan,tonnes (metric),1970,1102412.0
Switzerland,imports,salt,nan,tonnes (metric),1970,3034.0
Syria,imports,salt,nan,tonnes (metric),1970,9741.0
Taiwan,imports,salt,nan,tonnes (metric),1970,
Tanzania,imports,salt,nan,tonnes (metric),1970,10421.0
Thailand,imports,salt,nan,tonnes (metric),1970,
The Canary Islands,imports,salt,nan,tonnes (metric),1970,
Togo,imports,salt,nan,tonnes (metric),1970,9981.0
Trinidad & Tobago,imports,salt,Refined salt,tonnes (metric),1970,7891.0
Trinidad & Tobago,imports,salt,Rock salt,tonnes (metric),1970,2799.0
Trinidad & Tobago,imports,salt,nan,tonnes (metric),1970,
Turkey,imports,salt,nan,tonnes (metric),1970,
USA,imports,salt,nan,tonnes (metric),1970,3207806.0
Uganda,imports,salt,nan,tonnes (metric),1970,21728.0
United Arab Emirates,imports,salt,nan,tonnes (metric),1970,
United Kingdom,imports,salt,Common salt,tonnes (metric),1970,92786.0
United Kingdom,imports,salt,Other salt,tonnes (metric),1970,47786.0
United Kingdom,imports,salt,nan,tonnes (metric),1970,
Uruguay,imports,salt,nan,tonnes (metric),1970,61503.0
Vanuatu,imports,salt,nan,tonnes (metric),1970,
Venezuela,imports,salt,nan,tonnes (metric),1970,
Western Samoa,imports,salt,nan,tonnes (metric),1970,440.0
Yugoslavia,imports,salt,nan,tonnes (metric),1970,145445.0
Zaire,imports,salt,nan,tonnes (metric),1970,41385.0
Zambia,imports,salt,nan,tonnes (metric),1970,13345.0
Zimbabwe,imports,salt,nan,tonnes (metric),1970,
Abu Dhabi,imports,salt,nan,tonnes (metric),1970,
Algeria,imports,salt,nan,tonnes (metric),1970,
Bangladesh,imports,salt,nan,tonnes (metric),1970,
Botswana,imports,salt,nan,tonnes (metric),1970,
Chile,imports,salt,nan,tonnes (metric),1970,
China,imports,salt,nan,tonnes (metric),1970,
Egypt,imports,salt,nan,tonnes (metric),1970,
El Salvador,imports,salt,nan,tonnes (metric),1970,
Germany,imports,salt,nan,tonnes (metric),1970,
"Korea, Dem. P.R. of",imports,salt,nan,tonnes (metric),1970,
Macao,imports,salt,nan,tonnes (metric),1970,
Netherlands Antilles,imports,salt,nan,tonnes (metric),1970,
Albania,imports,salt,nan,tonnes (metric),1970,
Azerbaijan,imports,salt,nan,tonnes (metric),1970,
Belarus,imports,salt,nan,tonnes (metric),1970,
Croatia,imports,salt,nan,tonnes (metric),1970,
Czech Republic,imports,salt,nan,tonnes (metric),1970,
Dubai,imports,salt,nan,tonnes (metric),1970,
