Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Albania,imports,talc,nan,tonnes (metric),1970,
Algeria,imports,talc,nan,tonnes (metric),1970,4435.0
Argentina,imports,talc,nan,tonnes (metric),1970,584.0
Australia,imports,talc,nan,tonnes (metric),1970,2968.0
Austria,imports,talc,nan,tonnes (metric),1970,1049.0
Belgium-Luxembourg,imports,talc,nan,tonnes (metric),1970,39730.0
Brazil,imports,talc,nan,tonnes (metric),1970,91.0
Cameroon,imports,talc,nan,tonnes (metric),1970,340.0
Canada,imports,talc,nan,tonnes (metric),1970,29999.0
Chile,imports,talc,nan,tonnes (metric),1970,268.0
Colombia,imports,talc,nan,tonnes (metric),1970,1270.0
Costa Rica,imports,talc,nan,tonnes (metric),1970,333.0
Cyprus,imports,talc,nan,tonnes (metric),1970,518.0
Denmark,imports,talc,nan,tonnes (metric),1970,
Dominican Republic,imports,talc,nan,tonnes (metric),1970,
Ecuador,imports,talc,nan,tonnes (metric),1970,
Egypt,imports,talc,nan,tonnes (metric),1970,
El Salvador,imports,talc,nan,tonnes (metric),1970,129.0
Finland,imports,talc,nan,tonnes (metric),1970,6159.0
France,imports,talc,nan,tonnes (metric),1970,10191.0
German Federal Republic,imports,talc,nan,tonnes (metric),1970,97878.0
Ghana,imports,talc,nan,tonnes (metric),1970,1010.0
Greece,imports,talc,nan,tonnes (metric),1970,3915.0
Guatemala,imports,talc,nan,tonnes (metric),1970,295.0
Honduras,imports,talc,nan,tonnes (metric),1970,47.0
Hong Kong,imports,talc,nan,tonnes (metric),1970,2523.0
Hungary,imports,talc,nan,tonnes (metric),1970,
Indonesia,imports,talc,nan,tonnes (metric),1970,
Iran,imports,talc,nan,tonnes (metric),1970,194.0
Iraq,imports,talc,nan,tonnes (metric),1970,592.0
"Ireland, Republic of",imports,talc,nan,tonnes (metric),1970,
Israel,imports,talc,nan,tonnes (metric),1970,2603.0
Italy,imports,talc,nan,tonnes (metric),1970,17982.0
Ivory Coast,imports,talc,nan,tonnes (metric),1970,687.0
Jamaica,imports,talc,nan,tonnes (metric),1970,
Japan,imports,talc,nan,tonnes (metric),1970,158262.0
Kenya,imports,talc,nan,tonnes (metric),1970,
Lebanon,imports,talc,nan,tonnes (metric),1970,387.0
Libya,imports,talc,nan,tonnes (metric),1970,
Malaysia,imports,talc,nan,tonnes (metric),1970,3098.0
Mexico,imports,talc,Other,tonnes (metric),1970,
Mexico,imports,talc,Pyrophyllite                                      ,tonnes (metric),1970,222.0
Mexico,imports,talc,nan,tonnes (metric),1970,67287.0
Morocco,imports,talc,nan,tonnes (metric),1970,1096.0
Mozambique,imports,talc,nan,tonnes (metric),1970,
Netherlands,imports,talc,nan,tonnes (metric),1970,18839.0
New Zealand,imports,talc,nan,tonnes (metric),1970,1777.0
