Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Algeria,imports,zinc,Unwrought                                         ,tonnes (metric),1970,1212.0
Argentina,imports,zinc,Unwrought                                         ,tonnes (metric),1970,4954.0
Australia,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,0.0
Austria,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,5750.0
Austria,imports,zinc,Scrap                                             ,tonnes (metric),1970,
Austria,imports,zinc,Unwrought                                         ,tonnes (metric),1970,6642.0
Belgium-Luxembourg,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,617863.0
Belgium-Luxembourg,imports,zinc,Scrap                                             ,tonnes (metric),1970,2165.0
Belgium-Luxembourg,imports,zinc,Unwrought                                         ,tonnes (metric),1970,29226.0
Brazil,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Brazil,imports,zinc,Unwrought                                         ,tonnes (metric),1970,43977.0
Brazil,imports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
Bulgaria,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Burma,imports,zinc,Unwrought                                         ,tonnes (metric),1970,356.0
Canada,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,366.0
Canada,imports,zinc,Unwrought                                         ,tonnes (metric),1970,334.0
Chile,imports,zinc,Unwrought                                         ,tonnes (metric),1970,3788.0
China,imports,zinc,Unwrought                                         ,tonnes (metric),1970,
Colombia,imports,zinc,Unwrought                                         ,tonnes (metric),1970,5875.0
Costa Rica,imports,zinc,Unwrought                                         ,tonnes (metric),1970,1927.0
Cyprus,imports,zinc,Unwrought                                         ,tonnes (metric),1970,463.0
Czechoslovakia,imports,zinc,Unwrought                                         ,tonnes (metric),1970,
Denmark,imports,zinc,Scrap                                             ,tonnes (metric),1970,116.0
Denmark,imports,zinc,Unwrought                                         ,tonnes (metric),1970,13523.0
Denmark,imports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,1709.0
Dominican Republic,imports,zinc,Unwrought                                         ,tonnes (metric),1970,
Egypt,imports,zinc,Unwrought                                         ,tonnes (metric),1970,3490.0
Finland,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
Finland,imports,zinc,Scrap                                             ,tonnes (metric),1970,0.0
Finland,imports,zinc,Unwrought                                         ,tonnes (metric),1970,3162.0
France,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,411149.0
France,imports,zinc,Scrap                                             ,tonnes (metric),1970,17430.0
France,imports,zinc,Unwrought                                         ,tonnes (metric),1970,24768.0
France,imports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
German Democratic Rep,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,
German Democratic Rep,imports,zinc,Unwrought                                         ,tonnes (metric),1970,
German Federal Republic,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,363758.0
German Federal Republic,imports,zinc,Scrap                                             ,tonnes (metric),1970,2487.0
German Federal Republic,imports,zinc,Unwrought                                         ,tonnes (metric),1970,154958.0
German Federal Republic,imports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,
Ghana,imports,zinc,Unwrought                                         ,tonnes (metric),1970,959.0
Greece,imports,zinc,Unwrought                                         ,tonnes (metric),1970,8315.0
Guatemala,imports,zinc,Unwrought                                         ,tonnes (metric),1970,
Honduras,imports,zinc,Unwrought                                         ,tonnes (metric),1970,19.0
Hong Kong,imports,zinc,Scrap                                             ,tonnes (metric),1970,89.0
Hong Kong,imports,zinc,Unwrought                                         ,tonnes (metric),1970,8962.0
Hungary,imports,zinc,Crude & refined,tonnes (metric),1970,17823.0
Hungary,imports,zinc,Unwrought                                         ,tonnes (metric),1970,
Iceland,imports,zinc,Unwrought                                         ,tonnes (metric),1970,19.0
India,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,61114.0
India,imports,zinc,Scrap                                             ,tonnes (metric),1970,
India,imports,zinc,Unwrought                                         ,tonnes (metric),1970,63345.0
India,imports,zinc,Unwrought alloys                                  ,tonnes (metric),1970,27642.0
Indonesia,imports,zinc,Scrap                                             ,tonnes (metric),1970,
Indonesia,imports,zinc,Unwrought                                         ,tonnes (metric),1970,
Iran,imports,zinc,Unwrought                                         ,tonnes (metric),1970,3316.0
"Ireland, Republic of",imports,zinc,Scrap                                             ,tonnes (metric),1970,
"Ireland, Republic of",imports,zinc,Unwrought                                         ,tonnes (metric),1970,2767.0
Israel,imports,zinc,Unwrought                                         ,tonnes (metric),1970,3599.0
Italy,imports,zinc,Ores & concentrates                               ,tonnes (metric),1970,130563.0
