Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Afghanistan,production,asbestos,nan,tonnes (metric),1970,
Argentina,production,asbestos,nan,tonnes (metric),1970,35.0
Australia,production,asbestos,Chrysotile                                        ,tonnes (metric),1970,739.0
Brazil,production,asbestos,nan,tonnes (metric),1970,14908.0
Bulgaria,production,asbestos,nan,tonnes (metric),1970,3000.0
Canada,production,asbestos,Chrysotile                                        ,tonnes (metric),1970,1507418.0
China,production,asbestos,nan,tonnes (metric),1970,170000.0
Cyprus,production,asbestos,Chrysotile                                        ,tonnes (metric),1970,
Cyprus,production,asbestos,nan,tonnes (metric),1970,28706.0
Czechoslovakia,production,asbestos,nan,tonnes (metric),1970,
Egypt,production,asbestos,nan,tonnes (metric),1970,449.0
Eswatini (Swaziland),production,asbestos,Chrysotile                                        ,tonnes (metric),1970,
Eswatini (Swaziland),production,asbestos,nan,tonnes (metric),1970,33057.0
Finland,production,asbestos,nan,tonnes (metric),1970,13625.0
France,production,asbestos,nan,tonnes (metric),1970,710.0
India,production,asbestos,Amphibole                                         ,tonnes (metric),1970,
India,production,asbestos,nan,tonnes (metric),1970,10056.0
Italy,production,asbestos,nan,tonnes (metric),1970,118536.0
Japan,production,asbestos,Amphibole                                         ,tonnes (metric),1970,13144.0
Japan,production,asbestos,Chrysotile                                        ,tonnes (metric),1970,8130.0
Korea (Rep. of),production,asbestos,nan,tonnes (metric),1970,1372.0
Mexico,production,asbestos,nan,tonnes (metric),1970,176.0
Mozambique,production,asbestos,nan,tonnes (metric),1970,228.0
Philippines,production,asbestos,nan,tonnes (metric),1970,1213.0
Portugal,production,asbestos,nan,tonnes (metric),1970,202.0
Rhodesia,production,asbestos,Chrysotile                                        ,tonnes (metric),1970,
Rhodesia,production,asbestos,nan,tonnes (metric),1970,80000.0
South Africa,production,asbestos,Amosite                                           ,tonnes (metric),1970,97380.0
South Africa,production,asbestos,Anthophyllite,tonnes (metric),1970,0.0
South Africa,production,asbestos,Chrysotile                                        ,tonnes (metric),1970,52801.0
South Africa,production,asbestos,Crocidolite                                       ,tonnes (metric),1970,137235.0
Soviet Union,production,asbestos,nan,tonnes (metric),1970,1066000.0
Taiwan,production,asbestos,nan,tonnes (metric),1970,2842.0
Turkey,production,asbestos,nan,tonnes (metric),1970,3312.0
USA,production,asbestos,nan,tonnes (metric),1970,113683.0
Yugoslavia,production,asbestos,nan,tonnes (metric),1970,12104.0
Colombia,production,asbestos,nan,tonnes (metric),1970,
