Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,production,bentonite_and_fuller's_earth,Attapulgite                                       ,tonnes (metric),1970,
Algeria,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Algeria,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Argentina,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Argentina,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Australia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Australia,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Brazil,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Burma,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Colombia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Cyprus,production,bentonite_and_fuller's_earth,nan,tonnes (metric),1970,
Egypt,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
France,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Greece,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Hungary,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
India,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
India,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Iran,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Israel,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Italy,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Italy,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Japan,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Mexico,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Mexico,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Morocco,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Morocco,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Mozambique,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
New Zealand,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Pakistan,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Pakistan,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Peru,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Philippines,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Poland,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Romania,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Senegal,production,bentonite_and_fuller's_earth,Attapulgite                                       ,tonnes (metric),1970,
South Africa,production,bentonite_and_fuller's_earth,Attapulgite                                       ,tonnes (metric),1970,
South Africa,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
South Africa,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Spain,production,bentonite_and_fuller's_earth,Attapulgite                                       ,tonnes (metric),1970,
Spain,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Spain,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Spain,production,bentonite_and_fuller's_earth,Sepiolite                                         ,tonnes (metric),1970,
Turkey,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Turkey,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
USA,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
USA,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
United Kingdom,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Yugoslavia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Canada,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Cyprus,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Czechoslovakia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
German Federal Republic,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
German Federal Republic,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Guatemala,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Indonesia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Korea (Rep. of),production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Nicaragua,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Soviet Union,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Armenia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Azerbaijan,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Bosnia & Herzegovina,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Bulgaria,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Chile,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
China,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Croatia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Czech Republic,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Denmark,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Georgia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Germany,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Germany,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Japan,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Korea (Rep. of),production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
North Macedonia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Poland,production,bentonite_and_fuller's_earth,Fuller's earth                                    ,tonnes (metric),1970,
Russia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Slovakia,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Thailand,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
Turkey,production,bentonite_and_fuller's_earth,Sepiolite                                         ,tonnes (metric),1970,
Turkmenistan,production,bentonite_and_fuller's_earth,Bentonite                                         ,tonnes (metric),1970,
