Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,production,bismuth_mine,nan,tonnes (metal content),1970,
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1970,
Canada,production,bismuth_mine,nan,tonnes (metal content),1970,
China,production,bismuth_mine,nan,tonnes (metal content),1970,
France,production,bismuth_mine,nan,tonnes (metal content),1970,
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1970,
Italy,production,bismuth_mine,nan,tonnes (metal content),1970,
Japan,production,bismuth_mine,nan,tonnes (metal content),1970,
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1970,
Mexico,production,bismuth_mine,nan,tonnes (metal content),1970,
Peru,production,bismuth_mine,nan,tonnes (metal content),1970,
Romania,production,bismuth_mine,nan,tonnes (metal content),1970,
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1970,
Sweden,production,bismuth_mine,nan,tonnes (metal content),1970,
USA,production,bismuth_mine,nan,tonnes (metal content),1970,
Uganda,production,bismuth_mine,nan,tonnes (metal content),1970,
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1970,
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1970,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1970,
Russia,production,bismuth_mine,nan,tonnes (metal content),1970,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1970,
Tajikistan,production,bismuth_mine,nan,tonnes (metal content),1970,
Uzbekistan,production,bismuth_mine,nan,tonnes (metal content),1970,
Armenia,production,bismuth_mine,nan,tonnes (metal content),1970,
Vietnam,production,bismuth_mine,nan,tonnes (metal content),1970,
Australia,production,bismuth_mine,nan,tonnes (metal content),1971,
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1971,
Canada,production,bismuth_mine,nan,tonnes (metal content),1971,
China,production,bismuth_mine,nan,tonnes (metal content),1971,
France,production,bismuth_mine,nan,tonnes (metal content),1971,
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1971,
Italy,production,bismuth_mine,nan,tonnes (metal content),1971,
Japan,production,bismuth_mine,nan,tonnes (metal content),1971,
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1971,
Mexico,production,bismuth_mine,nan,tonnes (metal content),1971,
Peru,production,bismuth_mine,nan,tonnes (metal content),1971,
Romania,production,bismuth_mine,nan,tonnes (metal content),1971,
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1971,
Sweden,production,bismuth_mine,nan,tonnes (metal content),1971,
USA,production,bismuth_mine,nan,tonnes (metal content),1971,
Uganda,production,bismuth_mine,nan,tonnes (metal content),1971,
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1971,
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1971,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1971,
Russia,production,bismuth_mine,nan,tonnes (metal content),1971,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1971,
Tajikistan,production,bismuth_mine,nan,tonnes (metal content),1971,
Uzbekistan,production,bismuth_mine,nan,tonnes (metal content),1971,
Armenia,production,bismuth_mine,nan,tonnes (metal content),1971,
Vietnam,production,bismuth_mine,nan,tonnes (metal content),1971,
Australia,production,bismuth_mine,nan,tonnes (metal content),1972,
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1972,
Canada,production,bismuth_mine,nan,tonnes (metal content),1972,
China,production,bismuth_mine,nan,tonnes (metal content),1972,
France,production,bismuth_mine,nan,tonnes (metal content),1972,
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1972,
Italy,production,bismuth_mine,nan,tonnes (metal content),1972,
Japan,production,bismuth_mine,nan,tonnes (metal content),1972,
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1972,
Mexico,production,bismuth_mine,nan,tonnes (metal content),1972,
Peru,production,bismuth_mine,nan,tonnes (metal content),1972,
Romania,production,bismuth_mine,nan,tonnes (metal content),1972,
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1972,
Sweden,production,bismuth_mine,nan,tonnes (metal content),1972,
USA,production,bismuth_mine,nan,tonnes (metal content),1972,
Uganda,production,bismuth_mine,nan,tonnes (metal content),1972,
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1972,
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1972,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1972,
Russia,production,bismuth_mine,nan,tonnes (metal content),1972,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1972,
Tajikistan,production,bismuth_mine,nan,tonnes (metal content),1972,
Uzbekistan,production,bismuth_mine,nan,tonnes (metal content),1972,
Armenia,production,bismuth_mine,nan,tonnes (metal content),1972,
Vietnam,production,bismuth_mine,nan,tonnes (metal content),1972,
Australia,production,bismuth_mine,nan,tonnes (metal content),1973,
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1973,
Canada,production,bismuth_mine,nan,tonnes (metal content),1973,
China,production,bismuth_mine,nan,tonnes (metal content),1973,
France,production,bismuth_mine,nan,tonnes (metal content),1973,
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1973,
Italy,production,bismuth_mine,nan,tonnes (metal content),1973,
Japan,production,bismuth_mine,nan,tonnes (metal content),1973,
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1973,
Mexico,production,bismuth_mine,nan,tonnes (metal content),1973,
Peru,production,bismuth_mine,nan,tonnes (metal content),1973,
Romania,production,bismuth_mine,nan,tonnes (metal content),1973,
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1973,
Sweden,production,bismuth_mine,nan,tonnes (metal content),1973,
USA,production,bismuth_mine,nan,tonnes (metal content),1973,
Uganda,production,bismuth_mine,nan,tonnes (metal content),1973,
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1973,
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1973,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1973,
Russia,production,bismuth_mine,nan,tonnes (metal content),1973,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1973,
Tajikistan,production,bismuth_mine,nan,tonnes (metal content),1973,
Uzbekistan,production,bismuth_mine,nan,tonnes (metal content),1973,
Armenia,production,bismuth_mine,nan,tonnes (metal content),1973,
Vietnam,production,bismuth_mine,nan,tonnes (metal content),1973,
Australia,production,bismuth_mine,nan,tonnes (metal content),1974,1170.0
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1974,614.0
Canada,production,bismuth_mine,nan,tonnes (metal content),1974,111.0
China,production,bismuth_mine,nan,tonnes (metal content),1974,250.0
France,production,bismuth_mine,nan,tonnes (metal content),1974,57.0
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1974,10.0
Italy,production,bismuth_mine,nan,tonnes (metal content),1974,0.0
Japan,production,bismuth_mine,nan,tonnes (metal content),1974,816.0
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1974,131.0
Mexico,production,bismuth_mine,nan,tonnes (metal content),1974,718.0
Peru,production,bismuth_mine,nan,tonnes (metal content),1974,665.0
Romania,production,bismuth_mine,nan,tonnes (metal content),1974,80.0
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1974,60.0
Sweden,production,bismuth_mine,nan,tonnes (metal content),1974,15.0
USA,production,bismuth_mine,nan,tonnes (metal content),1974,400.0
Uganda,production,bismuth_mine,nan,tonnes (metal content),1974,4.0
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1974,100.0
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1974,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1974,
Russia,production,bismuth_mine,nan,tonnes (metal content),1974,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1974,
Tajikistan,production,bismuth_mine,nan,tonnes (metal content),1974,
Uzbekistan,production,bismuth_mine,nan,tonnes (metal content),1974,
Armenia,production,bismuth_mine,nan,tonnes (metal content),1974,
Vietnam,production,bismuth_mine,nan,tonnes (metal content),1974,
Australia,production,bismuth_mine,nan,tonnes (metal content),1975,883.0
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1975,603.0
Canada,production,bismuth_mine,nan,tonnes (metal content),1975,157.0
China,production,bismuth_mine,nan,tonnes (metal content),1975,250.0
France,production,bismuth_mine,nan,tonnes (metal content),1975,73.0
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1975,11.0
Italy,production,bismuth_mine,nan,tonnes (metal content),1975,0.0
Japan,production,bismuth_mine,nan,tonnes (metal content),1975,651.0
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1975,113.0
Mexico,production,bismuth_mine,nan,tonnes (metal content),1975,445.0
Peru,production,bismuth_mine,nan,tonnes (metal content),1975,505.0
Romania,production,bismuth_mine,nan,tonnes (metal content),1975,80.0
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1975,60.0
Sweden,production,bismuth_mine,nan,tonnes (metal content),1975,15.0
USA,production,bismuth_mine,nan,tonnes (metal content),1975,400.0
Uganda,production,bismuth_mine,nan,tonnes (metal content),1975,4.0
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1975,55.0
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1975,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1975,
Russia,production,bismuth_mine,nan,tonnes (metal content),1975,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1975,
Tajikistan,production,bismuth_mine,nan,tonnes (metal content),1975,
Uzbekistan,production,bismuth_mine,nan,tonnes (metal content),1975,
Armenia,production,bismuth_mine,nan,tonnes (metal content),1975,
Vietnam,production,bismuth_mine,nan,tonnes (metal content),1975,
Australia,production,bismuth_mine,nan,tonnes (metal content),1976,769.0
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1976,612.0
Canada,production,bismuth_mine,nan,tonnes (metal content),1976,130.0
China,production,bismuth_mine,nan,tonnes (metal content),1976,220.0
France,production,bismuth_mine,nan,tonnes (metal content),1976,100.0
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1976,10.0
Italy,production,bismuth_mine,nan,tonnes (metal content),1976,0.0
Japan,production,bismuth_mine,nan,tonnes (metal content),1976,682.0
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1976,174.0
Mexico,production,bismuth_mine,nan,tonnes (metal content),1976,557.0
Peru,production,bismuth_mine,nan,tonnes (metal content),1976,521.0
Romania,production,bismuth_mine,nan,tonnes (metal content),1976,80.0
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1976,60.0
Sweden,production,bismuth_mine,nan,tonnes (metal content),1976,
USA,production,bismuth_mine,nan,tonnes (metal content),1976,400.0
Uganda,production,bismuth_mine,nan,tonnes (metal content),1976,
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1976,78.0
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1976,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1976,
Russia,production,bismuth_mine,nan,tonnes (metal content),1976,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1976,
Tajikistan,production,bismuth_mine,nan,tonnes (metal content),1976,
Uzbekistan,production,bismuth_mine,nan,tonnes (metal content),1976,
Armenia,production,bismuth_mine,nan,tonnes (metal content),1976,
Vietnam,production,bismuth_mine,nan,tonnes (metal content),1976,
Australia,production,bismuth_mine,nan,tonnes (metal content),1977,932.0
Bolivia,production,bismuth_mine,nan,tonnes (metal content),1977,680.0
Canada,production,bismuth_mine,nan,tonnes (metal content),1977,165.0
China,production,bismuth_mine,nan,tonnes (metal content),1977,225.0
France,production,bismuth_mine,nan,tonnes (metal content),1977,73.0
German Federal Republic,production,bismuth_mine,nan,tonnes (metal content),1977,10.0
Italy,production,bismuth_mine,nan,tonnes (metal content),1977,8.0
Japan,production,bismuth_mine,nan,tonnes (metal content),1977,698.0
Korea (Rep. of),production,bismuth_mine,nan,tonnes (metal content),1977,134.0
Mexico,production,bismuth_mine,nan,tonnes (metal content),1977,729.0
Peru,production,bismuth_mine,nan,tonnes (metal content),1977,516.0
Romania,production,bismuth_mine,nan,tonnes (metal content),1977,80.0
Soviet Union,production,bismuth_mine,nan,tonnes (metal content),1977,65.0
Sweden,production,bismuth_mine,nan,tonnes (metal content),1977,15.0
USA,production,bismuth_mine,nan,tonnes (metal content),1977,400.0
Uganda,production,bismuth_mine,nan,tonnes (metal content),1977,
Yugoslavia,production,bismuth_mine,nan,tonnes (metal content),1977,74.0
Bulgaria,production,bismuth_mine,nan,tonnes (metal content),1977,
Kazakhstan,production,bismuth_mine,nan,tonnes (metal content),1977,
Russia,production,bismuth_mine,nan,tonnes (metal content),1977,
Serbia and Montenegro,production,bismuth_mine,nan,tonnes (metal content),1977,
