Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Algeria,production,cadmium,nan,tonnes (metric),1970,
Argentina,production,cadmium,nan,tonnes (metric),1970,
Australia,production,cadmium,nan,tonnes (metric),1970,500.0
Austria,production,cadmium,nan,tonnes (metric),1970,24.0
Belgium,production,cadmium,nan,tonnes (metric),1970,1092.0
Bolivia,production,cadmium,nan,tonnes (metric),1970,60.0
Brazil,production,cadmium,nan,tonnes (metric),1970,
Bulgaria,production,cadmium,nan,tonnes (metric),1970,200.0
Canada,production,cadmium,nan,tonnes (metric),1970,1954.0
China,production,cadmium,nan,tonnes (metric),1970,80.0
Finland,production,cadmium,nan,tonnes (metric),1970,89.0
France,production,cadmium,nan,tonnes (metric),1970,508.0
German Democratic Rep,production,cadmium,nan,tonnes (metric),1970,15.0
German Federal Republic,production,cadmium,nan,tonnes (metric),1970,1035.0
India,production,cadmium,nan,tonnes (metric),1970,34.0
Italy,production,cadmium,nan,tonnes (metric),1970,425.0
Japan,production,cadmium,nan,tonnes (metric),1970,2540.0
Korea (Rep. of),production,cadmium,nan,tonnes (metric),1970,
"Korea, Dem. P.R. of",production,cadmium,nan,tonnes (metric),1970,90.0
Mexico,production,cadmium,nan,tonnes (metric),1970,1967.0
Namibia,production,cadmium,nan,tonnes (metric),1970,205.0
Netherlands,production,cadmium,nan,tonnes (metric),1970,111.0
New Zealand,production,cadmium,nan,tonnes (metric),1970,10.0
Norway,production,cadmium,nan,tonnes (metric),1970,98.0
Peru,production,cadmium,nan,tonnes (metric),1970,482.0
Poland,production,cadmium,nan,tonnes (metric),1970,420.0
Romania,production,cadmium,nan,tonnes (metric),1970,90.0
Soviet Union,production,cadmium,nan,tonnes (metric),1970,2300.0
Spain,production,cadmium,nan,tonnes (metric),1970,111.0
Turkey,production,cadmium,nan,tonnes (metric),1970,
USA,production,cadmium,nan,tonnes (metric),1970,4293.0
United Kingdom,production,cadmium,nan,tonnes (metric),1970,318.0
Yugoslavia,production,cadmium,nan,tonnes (metric),1970,150.0
Zaire,production,cadmium,nan,tonnes (metric),1970,317.0
Zambia,production,cadmium,nan,tonnes (metric),1970,12.0
Thailand,production,cadmium,nan,tonnes (metric),1970,
"Congo, Democratic Republic",production,cadmium,nan,tonnes (metric),1970,
