Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Austria,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Belgium,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Czech Republic,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Denmark,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
France,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Germany,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Greece,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Italy,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Latvia,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Poland,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Sweden,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,2309100.0
United Kingdom,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Bulgaria,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Cyprus,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Estonia,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Hungary,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Lithuania,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Luxembourg,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Netherlands,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Norway,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Portugal,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Romania,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Slovakia,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Spain,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Turkey,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Serbia,production,cement__clinker,"Cement, clinker",tonnes (metric),1990,
Austria,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Belgium,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Czech Republic,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Denmark,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
France,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Germany,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Greece,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Italy,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Latvia,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Poland,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Sweden,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,2098600.0
United Kingdom,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Bulgaria,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Cyprus,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Estonia,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Hungary,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Lithuania,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Luxembourg,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Netherlands,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Norway,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Portugal,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Romania,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Slovakia,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Spain,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Turkey,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Serbia,production,cement__clinker,"Cement, clinker",tonnes (metric),1991,
Austria,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Belgium,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Czech Republic,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Denmark,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
France,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Germany,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Greece,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Italy,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Latvia,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Poland,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Sweden,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,2006900.0
United Kingdom,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,9872000.0
Bulgaria,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Cyprus,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Estonia,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Hungary,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Lithuania,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Luxembourg,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Netherlands,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Norway,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Portugal,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Romania,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Slovakia,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Spain,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Turkey,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Serbia,production,cement__clinker,"Cement, clinker",tonnes (metric),1992,
Austria,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Belgium,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Czech Republic,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Denmark,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
France,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Germany,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Greece,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Italy,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Latvia,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Poland,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Sweden,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,2010600.0
United Kingdom,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,9996000.0
Bulgaria,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Cyprus,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Estonia,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Hungary,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Lithuania,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Luxembourg,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Netherlands,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Norway,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Portugal,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Romania,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Slovakia,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Spain,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Turkey,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Serbia,production,cement__clinker,"Cement, clinker",tonnes (metric),1993,
Austria,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Belgium,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Czech Republic,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Denmark,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
France,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Germany,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Greece,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Italy,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Latvia,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Poland,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Sweden,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,2043400.0
United Kingdom,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,11521000.0
Bulgaria,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Cyprus,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Estonia,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Hungary,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Lithuania,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Luxembourg,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Netherlands,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Norway,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Portugal,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Romania,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Slovakia,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Spain,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Turkey,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Serbia,production,cement__clinker,"Cement, clinker",tonnes (metric),1994,
Austria,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
Belgium,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
Czech Republic,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
Denmark,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
France,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
Germany,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
Greece,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
Italy,production,cement__clinker,"Cement, clinker",tonnes (metric),1995,
