Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Austria,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Belgium,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Bulgaria,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Cyprus,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Czech Republic,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Denmark,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Estonia,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Finland,production,cement_finished,"Cement, finished",tonnes (metric),1990,
France,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Germany,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Greece,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Hungary,production,cement_finished,"Cement, finished",tonnes (metric),1990,
"Ireland, Republic of",production,cement_finished,"Cement, finished",tonnes (metric),1990,
Italy,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Latvia,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Lithuania,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Luxembourg,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Netherlands,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Norway,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Poland,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Portugal,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Romania,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Slovakia,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Slovenia,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Spain,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Sweden,production,cement_finished,"Cement, finished",tonnes (metric),1990,2374200.0
Switzerland,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Turkey,production,cement_finished,"Cement, finished",tonnes (metric),1990,
United Kingdom,production,cement_finished,"Cement, finished",tonnes (metric),1990,
North Macedonia,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Croatia,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Serbia,production,cement_finished,"Cement, finished",tonnes (metric),1990,
Austria,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Belgium,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Bulgaria,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Cyprus,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Czech Republic,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Denmark,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Estonia,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Finland,production,cement_finished,"Cement, finished",tonnes (metric),1991,
France,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Germany,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Greece,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Hungary,production,cement_finished,"Cement, finished",tonnes (metric),1991,
"Ireland, Republic of",production,cement_finished,"Cement, finished",tonnes (metric),1991,
Italy,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Latvia,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Lithuania,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Luxembourg,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Netherlands,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Norway,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Poland,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Portugal,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Romania,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Slovakia,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Slovenia,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Spain,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Sweden,production,cement_finished,"Cement, finished",tonnes (metric),1991,2393900.0
Switzerland,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Turkey,production,cement_finished,"Cement, finished",tonnes (metric),1991,
United Kingdom,production,cement_finished,"Cement, finished",tonnes (metric),1991,
North Macedonia,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Croatia,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Serbia,production,cement_finished,"Cement, finished",tonnes (metric),1991,
Austria,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Belgium,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Bulgaria,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Cyprus,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Czech Republic,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Denmark,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Estonia,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Finland,production,cement_finished,"Cement, finished",tonnes (metric),1992,
France,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Germany,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Greece,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Hungary,production,cement_finished,"Cement, finished",tonnes (metric),1992,
"Ireland, Republic of",production,cement_finished,"Cement, finished",tonnes (metric),1992,
Italy,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Latvia,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Lithuania,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Luxembourg,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Netherlands,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Norway,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Poland,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Portugal,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Romania,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Slovakia,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Slovenia,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Spain,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Sweden,production,cement_finished,"Cement, finished",tonnes (metric),1992,2288300.0
Switzerland,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Turkey,production,cement_finished,"Cement, finished",tonnes (metric),1992,
United Kingdom,production,cement_finished,"Cement, finished",tonnes (metric),1992,11006000.0
North Macedonia,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Croatia,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Serbia,production,cement_finished,"Cement, finished",tonnes (metric),1992,
Austria,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Belgium,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Bulgaria,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Cyprus,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Czech Republic,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Denmark,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Estonia,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Finland,production,cement_finished,"Cement, finished",tonnes (metric),1993,
France,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Germany,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Greece,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Hungary,production,cement_finished,"Cement, finished",tonnes (metric),1993,
"Ireland, Republic of",production,cement_finished,"Cement, finished",tonnes (metric),1993,
Italy,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Latvia,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Lithuania,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Luxembourg,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Netherlands,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Norway,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Poland,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Portugal,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Romania,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Slovakia,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Slovenia,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Spain,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Sweden,production,cement_finished,"Cement, finished",tonnes (metric),1993,2098900.0
Switzerland,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Turkey,production,cement_finished,"Cement, finished",tonnes (metric),1993,
United Kingdom,production,cement_finished,"Cement, finished",tonnes (metric),1993,11039000.0
North Macedonia,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Croatia,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Serbia,production,cement_finished,"Cement, finished",tonnes (metric),1993,
Austria,production,cement_finished,"Cement, finished",tonnes (metric),1994,
