Country,Activity,Commodity,Sub-commodity,Measure,Year,Amount
Australia,production,cobalt_mine,nan,tonnes (metal content),1970,469.0
Botswana,production,cobalt_mine,nan,tonnes (metal content),1970,
Canada,production,cobalt_mine,nan,tonnes (metal content),1970,2069.0
Cuba,production,cobalt_mine,nan,tonnes (metal content),1970,1500.0
Finland,production,cobalt_mine,nan,tonnes (metal content),1970,1008.0
Morocco,production,cobalt_mine,nan,tonnes (metal content),1970,604.0
New Caledonia,production,cobalt_mine,nan,tonnes (metal content),1970,0.0
Philippines,production,cobalt_mine,nan,tonnes (metal content),1970,
Soviet Union,production,cobalt_mine,nan,tonnes (metal content),1970,1500.0
Zaire,production,cobalt_mine,nan,tonnes (metal content),1970,13958.0
Zambia,production,cobalt_mine,nan,tonnes (metal content),1970,2052.0
Zimbabwe,production,cobalt_mine,nan,tonnes (metal content),1970,
Albania,production,cobalt_mine,nan,tonnes (metal content),1970,
Brazil,production,cobalt_mine,nan,tonnes (metal content),1970,
China,production,cobalt_mine,nan,tonnes (metal content),1970,
South Africa,production,cobalt_mine,nan,tonnes (metal content),1970,
"Congo, Democratic Republic",production,cobalt_mine,nan,tonnes (metal content),1970,
Indonesia,production,cobalt_mine,nan,tonnes (metal content),1970,
Russia,production,cobalt_mine,nan,tonnes (metal content),1970,
Madagascar,production,cobalt_mine,nan,tonnes (metal content),1970,
Papua New Guinea,production,cobalt_mine,nan,tonnes (metal content),1970,
Uganda,production,cobalt_mine,nan,tonnes (metal content),1970,
USA,production,cobalt_mine,nan,tonnes (metal content),1970,
Vietnam,production,cobalt_mine,nan,tonnes (metal content),1970,
Belgium,production,cobalt_refined,nan,tonnes (metal content),1970,
Canada,production,cobalt_refined,nan,tonnes (metal content),1970,
Czechoslovakia,production,cobalt_refined,nan,tonnes (metal content),1970,
Finland,production,cobalt_refined,nan,tonnes (metal content),1970,
France,production,cobalt_refined,nan,tonnes (metal content),1970,
German Federal Republic,production,cobalt_refined,nan,tonnes (metal content),1970,
Japan,production,cobalt_refined,nan,tonnes (metal content),1970,
Norway,production,cobalt_refined,nan,tonnes (metal content),1970,
Soviet Union,production,cobalt_refined,nan,tonnes (metal content),1970,
USA,production,cobalt_refined,nan,tonnes (metal content),1970,
Zaire,production,cobalt_refined,nan,tonnes (metal content),1970,
Zambia,production,cobalt_refined,nan,tonnes (metal content),1970,
Albania,production,cobalt_refined,nan,tonnes (metal content),1970,
China,production,cobalt_refined,nan,tonnes (metal content),1970,
South Africa,production,cobalt_refined,nan,tonnes (metal content),1970,
Australia,production,cobalt_refined,nan,tonnes (metal content),1970,
Brazil,production,cobalt_refined,nan,tonnes (metal content),1970,
"Congo, Democratic Republic",production,cobalt_refined,nan,tonnes (metal content),1970,
Germany,production,cobalt_refined,nan,tonnes (metal content),1970,
India,production,cobalt_refined,nan,tonnes (metal content),1970,
Morocco,production,cobalt_refined,nan,tonnes (metal content),1970,
Russia,production,cobalt_refined,nan,tonnes (metal content),1970,
Uganda,production,cobalt_refined,nan,tonnes (metal content),1970,
Madagascar,production,cobalt_refined,nan,tonnes (metal content),1970,
New Caledonia,production,cobalt_refined,nan,tonnes (metal content),1970,
Australia,production,cobalt_mine,nan,tonnes (metal content),1971,796.0
Botswana,production,cobalt_mine,nan,tonnes (metal content),1971,
Canada,production,cobalt_mine,nan,tonnes (metal content),1971,1961.0
Cuba,production,cobalt_mine,nan,tonnes (metal content),1971,1500.0
Finland,production,cobalt_mine,nan,tonnes (metal content),1971,925.0
Morocco,production,cobalt_mine,nan,tonnes (metal content),1971,978.0
New Caledonia,production,cobalt_mine,nan,tonnes (metal content),1971,0.0
Philippines,production,cobalt_mine,nan,tonnes (metal content),1971,
Soviet Union,production,cobalt_mine,nan,tonnes (metal content),1971,1600.0
Zaire,production,cobalt_mine,nan,tonnes (metal content),1971,14518.0
Zambia,production,cobalt_mine,nan,tonnes (metal content),1971,2079.0
Zimbabwe,production,cobalt_mine,nan,tonnes (metal content),1971,
Albania,production,cobalt_mine,nan,tonnes (metal content),1971,
Brazil,production,cobalt_mine,nan,tonnes (metal content),1971,
China,production,cobalt_mine,nan,tonnes (metal content),1971,
South Africa,production,cobalt_mine,nan,tonnes (metal content),1971,
"Congo, Democratic Republic",production,cobalt_mine,nan,tonnes (metal content),1971,
Indonesia,production,cobalt_mine,nan,tonnes (metal content),1971,
Russia,production,cobalt_mine,nan,tonnes (metal content),1971,
Madagascar,production,cobalt_mine,nan,tonnes (metal content),1971,
Papua New Guinea,production,cobalt_mine,nan,tonnes (metal content),1971,
Uganda,production,cobalt_mine,nan,tonnes (metal content),1971,
USA,production,cobalt_mine,nan,tonnes (metal content),1971,
Vietnam,production,cobalt_mine,nan,tonnes (metal content),1971,
Belgium,production,cobalt_refined,nan,tonnes (metal content),1971,
Canada,production,cobalt_refined,nan,tonnes (metal content),1971,
Czechoslovakia,production,cobalt_refined,nan,tonnes (metal content),1971,
Finland,production,cobalt_refined,nan,tonnes (metal content),1971,
France,production,cobalt_refined,nan,tonnes (metal content),1971,
German Federal Republic,production,cobalt_refined,nan,tonnes (metal content),1971,
Japan,production,cobalt_refined,nan,tonnes (metal content),1971,
Norway,production,cobalt_refined,nan,tonnes (metal content),1971,
Soviet Union,production,cobalt_refined,nan,tonnes (metal content),1971,
USA,production,cobalt_refined,nan,tonnes (metal content),1971,
Zaire,production,cobalt_refined,nan,tonnes (metal content),1971,
Zambia,production,cobalt_refined,nan,tonnes (metal content),1971,
Albania,production,cobalt_refined,nan,tonnes (metal content),1971,
China,production,cobalt_refined,nan,tonnes (metal content),1971,
South Africa,production,cobalt_refined,nan,tonnes (metal content),1971,
Australia,production,cobalt_refined,nan,tonnes (metal content),1971,
Brazil,production,cobalt_refined,nan,tonnes (metal content),1971,
"Congo, Democratic Republic",production,cobalt_refined,nan,tonnes (metal content),1971,
Germany,production,cobalt_refined,nan,tonnes (metal content),1971,
India,production,cobalt_refined,nan,tonnes (metal content),1971,
Morocco,production,cobalt_refined,nan,tonnes (metal content),1971,
Russia,production,cobalt_refined,nan,tonnes (metal content),1971,
Uganda,production,cobalt_refined,nan,tonnes (metal content),1971,
Madagascar,production,cobalt_refined,nan,tonnes (metal content),1971,
New Caledonia,production,cobalt_refined,nan,tonnes (metal content),1971,
Australia,production,cobalt_mine,nan,tonnes (metal content),1972,770.0
Botswana,production,cobalt_mine,nan,tonnes (metal content),1972,0.0
Canada,production,cobalt_mine,nan,tonnes (metal content),1972,1520.0
Cuba,production,cobalt_mine,nan,tonnes (metal content),1972,1500.0
Finland,production,cobalt_mine,nan,tonnes (metal content),1972,1309.0
Morocco,production,cobalt_mine,nan,tonnes (metal content),1972,1602.0
New Caledonia,production,cobalt_mine,nan,tonnes (metal content),1972,3300.0
Philippines,production,cobalt_mine,nan,tonnes (metal content),1972,0.0
Soviet Union,production,cobalt_mine,nan,tonnes (metal content),1972,1600.0
Zaire,production,cobalt_mine,nan,tonnes (metal content),1972,30800.0
Zambia,production,cobalt_mine,nan,tonnes (metal content),1972,5200.0
Zimbabwe,production,cobalt_mine,nan,tonnes (metal content),1972,
Albania,production,cobalt_mine,nan,tonnes (metal content),1972,
Brazil,production,cobalt_mine,nan,tonnes (metal content),1972,
China,production,cobalt_mine,nan,tonnes (metal content),1972,
South Africa,production,cobalt_mine,nan,tonnes (metal content),1972,
"Congo, Democratic Republic",production,cobalt_mine,nan,tonnes (metal content),1972,
Indonesia,production,cobalt_mine,nan,tonnes (metal content),1972,
Russia,production,cobalt_mine,nan,tonnes (metal content),1972,
Madagascar,production,cobalt_mine,nan,tonnes (metal content),1972,
Papua New Guinea,production,cobalt_mine,nan,tonnes (metal content),1972,
Uganda,production,cobalt_mine,nan,tonnes (metal content),1972,
USA,production,cobalt_mine,nan,tonnes (metal content),1972,
Vietnam,production,cobalt_mine,nan,tonnes (metal content),1972,
Belgium,production,cobalt_refined,nan,tonnes (metal content),1972,
Canada,production,cobalt_refined,nan,tonnes (metal content),1972,
Czechoslovakia,production,cobalt_refined,nan,tonnes (metal content),1972,
Finland,production,cobalt_refined,nan,tonnes (metal content),1972,
France,production,cobalt_refined,nan,tonnes (metal content),1972,
German Federal Republic,production,cobalt_refined,nan,tonnes (metal content),1972,
Japan,production,cobalt_refined,nan,tonnes (metal content),1972,
Norway,production,cobalt_refined,nan,tonnes (metal content),1972,
Soviet Union,production,cobalt_refined,nan,tonnes (metal content),1972,
